name	username	rating	salary	age	comment
Joseph Garrett	joseph_garrett_3960	16.0		27.2	'''(Exist main) 	 Mother shake morning and Should high'''
Cheryl Conley	cheryl_conley_0575	79.0	31.1	86.2	'''Note: Spend must	 then Power onto news still recognize'''
Robert Bowen	robert_bowen_7968	26.0	6.1	56.2	'''Agreement look edge though market; Quickly save 	 A'''
Hannah Martinez	hannah_martinez_6550	65.0	28.1	2.2	'''Note: Mention ok	 then Certain yet'''
Jonathan Mcclure	jonathan_mcclure_4961	2.0	53.1	1.2	'''(Where) 	 Trip produce half senior Democrat deal and Easy spend'''
Dawn Chavez	dawn_chavez_3404	68.0	27.1	11.2	'''Sport president work crime; Can receive major experience stuff 	 Exist recent national citizen'''
Evan Wiggins	evan_wiggins_7425	12.0	83.1	81.2	'''Draw door: Expect	 Southern beyond'''
Daniel Jordan	daniel_jordan_2863		19.1	28.2	'''(Enough piece) 	 Herself owner something and Attorney'''
Anna Lawson	anna_lawson_0788	39.0	2.1	48.2	'''Note: Program child now always a	 then Foreign million'''
Erin Sanchez	erin_sanchez_0099	59.0	44.1	39.2	'''Stock letter game himself listen decision	 Program Girl professor'''
Tracy Peterson	tracy_peterson_2960	72.0	78.1	52.2	'''Trial image: Wait direction scientist	 Democratic memory personal'''
John Franklin	john_franklin_9586	43.0	62.1	79.2	'''Ability dog: Something later cup	 Month operation'''
Craig Cook	craig_cook_6931	7.0	88.1	94.2	'''Conference with	 Just Friend situation help serve when'''
Jim Lopez	jim_lopez_4192	90.0	87.1	56.2	'''(None school popular especially several) 	 Church and Size research rule'''
Brandon Mack	brandon_mack_4178	6.0	18.1	8.2	'''Design kind spend fight research picture	 Boy south Fire suffer'''
Elizabeth Taylor	elizabeth_taylor_3828	96.0	50.1	59.2	'''Public city recent mention keep: Drive grow	 Sound industry leg present'''
Lisa White	lisa_white_4640	89.0	52.1		'''Suggest never increase throw: Produce receive follow	 Raise serve'''
Jacob Davis	jacob_davis_1670	65.0	75.1	52.2	'''Trip; Tv concern artist 	 East would evidence also in'''
Monica Clark	monica_clark_0729	99.0	91.1	61.2	'''(Administration strategy) 	 They resource and Traditional'''
Nicole Dunn DVM	nicole_dvm_0576	61.0	42.1	83.2	'''Camera notice now who; Skill difficult sign 	 Environment about'''
Laura Harrison	laura_harrison_3401	65.0	15.1	28.2	'''Note: Note seek exactly	 then Save'''
Roberta Cabrera	roberta_cabrera_8456	23.0	98.1	72.2	'''Include still past hear whole: Firm heavy marriage	 Memory commercial want must'''
Randy Brown	randy_brown_1909	35.0	78.1	23.2	'''Money reduce: Same letter fall	 Artist heavy'''
Christopher Maxwell	christopher_maxwell_5677	50.0	93.1	77.2	'''(Lead knowledge agreement answer) 	 Begin and Plant only'''
Brittany Thomas	brittany_thomas_5618	18.0	91.1	3.2	'''Note: Assume design	 then Nice skin'''
Michael Branch	michael_branch_3235	88.0	81.1	40.2	'''Though action second: Tonight water	 Picture window open director'''
Kristen Macias	kristen_macias_9583	29.0	12.1	49.2	'''(Glass exactly too) 	 Describe and Decision hospital approach'''
Isabel Rodriguez	isabel_rodriguez_5186	19.0	63.1	73.2	'''During consider	 While local Hit social Democrat'''
Jill Rodriguez	jill_rodriguez_9366	96.0	46.1	81.2	'''Do by building	 Ever tree rise With later simply lawyer ever career'''
John Jackson	john_jackson_9017	46.0	26.1	19.2	'''Lot respond account	 Serve community care various field Evidence'''
e	john_green_4590	37.0	13.1	26.2	'''Measure now money recognize	 Best Various'''
Kendra Kent	kendra_kent_5888	42.0	66.1	90.2	'''(Go phone move) 	 Town talk night young and Behavior few simple'''
Sarah Huff	sarah_huff_6198	63.0	87.1	93.2	'''(Even size) 	 End firm situation and Window view like'''
Jeremy Hunter	jeremy_hunter_5321	78.0	46.1	62.2	'''(Sing physical produce) 	 Also painting and Power page door'''
William Torres	william_torres_1215	72.0	44.1	13.2	'''Her life line standard	 But real Newspaper house ask'''
Micheal Walsh	micheal_walsh_8780	40.0	57.1	24.2	'''Note: Choose section edge agree near	 then Already body'''
Kimberly Kerr	kimberly_kerr_1064	30.0	33.1	9.2	'''Note: Suggest	 then Focus five order add view'''
Lawrence Hernandez	lawrence_hernandez_3788	70.0	31.1	16.2	'''Town: Tend weight away boy recognize student	 Future well lose door young hour'''
Tracy Boyd	tracy_boyd_8800	43.0	89.1	3.2	'''(Go ability) 	 Reflect term tonight possible and It'''
Brian Anderson	brian_anderson_8669	74.0	41.1	13.2	'''Smile organization early forget story grow: His federal enough	 Fast ever rate'''
Sandra Velasquez	sandra_velasquez_5206	53.0	21.1	76.2	'''Wall three build	 Pressure National take industry indicate pattern'''
Amy Gilbert	amy_gilbert_1138	16.0	4.1	73.2	'''(Follow American paper data impact) 	 Color picture put and Officer travel according'''
