name;rating;note
Dr Leon Johnson;45.0;"""Note: Quaerat doloribus sapiente temporibus magnam soluta; then Repellat cupiditate voluptatibus"""
Samantha Harris;40.0;"""Quasi officiis: Cupiditate molestias quos itaque; Mollitia"""
Marian Lane;;"""Note: Exercitationem error dolor; then Molestiae quibusdam et neque"""
e;4.0;"""Note: Error illo temporibus; then Amet distinctio"""
Lucy Stephenson;24.0;"""Note: Eaque; then Reiciendis consectetur tempora"""
Sean Parry-Daly;51.0;"""(Quibusdam quasi sapiente aliquam temporibus) ; Quam magnam architecto officia and Ea odio"""
Hilary Smith;21.0;"""Animi maiores: Eum quisquam excepturi eos; Expedita quasi"""
Ms Olivia Hayes;8.0;"""Unde assumenda debitis beatae dolore; Cupiditate ad ; Consectetur non"""
Jill Campbell-Myers;25.0;"""Blanditiis tempora fuga: Perferendis est suscipit; Eligendi labore"""
Nigel Holmes;25.0;"""Repellat; Et iusto ; Earum accusantium eaque"""
Tony Henry;23.0;"""Note: Eius inventore; then Ipsa laboriosam"""
Stephen Parry;82.0;"""Asperiores ipsum: Alias; Eligendi iure laborum ipsam"""
Dr Michael Jenkins;74.0;"""Corrupti aspernatur: Culpa suscipit aut consectetur quis optio; Ipsam nam doloremque a doloremque"""
Judith Todd-Bennett;19.0;"""Mollitia molestiae placeat ipsam; Incidunt vero ut ; Itaque exercitationem repudiandae velit"""
Mathew Potts;21.0;"""(Beatae illum animi) ; Porro fugiat and Aliquid doloribus nihil"""
Mr Jack Bond;1.0;"""Nulla corporis placeat; Voluptates facilis officiis ; Occaecati"""
Toby Doherty;75.0;"""(Magni aliquid quos ipsa nisi) ; Eaque veritatis repudiandae and Odit quae pariatur"""
Janet Storey;75.0;"""(Commodi) ; Doloribus aspernatur asperiores voluptatum and Sequi culpa"""
Mr Kenneth Cook;21.0;"""Officia; Modi cupiditate ; Facere molestiae"""
Kayleigh Lee;65.0;"""Modi voluptatibus veritatis; Numquam ; Accusantium quia eos"""
Henry Smith-Iqbal;51.0;"""Quam similique tempore: Veritatis ipsam repellendus pariatur quasi; Excepturi in tenetur nobis"""
Jamie Moore-Jones;4.0;"""(Voluptatibus illum quos) ; Magnam velit and Et"""
Mr Charles Fraser;79.0;"""Note: Sed animi; then Officiis"""
Dr Paige Smith;90.0;"""Architecto necessitatibus sed cumque; Pariatur dignissimos iure ; Ratione magni"""
Mrs Shannon Ross;4.0;"""Optio cupiditate distinctio corrupti; Impedit sit Ullam inventore"""
Gregory Woodward-Hughes;3.0;"""Autem quasi asperiores; Veritatis cumque ratione incidunt ; Nisi optio cupiditate quas"""
Dr Lawrence Foster;72.0;"""(Mollitia eos) ; Labore omnis ipsum and Temporibus et veniam itaque"""
