username;name;rating;salary;total_count;note;review
john_thomas_0391;John Thomas;90.0;28.1;69.2;"""Note: Yes get key learn allow huge; then Condition""";"""(Pattern management hour month) ; Cut and Card when"""
jessica_simpson_7009;Jessica Simpson;46.0;83.1;61.2;"""(Compare professor) ; Foreign since and Laugh hour""";"""Note: Cause end child learn human; then Travel or learn"""
paul_davis_3023;Paul Davis;66.0;;35.2;"""(This) ; Interview political skill specific you and Product itself there""";"""Note: Between within teacher; then Kitchen since degree staff"""
anthony_reed_3000;Anthony Reed;58.0;73.1;;"""Adult factor number method; Raise Piece""";"""Over citizen plant see: Party explain health; Professional office"""
todd_ferguson_0009;Todd Ferguson;48.0;41.1;23.2;"""Hard organization drop factor; Nation week Morning we""";"""(Figure stand sign gas) ; Movement recently only and Bank yeah right source"""
melinda_hernandez_9784;Melinda Hernandez;60.0;10.1;48.2;"""Crime make fish board; Heavy about information century within writer Friend magazine""";"""Billion food: Million its; Course politics"""
jacqueline_watson_0557;Jacqueline Watson;41.0;29.1;60.2;"""Nearly act; Finally test art out Series""";"""Vote defense free ground unit data carry: Exactly always; Visit wife decide college"""
terry_clark_6869;Terry Clark;52.0;73.1;35.2;"""(Oil four take) ; Pm store middle candidate and Interesting Mr theory administration capital""";"""From finally scientist different; Necessary get popular author Name customer"""
allison_pace_4264;Allison Pace;95.0;64.1;54.2;"""(Knowledge continue) ; Side fall and Born house society financial""";"""(Free respond) ; Land far scientist case remember and Deep American popular hotel believe"""
thomas_lang_3965;Thomas Lang;87.0;51.1;100.2;"""Note: Trip region first; then Put establish""";"""(Thought doctor method) ; Seek seat reason sure buy and Discussion site responsibility"""
patricia_taylor_1645;e;37.0;14.1;69.2;"""Evidence message: Spring apply foot drop; Baby you also go drug""";"""Doctor use begin; Moment rock debate personal Themselves position left line Republican"""
erin_rangel_5023;Erin Rangel;31.0;56.1;48.2;"""Indicate clearly: Rest important down say statement; Nothing between often""";"""Involve audience; Result quite ; Oil final always modern"""
chad_harper_1371;Chad Harper;12.0;33.1;73.2;"""Chance star power environment season; Civil Recognize PM enter""";"""Note: Defense; then Position child record"""
john_rojas_7869;John Rojas;;6.1;21.2;"""Song by visit; Measure positive Despite impact almost those fall paper improve""";"""Note: Out task point skill job; then Middle win"""
joshua_gill_4682;Joshua Gill;81.0;7.1;97.2;"""High own hair service follow: Feeling race third note; Half""";"""Baby there: Along customer coach; Raise eight top"""
jason_alexander_9902;Jason Alexander;44.0;63.1;48.2;"""Industry go society reveal; Heart sort Represent""";"""Note: Response chair; then Class thousand pick else soon"""
eric_lyons_2487;Eric Lyons;13.0;44.1;64.2;"""Almost: Certainly beautiful home; Artist""";"""Indicate alone head: Dinner plant; Here discover choose"""
hailey_smith_8847;Hailey Smith;30.0;41.1;43.2;"""(Remember cut network community) ; Also market middle and Size billion financial""";"""Cover answer: Next water chance weight; Quality"""
darin_cox_1950;Darin Cox;96.0;88.1;58.2;"""(Media) ; Return much forward air return board and Any president marriage""";"""Scientist fire blue; Ever Here free again member yet"""
ronald_vincent_3172;Ronald Vincent;11.0;69.1;43.2;"""Note: On; then Discuss mind mission father""";"""(Head interview) ; Worker visit education morning and Center hold ahead"""
amber_acevedo_4140;Amber Acevedo;60.0;43.1;42.2;"""Note: Generation matter; then Leave word teach""";"""Decide enter; Bring leader home face Rest"""
jeffrey_ross_0513;Jeffrey Ross;10.0;24.1;17.2;"""(Live difference) ; Community baby tree and National man different""";"""Simple: Discover example small; Relationship"""
andrea_wiley_6354;Andrea Wiley;50.0;1.1;76.2;"""Above better support public: Must approach response; Health doctor""";"""Pull ready matter yet; Walk Movie tell region"""
dwayne_adkins_3280;Dwayne Adkins;65.0;60.1;8.2;"""Out information; Space can form population tell ; Left woman turn woman write respond""";"""Note: Local while drug far hotel record; then Will chance"""
mark_casey_4658;Mark Casey;90.0;52.1;3.2;"""Should not; Two you site pass sister ; Would""";"""Note: Her use; then Car today summer"""
