name;username;price;score;age;note
Michelle Fry;michelle_fry_2182;26.0;14.1;36.2;"""(Arrive) ; While past and Seven win option"""
Amy Marshall;amy_marshall_7358;51.0;44.1;85.2;"""Explain of; Natural interview build Visit face dinner discover"""
Brianna Griffith;brianna_griffith_2369;17.0;28.1;53.2;"""Race wind public: Represent look box; Them property term"""
Travis Holmes;travis_holmes_6203;8.0;58.1;13.2;"""(Performance) ; Call sport and Month its building east avoid think"""
Wesley Ramirez;wesley_ramirez_8682;77.0;19.1;63.2;"""Difference spring family unit; Great half get talk Week middle about small"""
Katherine Lane;katherine_lane_4915;75.0;69.1;56.2;"""Body involve: Prevent vote; Kid box"""
Jennifer Jefferson;jennifer_jefferson_4410;78.0;33.1;32.2;"""Note: Quickly quickly; then Management field can or"""
William Gonzalez;william_gonzalez_1005;31.0;6.1;72.2;"""(Fall movement piece action focus may) ; Bed report good health and Whole evidence"""
William Spencer MD;william_md_5666;100.0;83.1;59.2;"""Note: Sell break shoulder; then Next hope lawyer above step bar"""
Joshua Schultz;joshua_schultz_1644;27.0;72.1;80.2;"""Note: Among we; then Effort"""
Penny Day;penny_day_6345;35.0;60.1;39.2;"""(Bill within again reality usually run) ; Join speech plant and Mind"""
Herbert Henson;herbert_henson_5738;84.0;79.1;43.2;"""Quite card choice; During food ; Use billion"""
Rebecca Smith DVM;rebecca_dvm_0024;40.0;96.1;37.2;"""Focus speech final either; President pressure sea up ; Whatever individual trade"""
Jordan Thompson;jordan_thompson_9696;24.0;10.1;78.2;"""Drop while become leader: Million; Smile really time"""
Kimberly Craig;kimberly_craig_7007;97.0;31.1;86.2;"""Note: Civil take of; then Bit near rich"""
Jeremy Reed;jeremy_reed_1872;66.0;45.1;51.2;"""(Tonight election) ; With time order and Simply tend"""
Anthony Adams;anthony_adams_7366;74.0;68.1;21.2;"""(Remember say serious place) ; Weight money size and Smile section step Republican"""
Peter Paul;peter_paul_3600;25.0;25.1;6.2;"""(Quality suddenly this voice end) ; After establish suffer and Base behavior begin"""
Larry Miller;larry_miller_3490;72.0;66.1;73.2;"""(Under quality) ; Consumer because per and Can first happy rock leader"""
Alyssa Obrien;alyssa_obrien_5230;26.0;31.1;65.2;"""Note: Matter now tough life; then Contain difficult fill"""
Karen Smith;karen_smith_1222;46.0;10.1;62.2;"""(Note stand thing) ; Mission public and Image most minute blood"""
Terri Thompson;terri_thompson_3601;14.0;89.1;3.2;"""(Help keep) ; Race husband and Along mission not point"""
Joel Castillo;joel_castillo_5496;50.0;90.1;51.2;"""Week; Heart drop spring ; Record sit"""
Eric Wade;eric_wade_2070;69.0;10.1;17.2;"""State if surface; Including hotel issue since ; Watch industry"""
Kevin Chavez;kevin_chavez_4514;78.0;7.1;86.2;"""(Mind lay make current) ; Staff would and Window together scientist bed chance"""
Andrea George;andrea_george_2921;26.0;40.1;;"""Pretty term summer; All yeah school daughter ; Art own opportunity meeting"""
Melissa Gomez;melissa_gomez_2184;94.0;31.1;81.2;"""Though process; Central eye Rock standard people fine wind size"""
Arthur Flowers;arthur_flowers_8867;22.0;83.1;61.2;"""Foreign send small; Sure at middle explain dark group ; Suffer significant ever something woman"""
Veronica Pena;veronica_pena_5317;36.0;35.1;47.2;"""Want coach: Arrive end nation; Official"""
x;cheryl_santiago_1466;94.0;29.1;40.2;"""(Trade board) ; Amount huge live and Name tend"""
Charles Cook;charles_cook_5547;92.0;23.1;63.2;"""Attorney voice figure air gun: Situation speech left town; Second red"""
Tony Ross;tony_ross_4664;;73.1;65.2;"""According find; Recently six Risk memory"""
Stephanie King;stephanie_king_6688;53.0;15.1;15.2;"""Result out business teacher station for: Hold always; Wait fast"""
Michael Sullivan;michael_sullivan_1929;28.0;22.1;58.2;"""Boy herself: Nothing consider; Recent rate community some"""
Ashley Lutz;ashley_lutz_1805;8.0;88.1;74.2;"""Dark hand; Nation Discuss myself"""
Bruce Wilson;bruce_wilson_1409;66.0;;53.2;"""Group approach; Value truth energy Agreement police agency three"""
Stephen Chambers;stephen_chambers_7397;3.0;62.1;27.2;"""Able color benefit; Tv above Key voice image"""
Andrew Moore;andrew_moore_6081;31.0;26.1;61.2;"""Wide general: Take member; Government board"""
Brian May;brian_may_6310;45.0;71.1;59.2;"""Note: Maintain true the difficult special; then Leave scene low financial"""
Anne Brooks;anne_brooks_9897;86.0;89.1;57.2;"""Note: Ability people will notice director subject; then Area short sell but"""
Brian Richardson;brian_richardson_1578;9.0;15.1;3.2;"""Herself politics fine though; See hot worry range able Control reach soon all natural"""
Amy Pham;amy_pham_2765;93.0;83.1;23.2;"""Certain key; Hair set different operation very ; Break throughout kind"""
Nancy Anderson;nancy_anderson_0234;64.0;19.1;75.2;"""Agree institution administration center machine: College serious stop; Throughout"""
Mitchell Chavez;mitchell_chavez_1708;36.0;74.1;45.2;"""Clearly quickly; Enough right science model scientist Teacher newspaper"""
James Castro;james_castro_1080;69.0;57.1;18.2;"""Break suggest personal; Course quite Value as grow college"""
