username	name	salary	age	comment	note
gregory_cooper_2786	Gregory Cooper	95.0	29.1	"""Office night bar PM	 Ago financial walk Identify approach realize"""	"""(Organization attention) 	 Buy type form and If student of"""
thomas_reynolds_0041	Thomas Reynolds	63.0	45.1	"""Note: Almost	 then Fine practice truth network"""	"""Follow church; Not care 	 Easy past"""
diane_ward_4251	Diane Ward	13.0	61.1	"""South far old: East act	 Find home respond"""	"""Rock order law	 Change kitchen cause focus Generation plant"""
courtney_malone_0297	Courtney Malone	57.0	6.1	"""Turn	 Reveal Into other society"""	"""(Walk participant grow) 	 Later purpose history thank and Place who leader"""
douglas_jones_6418	Douglas Jones	4.0	73.1	"""Significant describe work: Set last	 Big serious list down like"""	"""Professor item mention	 Serious student claim Leg"""
susan_gray_6206	Susan Gray	57.0	42.1	"""Note: Couple civil accept special care	 then Car college"""	"""(Save) 	 Plan sport score hair down worry and Rather instead middle position over"""
danielle_hoffman_3266	Danielle Hoffman	91.0	29.1	"""Couple real their tend condition; Involve understand remain end 	 Recognize level director way"""	"""Note: Body serious discover fear development	 then Congress today check walk age"""
amanda_yang_9059	Amanda Yang	69.0	67.1	"""Travel responsibility: East himself past close	 System Congress"""	"""Stuff expert house	 Strong out interest region necessary Game into sort"""
jennifer_romero_4936	Jennifer Romero	76.0	2.1	"""Serve give hot power: American become food start together	 Spring explain"""	"""Note: Write value million friend shoulder	 then Training couple amount"""
mary_carter_9614	Mary Carter	12.0	64.1	"""Issue price	 Operation north near tell land Hour television rise"""	"""Often go style argue	 Factor Respond should"""
alex_lewis_3898	Alex Lewis	91.0	50.1	"""Note: Side	 then Heavy nothing know"""	"""Note: Live	 then Poor sometimes discuss wear"""
melissa_smith_6881	Melissa Smith	49.0	53.1	"""Note: On	 then Hold middle dog around"""	"""Particular send human character; Service everyone between 	 Team"""
rebecca_clarke_5109	Rebecca Clarke	39.0	74.1	"""Especially question more: Campaign century agree will consumer	 Try black market accept speak child"""	"""Watch western road: Everybody meet share	 Others"""
robert_johnston_2069	Robert Johnston	96.0	53.1	"""Arrive financial ability such issue: Drive administration	 Our land end player quite behavior"""	"""Almost stuff cost let: Middle risk	 Spring individual summer do"""
kevin_lee_0661	Kevin Lee	12.0		"""Note: Director ability	 then Realize fish training"""	"""Note: Focus hand occur	 then Sure too oil network we"""
donna_smith_8211	Donna Smith	31.0	48.1	"""Station discover final; Kid you later 	 Capital page summer reality lead"""	"""Yeah	 Past Boy own put"""
vernon_scott_7851	Vernon Scott	35.0	38.1	"""Every help wall strong clear: Too really wrong	 Summer our young"""	"""(Professional describe) 	 Significant everything and Score specific hour"""
martin_montoya_8398	Martin Montoya		11.1	"""Difference organization hot instead member	 Perhaps health teacher break last Race few"""	"""Cold gas; Response 	 Daughter win foreign expect stock"""
joseph_hernandez_0847	Joseph Hernandez	51.0	62.1	"""Note: On	 then Even politics vote land book"""	"""Least know walk build hundred: Account fire school type	 Than rich"""
elizabeth_hill_5476	Elizabeth Hill	43.0	34.1	"""Style; Case fish 	 Former place see"""	"""Without guess fill	 Mean Ahead despite will camera water"""
justin_rivera_5503	Justin Rivera	95.0	67.1	"""Note: Use value	 then Fast"""	"""(Conference on once) 	 Particularly design rest and Court probably so"""
joseph_white_6637	D	54.0	67.1	"""Note: Only expect bring	 then Body impact behind"""	"""Senior husband	 Physical Grow writer avoid take"""
keith_johnson_8589	Keith Johnson	14.0	15.1	"""Color young child food: Make important	 Course vote"""	"""Part force: Build American marriage investment	 Or whole give"""
david_palmer_5904	David Palmer	75.0	17.1	"""Note: Even reality	 then Page word"""	"""(To open natural provide though involve) 	 Character dream and Simply store responsibility kind south"""
tina_randall_9443	Tina Randall	29.0	85.1	"""Note: Way leave turn	 then Important"""	"""Popular: Contain account cultural difference attention act	 Maintain"""
justin_james_6833	Justin James	21.0	30.1	"""Often expert talk through; Some arrive 	 Fund"""	"""Mr onto ok sea project: Huge	 Election machine value"""
laura_holden_1940	Laura Holden	19.0	12.1	"""(Apply) 	 Key future easy wide and Television vote"""	"""(Country case) 	 Benefit social and Wide pass process"""
ryan_jones_9114	Ryan Jones	25.0	85.1	"""Because trouble long: Own major buy	 Take"""	"""Difference safe: Per safe name however hold	 Inside source"""
