name	age	score	comment
Daniel Richard	59.0	86.1	"""Country personal realize; Ago low three land 	 Short past"""
Terry Rodriguez		28.1	"""Stock start; Article 	 Out series clear simple"""
Michelle Ramirez	8.0	41.1	"""Quickly sure never; Pretty 	 The woman happy run"""
Jacob Hernandez	66.0	83.1	"""Challenge each religious put: Attorney letter	 Question development figure which for fill"""
Jonathan Scott	89.0	99.1	"""Hold theory environment	 Choice Hospital other anyone movement hope"""
Amy Myers	68.0	86.1	"""Available yes; Walk region food present defense development 	 Relate do style establish"""
Jessica Keller	19.0	64.1	"""(Build rich) 	 Ready and Throw"""
Christopher Berg	95.0	52.1	"""Note: Network point company be	 then Base support natural"""
Mariah Pena	70.0	14.1	"""Congress Mrs pull act success	 Feel in consumer wide effort blood Poor executive wait"""
Brittany Gallagher	46.0	1.1	"""Together act debate; Remember always 	 Music amount method inside"""
Emily Erickson	52.0	70.1	"""Investment everything	 Human actually stage class system Executive"""
 	9.0	54.1	"""Or personal us; Ask back source 	 Fill"""
Monica Middleton	40.0	54.1	"""Affect author; Beyond audience memory 	 What popular enough"""
Kendra Roberts	93.0	84.1	"""Already individual value kid eye; Course total 	 If game"""
Cassandra Smith	25.0	94.1	"""Fish likely me home	 Remember material likely per Well rest firm fight lead"""
Paul Rosales	15.0	24.1	"""Note: Show whatever maybe method more economic	 then He political public"""
Carl Hale	7.0	86.1	"""(Sound single several) 	 Few likely and Or indicate stock"""
James Booth	1.0	57.1	"""(Page never) 	 Foot benefit point form grow and Card kitchen indicate"""
Scott Clark	63.0	76.1	"""Hospital spring	 Same Mrs past east Big collection"""
Marco Moore	11.0		"""Face thought heart; Audience 	 Air fire picture"""
Heidi Randall	90.0	49.1	"""Note: Cup up	 then Personal visit college wall"""
Frank Byrd	35.0	58.1	"""Note: Loss answer benefit	 then Sort about ability coach the"""
Sabrina Cruz	5.0	46.1	"""Least sound decade sure cause mission; Sit 	 Seat gun his effect scene"""
Victoria Williams	88.0	90.1	"""History chair number figure: Another behavior	 Financial although let them"""
