# This is a comment line to skip
username;name;total_count;price;salary;comment
dr_haynes_5609;Dr Harry Haynes;68.0;89.1;77.2;'''Illum labore; Adipisci praesentium architecto animi Occaecati placeat eligendi'''
gregory_page_4834;Gregory Page;100.0;51.1;91.2;'''In fugit impedit nemo modi; Dolore dolorem labore ; Hic'''
miss_harrison_0305;Miss Kathleen Harrison;3.0;83.1;36.2;'''Sed: Labore neque cumque; Veniam culpa'''
paula_morton_4487;Paula Morton;49.0;90.1;62.2;'''Reiciendis rerum; Veritatis magnam ; Earum quod nesciunt'''
lindsey_cooper_0804;Lindsey Cooper;59.0;33.1;83.2;'''Quisquam sequi veniam molestias; Recusandae excepturi Ea quibusdam officia'''
jane_sinclair_4459;Jane Sinclair;40.0;31.1;37.2;'''Natus aspernatur debitis; Consequuntur voluptates eaque ; Recusandae ea'''
dr_holden_4225;Dr Rachel Holden;71.0;22.1;17.2;'''Note: Porro dignissimos dolore vel ullam; then Repellendus quaerat'''
lisa_marshall_2362;Lisa Marshall;53.0;36.1;56.2;'''Facilis ab eum eos ut officiis: Ad consequuntur deserunt dolore; Accusamus vel'''
frederick_hayes_8956;Frederick Hayes;31.0;57.1;71.2;'''Note: Atque exercitationem; then Neque aut reiciendis'''
charlie_cooke_6872;Charlie Cooke;34.0;98.1;62.2;'''Dicta rerum nulla; Doloribus saepe officia Iste sit in placeat'''
mrs_walker_0150;Mrs Julia Walker;76.0;79.1;28.2;'''Note: Laboriosam quae provident; then Ipsa consequatur'''
lawrence_holmes_1466;Lawrence Holmes;100.0;65.1;98.2;'''Fugit dicta tempora quo nemo ipsam; Cupiditate iure autem labore voluptas ; Quia'''
helen_bowen_0746;Helen Bowen;46.0;76.1;35.2;'''Note: Quisquam veniam rerum; then Molestiae odio quae impedit consectetur'''
rosemary_cox_9545;Rosemary Cox;88.0;66.1;80.2;'''Note: Aperiam fugit; then Odio'''
ricky_lewis_0677;Ricky Lewis;45.0;7.1;37.2;'''Soluta; Fugiat quidem iusto quos Id'''
dr_reynolds_3470;Dr Christine Reynolds;34.0;2.1;;'''Note: Nesciunt sed; then Inventore accusamus eveniet est'''
timothy_king_3240;Timothy Dunn-King;30.0;72.1;67.2;'''(Inventore hic soluta) ; Dolorum a in fuga nesciunt and Perspiciatis quisquam nemo'''
