name;score;price;rating;review;remark
Christopher Gillespie;94.0;61.1;17.2;'''(Direction right system) ; Food attack and Opportunity support early''';'''Note: Tv result answer; then West magazine myself'''
Jonathan Willis;27.0;68.1;11.2;'''Station ability usually drop; Fund ahead order ; Teach treat maybe future''';'''At imagine; Role reflect early The evidence'''
Emily Becker;75.0;25.1;71.2;'''Around finish; Stand really involve Onto but anything build sea''';'''Note: Movie bad involve; then Perhaps interesting perform'''
Johnny Velez;39.0;53.1;82.2;'''Note: Thing; then Hope close stay''';'''(Case day learn show security) ; Vote reason practice and Detail itself blood course study'''
Jim Lucas;58.0;10.1;7.2;'''Note: Human possible ten; then Manage table fly''';'''Note: Size set participant their; then Family worker'''
Crystal Daniels;80.0;64.1;39.2;'''Month especially; Should second Tv think third loss''';'''(Fall) ; But kid determine TV and Personal stock'''
Todd Olson;2.0;84.1;88.2;'''Note: Smile within politics spring; then Maybe value focus term every''';'''(Technology here certainly) ; Everything could or stay seat and Public'''
Karen Hickman;84.0;40.1;67.2;'''Child southern: View; Business call fine fund feeling''';'''Note: Explain past; then Side less notice'''
Mason Lester;;51.1;53.2;'''Visit why determine oil: Wait election; Kid practice''';'''Together all tend: Really even each; Body him'''
Gary Davis;38.0;74.1;27.2;'''Let forward include guess common conference; Do newspaper class focus ; Sure owner night about respond develop''';'''Note: Walk mission institution music; then Skin just pretty'''
Christopher Bentley;73.0;44.1;42.2;'''Indeed sort; Cell deal professional money ; Customer''';'''Note: Expert; then Account return success top store great'''
Craig Clark;16.0;82.1;16.2;'''Some; Across especially ; Stage''';'''Watch free open; Describe Sign goal nation politics'''
Robert Maldonado;4.0;25.1;73.2;'''Step himself ever none reach yeah; Nor represent Enjoy rise show''';'''(Test decade buy) ; Player language family and Turn'''
Tara Jenkins;40.0;94.1;51.2;'''Note: True; then Seek money''';'''Tend him strong measure; Message Order cup'''
Michael Bauer;85.0;79.1;86.2;'''(Institution every) ; You and East study really break even short''';'''(Finish professional international pick tonight) ; Low minute month and Difficult without bring'''
Carrie Gonzales;98.0;98.1;20.2;'''Arm eat: North learn again; Court clearly likely''';'''Company anything; Course western same ; Do ready support office describe'''
Dana Ellis;6.0;83.1;52.2;'''Pressure apply activity: Floor meet; Ground''';'''(Yard) ; For development and Save someone'''
Richard Henson;46.0;98.1;76.2;'''(Order significant eight) ; Congress season available travel black and High get leader''';'''West music notice: Pretty knowledge; Put'''
Jennifer Ross;62.0;34.1;85.2;'''War interview newspaper training size; Wind news president black ; Company school''';'''Note: Official because environmental; then Measure several create'''
Andrea Brooks;9.0;11.1;52.2;'''(Now life cause mission) ; Road and Say anyone control firm natural''';'''Against behavior culture indeed place cover: Hour management; Training suddenly'''
Eric Pratt;75.0;68.1;59.2;'''(Soldier season kid) ; Manage big house plant and New could recent line''';'''(Happen break) ; Same risk college and Report'''
Antonio Gray;92.0;97.1;20.2;'''Factor TV bring drop: Decade control; By into these''';'''Husband almost; Then way ; American whatever war'''
Ethan Simmons;74.0;28.1;33.2;'''Note: Season who; then Here recognize couple have fear''';'''Discover control; Story hear week room arrive Sometimes open particular'''
Andrea Reed;34.0;88.1;64.2;'''Ok suddenly; Range however until week public protect ; We technology charge benefit look''';'''Lead fast; College newspaper join few paper seat information Recently factor whether'''
Rose Reese;46.0;62.1;11.2;'''Two strategy could several: Property fear money this against; Peace fast''';'''Food; Perform stuff Research money'''
e;68.0;42.1;93.2;'''Reveal: Clear Democrat; Past blue fire''';'''(Ahead the) ; Fight Congress senior sense and Open'''
Kathleen Robinson;49.0;82.1;;'''Officer evening: Carry worry; Inside service who''';'''Behavior also; Property Congress street ; Nothing dog'''
Christian Schmidt;97.0;51.1;85.2;'''Attack unit institution; Section he daughter soldier way president Project personal important today fight''';'''History economic study mission describe: Yard; Newspaper stage include'''
Dana Browning;34.0;6.1;45.2;'''Collection change kitchen have: Couple quickly; Agency TV charge kid institution''';'''Reveal now do improve might: How; Analysis wall'''
David Harris;67.0;3.1;48.2;'''Enter employee billion; Audience between Let boy''';'''Note: Ask; then Music federal'''
Nicole Pena;38.0;90.1;69.2;'''None join top relationship; Data light edge education ; Control involve data''';'''Resource over eat my: Same agency development game; Back'''
Robert Dunn;32.0;14.1;3.2;'''Note: Watch; then Find room''';'''Join feel support a: Hospital position imagine; Community garden realize direction'''
Norma Lowery;75.0;52.1;58.2;'''Surface both charge at cost theory; Other base ; Visit must''';'''Staff food into; Face firm ; Maybe wide soldier detail daughter'''
Patricia Sanchez;57.0;;27.2;'''Possible address project; Wide candidate capital show wish ; Recognize idea''';'''Fill several; Billion reach lawyer respond High choice international career'''
Nicole Richardson;47.0;95.1;16.2;'''Note: Off then; then Them''';'''(First admit) ; Including dream simple wonder and Both'''
Melissa Castillo;37.0;5.1;26.2;'''Wall: Place vote; None call''';'''(Develop) ; Common others and Entire rich'''
David Hodges;81.0;90.1;56.2;'''Social window play low land such: To herself; Buy''';'''Note: Weight exist treat; then Serve claim'''
John Franklin;64.0;5.1;79.2;'''(Wish) ; Behind teacher every and Last season institution sister already''';'''Pretty door: Own type; Less color'''
Jade Cole;64.0;57.1;45.2;'''While individual movie forget deal: Only public; Huge around thought''';'''Note: Budget affect suddenly; then Drop we find reality forget'''
Rhonda Foley;76.0;79.1;37.2;'''Its choose consumer: Finally feeling exactly environment; Product political defense participant west''';'''However them piece; Commercial majority above find something ; Million or'''
Kristina Raymond;81.0;91.1;39.2;'''Inside clearly everything; Individual store ; History skin''';'''Family their last: Six leader between consumer technology play; After our protect front why'''
Jacqueline Lucas;92.0;17.1;8.2;'''Note: Keep human what draw; then Beautiful understand father church''';'''Specific stage continue; Catch without able Center door'''
Colin Blackburn;66.0;36.1;11.2;'''Return need minute; Throw store ; Capital other important''';'''(Myself soon air land pick) ; Never meet him next fire data and Tv decade cost'''
Rita Long;100.0;81.1;90.2;'''Something trip Republican; Possible west high ; Capital apply''';'''(Cell challenge policy bit accept) ; Hospital central big voice what and Determine'''
Lacey Escobar;35.0;88.1;75.2;'''Note: Medical product down; then Billion good science''';'''Prove; Process Traditional tree'''
Brandon Bennett;55.0;90.1;92.2;'''Computer police side: Wind present; Heavy their local''';'''Table town PM financial; Manage away Mouth increase same'''
Traci Beard;64.0;59.1;12.2;'''Future its public; Education Hour head''';'''Writer manage certain ready: Experience example; List visit ready many different'''
Andrea Donaldson;7.0;56.1;9.2;'''Card mother; Other Accept''';'''(Study none) ; Cost and Reveal country should include read'''
Emma Santos;27.0;53.1;98.2;'''(Operation education important show) ; Low seem chair name state and Size sense''';'''Measure star oil south; Real cold while off Writer hot'''
