# This is a comment line to skip
username	name	price	score	total_count	message
john_park_6445	John Park	44.0		2.2	'''Until challenge give	 Quality group year quickly computer Prevent book physical economy open'''
melissa_harrison_8846	Melissa Harrison	16.0	84.1	88.2	'''Skin movement food nearly western system	 Clearly under break should Per ahead around'''
jennifer_gonzales_4640	Jennifer Gonzales	82.0	66.1	49.2	'''Spring live: Rather speech million	 Car get outside perform meet'''
catherine_coleman_2171	Catherine Coleman	69.0	32.1	54.2	'''(Truth economic which) 	 House bed and With along appear take prepare political lot'''
wanda_smith_6559	Wanda Smith	35.0	48.1	62.2	'''Actually want: Marriage attorney military crime	 Break we traditional style'''
amanda_schwartz_4963	Amanda Schwartz	48.0	33.1	75.2	'''Note: Wonder as one economic whole act	 then Commercial law'''
melissa_alvarado_6208	Melissa Alvarado	61.0	90.1	18.2	'''Citizen art model: Computer character	 Car fill blood receive'''
corey_thomas_6472	Corey Thomas	36.0	94.1	57.2	'''(Near determine trouble specific apply) 	 Available hotel capital free and Them surface trip'''
caleb_preston_1192	Caleb Preston	36.0	46.1	72.2	'''(Risk nation) 	 Live financial sure that and Chance minute'''
tammy_white_8976	Tammy White	71.0	36.1	75.2	'''Design third walk affect imagine thus; Change over level 	 Board today others word'''
drew_riley_6606	Drew Riley	31.0	81.1	65.2	'''Dog look mention movement; Moment media 	 Decide growth training happy size'''
michael_sanders_3160	Michael Sanders		48.1	8.2	'''Someone note office item; Hope senior 	 Make'''
joanna_mays_7639	Joanna Mays	9.0	92.1	71.2	'''Company source: Night young effort board federal	 Hard tell'''
robert_brewer_1252	Robert Brewer	67.0	100.1	7.2	'''Herself yeah subject	 Financial economic idea help Than'''
kenneth_cantu_9693	Kenneth Cantu	3.0	85.1	39.2	'''Trip crime skin effect field; At 	 Agency'''
brian_moore_8571	Brian Moore	21.0	27.1	31.2	'''Down; Development appear girl range media 	 Method mother affect keep send similar'''
ronald_simmons_1898	Ronald Simmons	92.0	61.1	78.2	'''(Worker traditional professional) 	 Table and Decade join plan'''
travis_blevins_0287	Travis Blevins	85.0	56.1	50.2	'''(Man field) 	 Beyond part meeting and Maintain people any'''
samantha_garcia_6734	Samantha Garcia	95.0	57.1	90.2	'''Professor high; Serious 	 Job perform student certain'''
daniel_gregory_5345	Daniel Gregory	29.0	71.1		'''(Relate upon) 	 None player and Lay traditional'''
heather_dvm_3440	Heather Taylor DVM	53.0	67.1	67.2	'''Remember whatever take foot: Seem similar purpose	 Rock true push their'''
andre_anderson_0106	Andre Anderson	9.0	22.1	97.2	'''Small around high believe; While investment night 	 Safe through education'''
sarah_valentine_7267	Sarah Valentine	95.0	76.1	96.2	'''During	 Voice laugh quality my Discuss surface plant throughout'''
carolyn_gallegos_8122	 	73.0	18.1	7.2	'''Note: Reason something yet	 then Country lay alone'''
nicole_miller_7729	Nicole Miller	2.0	1.1	8.2	'''South; Place fast know 	 Somebody'''
nancy_griffin_7823	Nancy Griffin	91.0	70.1	6.2	'''Note: Baby serve arm	 then Boy from particular project'''
pamela_patterson_3493	Pamela Patterson	57.0	48.1	60.2	'''(Memory more) 	 Worry make fire north stage and Provide activity however very'''
emily_hartman_4639	Emily Hartman	23.0	66.1	76.2	'''End; Term these letter 	 Model international'''
andrea_rivers_8830	Andrea Rivers	48.0	100.1	38.2	'''Stay rather type	 Turn purpose Without'''
allen_farmer_0381	Allen Farmer	51.0	8.1	16.2	'''Discussion yourself: Economy child suffer	 Property sport'''
trevor_jacobson_9989	Trevor Jacobson	42.0	20.1	46.2	'''Institution administration play again trade space; Raise finally 	 Serve good billion western'''
julie_macias_4491	Julie Macias	53.0	34.1	2.2	'''Write; Outside perform free 	 Moment'''
dawn_cole_7598	Dawn Cole	4.0	82.1	12.2	'''Green full kitchen same add owner: Night understand	 Recent whatever pay suffer'''
alexander_sampson_9365	Alexander Sampson	65.0	53.1	93.2	'''Difficult why song	 Option natural traditional Mind language better'''
ann_barnes_8418	Ann Barnes	24.0	23.1	53.2	'''Couple: Off	 All'''
anthony_hill_4975	Anthony Hill	98.0	15.1	3.2	'''Late note week	 Produce during Probably report decision less which'''
donald_ortiz_7601	Donald Ortiz	56.0	81.1	44.2	'''Loss degree medical	 Local Mrs strategy Produce'''
stephanie_levy_8738	Stephanie Levy	41.0	39.1	45.2	'''(Task put beat difference very white) 	 Stand it material world and Force nation'''
stephen_frederick_9751	Stephen Frederick	77.0	40.1	56.2	'''Their choose: Station discover factor current he short	 Perhaps cause enough can participant'''
sarah_mcintosh_9246	Sarah Mcintosh	72.0	76.1	81.2	'''Cold usually: Degree theory though	 Class meet person'''
michael_brown_3826	Michael Brown	92.0	54.1	39.2	'''Note: Possible send federal I	 then Color window test type'''
jeremy_gonzalez_2493	Jeremy Gonzalez	51.0	70.1	73.2	'''Organization manager left; Forward town someone point star 	 Accept live oil network'''
sharon_taylor_8317	Sharon Taylor	22.0	54.1	2.2	'''Real attention: Particularly receive	 Just bar'''
veronica_wagner_8617	Veronica Wagner	2.0	56.1	56.2	'''(Discover side market soldier) 	 Treat relationship and Floor ability million network'''
