# This is a comment line to skip
username;name;total_count;age;rating;note
sheila_gibson_4836;Sheila Gibson;57.0;15.1;98.2;"""Voluptates nulla eligendi laborum: Numquam; Odit impedit dolore excepturi ipsa"""
tom_hussain_7487;Tom Hawkins-Hussain;33.0;25.1;84.2;"""Ipsam blanditiis: Dolorem itaque; Voluptatum beatae"""
leslie_brown_8547;Leslie Brown;13.0;98.1;16.2;"""Dolor hic: Dolorem voluptate nostrum inventore unde; Iste explicabo"""
lauren_hughes_4160;Lauren Hughes;65.0;17.1;33.2;"""Nam ea molestiae; Iusto est Ut nisi reprehenderit velit"""
cameron_armstrong_1541;Cameron Thornton-Armstrong;65.0;55.1;13.2;"""Consequuntur: Libero explicabo odio; Cupiditate"""
dr_williams_5518;Dr Jordan Williams;11.0;14.1;43.2;"""Esse libero quia temporibus explicabo; Cum dolor amet Eius"""
annette_andrews_0938;Annette Turner-Andrews;43.0;18.1;52.2;"""Praesentium consectetur modi vel: Ea cum; Qui asperiores praesentium"""
nathan_murphy_1517;Nathan Murphy;46.0;24.1;17.2;"""Dolorem; Iusto ea ducimus pariatur ; Inventore laborum ratione nihil soluta"""
sophie_smith_6753;Sophie Smith;6.0;97.1;89.2;"""Possimus doloribus minus occaecati similique; Iste provident excepturi ut qui dolorem Doloribus molestias iure"""
graham_turner_1915;Graham Turner;81.0;100.1;73.2;"""Delectus inventore; Iste unde corrupti Culpa esse maxime quam reprehenderit"""
marilyn_james_6851;Marilyn Taylor-James;66.0;74.1;98.2;"""Eos sequi nemo; Sequi dicta natus nemo dolorum Accusantium quis pariatur ex"""
arthur_rogers_5756;Arthur Rogers;97.0;73.1;57.2;"""(Officia cupiditate) ; Veniam maiores and Repudiandae assumenda"""
ms_miles_7999;Ms Hannah Miles;10.0;78.1;17.2;"""Voluptas accusantium dolores in: In; Sunt quisquam"""
dylan_foster_2089;Dylan Carter-Foster;64.0;73.1;22.2;"""Iusto maxime: Et delectus et exercitationem numquam; Vel perspiciatis"""
debra_wood_8360;Debra Wood;8.0;48.1;99.2;"""Nobis doloremque corrupti; Necessitatibus vel et rem architecto laboriosam Magni odio in impedit"""
jade_stewart_6258;Jade Stewart;5.0;35.1;12.2;"""Exercitationem dolores dolore amet: Totam; Rem temporibus corporis possimus nostrum officiis accusamus"""
gillian_patterson_9151;Gillian Patterson;99.0;61.1;32.2;"""(Accusantium) ; Neque delectus adipisci and Distinctio quis totam occaecati nostrum"""
bethan_jones_9547;l;89.0;46.1;51.2;"""(Nostrum sunt) ; Quo nobis dolore eius eveniet and Incidunt"""
valerie_booth_6874;Valerie Booth;50.0;75.1;28.2;"""Ad quibusdam; Blanditiis magnam Labore"""
jill_walsh_9473;Jill Walsh;53.0;78.1;;"""Voluptatibus dolore earum id; Vel eaque ; Nesciunt quae quia"""
dr_sanderson_8760;Dr Howard Sanderson;42.0;15.1;8.2;"""Exercitationem esse quisquam reprehenderit facilis; Illum porro assumenda saepe debitis ; Ipsa cum optio molestiae"""
laura_holmes_5888;Laura Holmes;78.0;31.1;63.2;"""(Saepe magnam ipsum omnis) ; Neque perspiciatis and Ad suscipit"""
sara_wade_8037;Sara Wade;90.0;94.1;50.2;"""(Aperiam) ; Amet harum and Aperiam tempora sequi eaque"""
dr_swift_8779;Dr Gary Swift;14.0;26.1;21.2;"""Note: Sunt veritatis odit magni; then Ut"""
carole_brown_2276;Carole Brown;97.0;12.1;16.2;"""Quis quidem tenetur: Itaque tenetur; Ipsa unde eveniet"""
dennis_white_3432;Dennis White;100.0;;35.2;"""Ipsum libero tenetur saepe delectus iste; Quis Tempora maxime possimus cumque assumenda voluptatem"""
charlie_pearson_0622;Charlie Pearson;19.0;69.1;40.2;"""Deleniti porro; Corrupti Quod officiis"""
toby_wood_8822;Toby Wood;16.0;99.1;97.2;"""Eaque excepturi: Dolores vero; Quidem sed"""
beth_mckenzie_8736;Beth Scott-McKenzie;87.0;66.1;92.2;"""Placeat enim tempora; A harum ; Nam eius accusamus"""
dr_lewis_0206;Dr Amelia Lewis;11.0;78.1;49.2;"""Modi reprehenderit quibusdam: Sunt veniam officia numquam; Pariatur dolore voluptate minima"""
kelly_brown_4535;Kelly Brown;55.0;71.1;52.2;"""Dolorem earum excepturi libero; At Placeat deleniti rem"""
joanne_perkins_8619;Joanne Perkins;97.0;66.1;2.2;"""Voluptatum: Nobis a quas; Repellendus non necessitatibus"""
robert_barnes_3124;Robert Barnes;45.0;66.1;76.2;"""Dolorum error vero voluptas: Maxime; Provident dicta magnam assumenda praesentium"""
alexander_barnett_1168;Alexander Barnett;32.0;14.1;19.2;"""Repellendus adipisci; Sit commodi fugit amet iste ; Esse at fugiat"""
marie_sanders_4090;Marie Sanders;15.0;97.1;73.2;"""(Eum iusto molestias) ; Minus and Provident veritatis"""
natalie_hamilton_0251;Natalie Chan-Hamilton;62.0;55.1;90.2;"""Nulla nesciunt occaecati; Laborum a cum ; Perspiciatis minima"""
nigel_adams_6170;Nigel Adams;20.0;33.1;55.2;"""Note: Aperiam delectus saepe adipisci; then At facilis"""
mr_clements_0720;Mr Norman Clements;82.0;49.1;46.2;"""Voluptatibus aspernatur fugit; Exercitationem pariatur Nam ratione provident"""
dr_butler_1244;Dr Pauline Butler;58.0;54.1;31.2;"""Ipsam debitis quod; Atque sed a recusandae ; Qui excepturi"""
glen_wallace_9676;Glen Wallace;8.0;28.1;46.2;"""Veritatis inventore explicabo: In et provident; Totam laudantium"""
georgia_page_0231;Georgia Page;39.0;44.1;24.2;"""Note: Libero quasi; then Nemo error ut"""
gareth_richardson_0021;Gareth Richardson;;40.1;21.2;"""(Praesentium quia) ; Praesentium veritatis and Aperiam perspiciatis maxime molestiae"""
harry_gregory_3988;Harry Gregory;42.0;24.1;5.2;"""Corporis perspiciatis; Dolorem Odio a in totam"""
mrs_coleman_5188;Mrs Irene Coleman;28.0;58.1;88.2;"""Eaque porro corporis temporibus ut porro; Necessitatibus culpa Id"""
dorothy_morris_2636;Dorothy Steele-Morris;35.0;85.1;63.2;"""Temporibus accusamus: Voluptas debitis perferendis laborum; Et"""
simon_roberts_7978;Simon Roberts;2.0;61.1;21.2;"""Beatae assumenda; Maxime ; Ratione"""
malcolm_horton_5627;Malcolm Horton;91.0;14.1;32.2;"""(Voluptate ab) ; Laudantium eligendi voluptas exercitationem suscipit and Numquam velit explicabo non eaque ipsa"""
sarah_white_4615;Sarah White;42.0;64.1;55.2;"""(Consectetur) ; Reiciendis assumenda eum distinctio and Soluta ipsa ipsa"""
karen_ali_6449;Karen Walker-Ali;23.0;56.1;5.2;"""Autem repellat: Tempora; Incidunt"""
mr_knight_3253;Mr Dale Knight;83.0;67.1;81.2;"""(Debitis) ; Debitis veritatis velit facere and Praesentium"""
