username	salary	remark
karl_butler_5410	12.0	"""Quos: Et vero	 Atque quo ipsum ea excepturi"""
mr_cox_7501	91.0	"""Quas incidunt nostrum: Dolor non	 Laudantium"""
dr_james_4767	63.0	"""Nam modi amet dolorum mollitia; Doloribus dolores 	 Excepturi sit"""
oliver_wheeler_7746	45.0	"""Note: In ad quae	 then Autem incidunt ea"""
dr_humphries_7000	79.0	"""Voluptates nisi numquam; Mollitia 	 Quaerat sapiente quod at"""
damien_webb_2286	40.0	"""Dignissimos qui aliquam recusandae magni	 Temporibus non Molestiae soluta"""
stuart_turner_1059	86.0	"""(Doloremque labore pariatur) 	 Voluptatibus and Reiciendis eum omnis"""
sian_reynolds_4520	39.0	"""Eius voluptate enim	 Consectetur ipsam cum quod ducimus magni Dolorum eligendi"""
mr_parkin_9858	79.0	"""A inventore animi	 Ipsam quo minus Repudiandae aspernatur quaerat"""
dr_jones_3205	85.0	"""Iste consequuntur commodi nulla ad; Maiores sunt placeat aliquid 	 Quaerat ipsa unde"""
mr_reynolds_9969	26.0	"""Placeat ipsam provident	 Officia libero Impedit officiis rerum"""
dr_marsden_6414	9.0	"""Quo ducimus: Aut	 Accusamus odio"""
simon_andrews_4378	22.0	"""(Possimus quo nesciunt mollitia nihil) 	 Corporis and Dolorem iure praesentium similique"""
mr_edwards_4355	50.0	"""Itaque voluptate; Sunt deserunt 	 Id culpa nisi"""
julian_mills_1224	94.0	"""Expedita error	 Quos optio cupiditate quo Deleniti exercitationem facere tempora eligendi"""
miss_jennings_3353	46.0	"""Doloribus esse; Repudiandae non a nisi 	 Aspernatur quam nam"""
shane_price_0691	61.0	"""Nostrum a libero	 Est delectus voluptatem Quidem velit quidem"""
elliott_pritchard_9790	20.0	"""Eum ratione inventore officia perspiciatis voluptatum facilis	 Fugiat eius nulla Mollitia necessitatibus repellendus"""
kate_ball_3834	58.0	"""Odit ducimus quidem molestias beatae repellat	 Asperiores quae autem consequatur tempore Atque sed quas officiis distinctio pariatur"""
mr_sims_8867	85.0	"""Dolorum: Dolor optio	 Maiores impedit"""
dr_gordon_3828	72.0	"""Eum; Fuga quod quibusdam cupiditate 	 Error doloribus"""
miss_williams_3647	75.0	"""Similique dolorem iste	 Libero iure impedit Quasi omnis repellat eius"""
chloe_wood_2566	59.0	"""Note: Quo magni perferendis	 then Natus exercitationem rerum aliquid odio"""
barbara_bradley_7283	2.0	"""(Assumenda molestiae tempore ipsam) 	 Impedit adipisci assumenda and Autem nam esse"""
josh_hammond_6109	9.0	"""Inventore molestiae recusandae maiores labore	 Earum Vero quaerat"""
guy_powell_3702	58.0	"""Note: Itaque vel odio dignissimos omnis	 then Cum culpa ex"""
abdul_roberts_7119	57.0	"""(Architecto earum reprehenderit non) 	 Illo ex and Suscipit"""
dale_blake_2613	21.0	"""Et mollitia quasi	 Velit ab Molestias animi vel hic quibusdam"""
dr_lee_9570	95.0	"""Note: Perspiciatis labore	 then Sit"""
dr_rowe_9592	29.0	"""Note: Provident molestias magnam velit	 then Provident"""
leigh_wilson_8878	15.0	"""Recusandae quos: Illum consequatur	 Tempore"""
lawrence_talbot_4535	45.0	"""Note: Molestias velit	 then Voluptate debitis culpa praesentium"""
gregory_wilson_5497	62.0	"""Quidem delectus cupiditate tempora ratione: Cumque voluptatibus	 Assumenda exercitationem quidem quae"""
dr_stone_8433	45.0	"""Nostrum delectus expedita	 Accusamus Omnis officiis iste"""
ms_smart_1826	25.0	"""(Incidunt fuga praesentium repellat molestias) 	 Dignissimos and Laborum laudantium saepe"""
gerald_king_5621	89.0	"""(Magni) 	 Eos nobis odit nobis and Totam perspiciatis ratione"""
frank_young_5947	17.0	"""Architecto doloribus; Doloremque earum inventore 	 Labore corporis"""
dr_kirby_2991	63.0	"""Deserunt officia sequi eius: Hic deleniti delectus in modi eum	 Minus et quidem repellendus"""
sara_bell_3379		"""Note: Minus veniam beatae officia	 then Sint repudiandae repellendus harum"""
ms_gregory_7996	1.0	"""Tenetur perferendis sit; Laudantium ipsam 	 Distinctio temporibus"""
jason_lee_3429	37.0	"""Optio fugiat unde: Vitae laudantium voluptatem quidem molestiae	 Adipisci minima in hic"""
ellie_jenkins_1540	25.0	"""Placeat assumenda exercitationem	 Possimus accusantium aut repudiandae Quo corrupti"""
josh_griffin_2100	81.0	"""Sapiente reprehenderit architecto; Quod quos similique saepe aperiam 	 Voluptatibus cupiditate"""
