username;name;total_count;age;summary
brittany_poole_5680;Brittany Poole;37.0;35.1;"""Coach seem build word; Road structure campaign anything although Many bring along thought research inside"""
marissa_cervantes_6373;Marissa Cervantes;35.0;11.1;"""Note: Test walk individual; then Check local spend country church"""
jessica_jimenez_7539;Jessica Jimenez;41.0;5.1;"""Capital only amount plant from; Nice mother Kid speech everything"""
vincent_perez_9584;Vincent Perez;88.0;85.1;"""Prove cost picture dog; Friend defense five main Good agree own than"""
austin_ibarra_9009; ;20.0;31.1;"""Few final: Go; Fly"""
katrina_miller_0893;Katrina Miller;5.0;76.1;"""Note: Will; then Meet occur"""
jonathan_henry_8035;Jonathan Henry;64.0;;"""(Off window natural) ; Admit force and Pull bill"""
lauren_dunn_9798;Lauren Dunn;82.0;62.1;"""May research: World door senior more; Quality"""
bradley_burton_9657;Bradley Burton;36.0;63.1;"""Tax return medical push card: Behind set sense short morning; Child"""
peter_warren_5637;Peter Warren;;71.1;"""Experience no; Responsibility few even method Song study"""
jason_rhodes_1634;Jason Rhodes;50.0;4.1;"""Note: Particular red floor; then Successful part list"""
alexis_lucas_2089;Alexis Lucas;10.0;11.1;"""Bad much growth: Free drop easy; Relate candidate"""
meghan_krueger_1540;Meghan Krueger;23.0;100.1;"""Note: Chance; then Star"""
jesus_black_3011;Jesus Black;76.0;5.1;"""(Social enough) ; Training civil and Take edge easy"""
amanda_vasquez_7650;Amanda Vasquez;24.0;34.1;"""Tree south rise: Other body; Movie either current upon ability"""
patrick_patel_8556;Patrick Patel;68.0;42.1;"""Recognize everybody; This remain air institution quite strategy hit Fly by"""
aaron_peters_8275;Aaron Peters;91.0;83.1;"""Prove: Kitchen bag; Daughter shoulder mean on only"""
george_lee_9721;George Lee;93.0;53.1;"""Note: Head establish head where; then Your nation reason"""
amber_lutz_5611;Amber Lutz;27.0;97.1;"""Time research occur hold give listen: Avoid total heart continue police; Key inside miss avoid"""
gina_diaz_1910;Gina Diaz;11.0;10.1;"""Note: Business movement large state let; then State morning policy"""
beverly_williams_1948;Beverly Williams;42.0;21.1;"""Note: Day specific college treatment; then Alone level"""
chelsea_mckinney_6467;Chelsea Mckinney;88.0;38.1;"""(Recognize throw Democrat) ; Him nation value school particular and Research person"""
lori_stephenson_4883;Lori Stephenson;34.0;20.1;"""Note: Pay under already opportunity radio listen person; then Effort"""
stephanie_thomas_2058;Stephanie Thomas;62.0;40.1;"""Note: Husband project; then Employee mother"""
ryan_sheppard_6775;Ryan Sheppard;30.0;48.1;"""Small generation financial: Book raise already; Consumer other"""
alice_decker_4600;Alice Decker;85.0;94.1;"""Note: Receive; then Sure decade your road"""
charles_garrett_1112;Charles Garrett;9.0;49.1;"""Face claim foreign: He high; Entire only film"""
brittney_martinez_4787;Brittney Martinez;49.0;31.1;"""Note: Loss might argue never; then Maybe institution"""
antonio_simon_0677;Antonio Simon;11.0;89.1;"""Hospital cultural; Nature sort voice ; Long day still teacher"""
sarah_hamilton_7686;Sarah Hamilton;75.0;60.1;"""Note: Day somebody way have; then Arm something"""
dawn_beasley_3092;Dawn Beasley;33.0;95.1;"""Food movement last; Unit close Coach"""
daniel_owen_3956;Daniel Owen;71.0;74.1;"""Note: Put state; then Cultural"""
donald_chapman_2522;Donald Chapman;96.0;78.1;"""Watch gun possible; Show make consider Probably"""
robert_browning_4982;Robert Browning;2.0;25.1;"""(Think music door) ; However student and Relate area air"""
joseph_oliver_3209;Joseph Oliver;48.0;90.1;"""Man notice yard reason through; Once ; Operation"""
