username	total_count	score	salary	description	comment
patrick_mason_5065	37.0	27.1	37.2	"""Today happy form paper democratic; Individual until 	 Share art be something subject"""	"""Congress watch: Law yes	 Phone"""
sean_olson_9257	89.0	44.1	9.2	"""(Stay not film candidate former) 	 Eight beautiful add yeah space dinner and Ok send since hot spring"""	"""Note: Next since begin	 then Where central"""
morgan_mcmahon_0769	18.0	85.1	50.2	"""(Foreign story) 	 Large prepare many for and No threat"""	"""Note: Too game maybe story gun instead	 then West anyone citizen relate father"""
william_baker_5182	82.0	53.1	70.2	"""(If traditional nearly) 	 She attention student because and Reduce college agent huge under"""	"""Doctor per	 Year food scientist my Relationship new benefit military garden"""
sharon_dougherty_0250	84.0	97.1	50.2	"""Summer anyone	 Community dream operation Support role"""	"""(Show new food floor) 	 Bag boy and Compare include sort"""
anna_meyer_8715	78.0	55.1	100.2	"""Impact	 And husband Character"""	"""Appear sort including: Voice matter effect car	 Night hundred also hotel"""
melissa_evans_7873	70.0	12.1	14.2	"""Style become night: Military tell	 Bank could concern concern"""	"""Or high on nothing	 Among end Something situation itself safe"""
sharon_freeman_5806	34.0	99.1	20.2	"""Arm also generation care	 Good model Practice of risk how compare"""	"""Chair; Bar risk 	 Visit"""
ariel_gillespie_8957	73.0	72.1	91.2	"""Someone control mean attack; Appear through serve 	 Brother myself"""	"""Look whole; Middle statement 	 Six people fund plant"""
rhonda_fry_9693	30.0	42.1	31.2	"""Note: Health spring	 then Attorney difficult away"""	"""Art and	 Bring Minute moment stuff seat"""
shane_castillo_5192	66.0	90.1	87.2	"""(Me throw city face) 	 Total check and View order"""	"""Message morning town	 Certain again Game television"""
samantha_barry_8598	22.0	60.1	99.2	"""Note: Set great	 then Garden"""	"""Note: Lawyer them it mouth	 then Although call"""
arthur_gibbs_9546	68.0	78.1	42.2	"""Society	 Listen nearly night also history My compare food"""	"""Available executive power worry medical	 Wait around term three One"""
kelsey_west_2702	80.0	87.1	22.2	"""(One) 	 Represent some participant nothing million and Pressure simply religious already"""	"""See various hour how; It people human major strong 	 Change special"""
gabrielle_gates_1869	21.0	87.1	42.2	"""Authority to: Develop media tree thing	 Among"""	"""(Hold study hotel loss) 	 Message once and Third term yard"""
jessica_morgan_0263	32.0	37.1	42.2	"""Series identify; Tonight we 	 Lose former consider fish"""	"""Low eye; Ask must political 	 Picture man"""
walter_thomas_8528	56.0	28.1	65.2	"""Modern respond investment treat when place; Enter beyond development 	 Charge gas"""	"""(Past dinner) 	 Treatment yet mission and Democratic collection unit fine"""
corey_roth_0581	81.0	59.1	60.2	"""Year: Day	 Individual around"""	"""(Evening however policy thing) 	 Table build and Special he early billion find"""
sarah_ruiz_7510	35.0	56.1	88.2	"""Action night; Guess easy development carry 	 Operation suffer"""	"""Out walk wrong for: Military human common local	 Whole back building"""
olivia_werner_3117	20.0	67.1	23.2	"""Decide reflect: Little tend already opportunity	 Boy student for long particularly"""	"""Rock opportunity address; Computer range black 	 Admit education whole"""
colleen_obrien_3486	10.0	45.1	85.2	"""(Rule seat) 	 Ask television single his and Mr fire bill"""	"""Whole goal; Owner management 	 Short ask your"""
michelle_benitez_2537	66.0	34.1	79.2	"""Note: Claim standard participant	 then Reach sing"""	"""Me add; Including 	 Decision catch form fast scientist prevent"""
christine_bond_0422	52.0	3.1	48.2	"""Deep control; Worker guy interview eight 	 Vote every"""	"""Girl; My arm teach rock 	 Chance"""
gary_white_1061	70.0	33.1	59.2	"""Of these available those; Prevent may again lose 	 However program"""	"""Collection treatment like	 Partner nation too South during"""
ryan_velez_8208		80.1	44.2	"""People: But poor chance station star beat	 Control raise television training will market"""	"""Wonder four job never appear investment	 Seek law Home tonight"""
sara_gregory_3844	75.0	96.1	68.2	"""Among; Prepare 	 Course consumer study"""	"""Note: Meeting forget	 then Realize quickly allow"""
melissa_diaz_1971	55.0	79.1	46.2	"""(Lead leg also stock gas imagine) 	 Imagine visit southern and Mrs matter"""	"""Note: Race	 then Likely break race site test"""
jordan_graham_7641	31.0	22.1	20.2	"""Lot	 Stop everybody quality any Bring herself particularly"""	"""Note: Almost indicate speech	 then Marriage explain"""
joe_smith_2175	53.0	67.1	59.2	"""Walk decision each: About adult	 Summer unit voice"""	"""Mind draw voice; Majority 	 Here down mean customer modern government"""
