# This is a comment line to skip
name	username	salary	rating	price	review
Darren Miller	darren_miller_7727	72.0	74.1	40.2	"""Purpose hour clear property: War quite mission something system	 Main process"""
Taylor Turner	taylor_turner_1172	5.0	48.1	55.2	"""Time around however beyond: Continue why know	 Available consider"""
Gail Bell	gail_bell_8065	67.0	66.1	73.2	"""Cell subject reflect positive	 Health smile sound low race Choice meet"""
Virginia Frazier	virginia_frazier_0598	74.0	48.1	60.2	"""Network within according method; Democrat which daughter young 	 Sea south whole still"""
Edward Tran	edward_tran_6182	22.0	50.1	24.2	"""Improve very stage: Budget training brother	 Dream seven"""
Donna Lewis	donna_lewis_7000	86.0	49.1	94.2	"""Note: Pick low throughout	 then Fine"""
Patricia Kennedy	patricia_kennedy_5408	27.0	1.1	71.2	"""(Continue American cut human most subject) 	 Attack add summer attack discussion and See indeed buy"""
Alexis Davis	alexis_davis_7098	67.0	45.1	54.2	"""(Baby country cold) 	 They well and Animal guy successful"""
Mr. Francisco Perry DVM	mr_dvm_0906	73.0	13.1	68.2	"""Note: Mrs story group sense popular	 then Upon me"""
Robert Kaufman	robert_kaufman_0341	10.0	99.1	32.2	"""Analysis; Later sense you crime 	 Minute until face"""
Eric Nunez	eric_nunez_9533	28.0	98.1	13.2	"""Available environmental	 Without full forget look Travel argue entire leave present"""
Amanda Williamson	amanda_williamson_9150		60.1	2.2	"""Phone entire kid; Dinner dog hundred 	 Scientist"""
Billy Black	billy_black_0116	40.0	32.1	32.2	"""(Can beautiful according husband result) 	 Decide such and Its"""
Donald Young	donald_young_6664	100.0	43.1	14.2	"""Piece special: Including choose	 World treatment back"""
Matthew Li	matthew_li_0999	12.0	53.1	8.2	"""Official prevent: Trouble today	 Hot onto"""
Kevin Williams	kevin_williams_7704	15.0	31.1	38.2	"""Level everybody analysis; Middle 	 Raise night"""
e	kathleen_wall_6460	34.0	6.1	91.2	"""Teacher; Series responsibility without somebody country 	 Themselves next"""
Steven White	steven_white_1247	94.0	22.1	96.2	"""(Know test sign) 	 Record audience money protect and Out young whose"""
Michael Smith	michael_smith_8477	74.0	9.1	61.2	"""Road debate; Benefit 	 Pay direction skill marriage"""
Joseph Thomas	joseph_thomas_0226	99.0	7.1	85.2	"""For Congress represent technology where	 Chance opportunity push Because partner mention"""
Joseph Lawrence	joseph_lawrence_7850	79.0		62.2	"""Note: Could	 then Board add character"""
Jacob Baxter	jacob_baxter_5940	20.0	82.1	66.2	"""Side raise get	 Rise Make change"""
Patricia Flores	patricia_flores_2095	93.0	87.1	37.2	"""Enough measure: Sell light	 Catch their"""
Cynthia Bryant	cynthia_bryant_5267	33.0	36.1	80.2	"""Institution include we	 Parent Hospital upon rich"""
Alicia Jones	alicia_jones_2156	4.0	61.1	23.2	"""(Despite type available) 	 Create report and Professional down would"""
Carlos Ho Jr.	carlos_jr_7676	15.0	9.1	81.2	"""Deal year term	 Whom Who instead green"""
Jasmine Kelly	jasmine_kelly_4935	3.0	77.1	54.2	"""(Plan opportunity let its) 	 Second and Most once these occur section my"""
Rachel Taylor	rachel_taylor_3194	76.0	99.1	56.2	"""Note: Sure citizen series sense	 then Should particular"""
Amy Trujillo	amy_trujillo_8658	27.0	96.1	85.2	"""Result; Ask stop 	 May character sort stage team"""
Robert Wilson	robert_wilson_3664	27.0	90.1	31.2	"""Forward be	 Wear whole Animal picture cut walk seat"""
Abigail Murray	abigail_murray_9328	77.0	14.1	97.2	"""Note: Always difference	 then Black for actually"""
Virginia Osborne	virginia_osborne_7835	86.0	14.1	91.2	"""Wide among article: Maintain	 Oil voice view citizen"""
Christine Davis	christine_davis_0741	52.0	84.1	77.2	"""(Establish almost) 	 Surface million and Apply system hundred system natural"""
Sonya Smith	sonya_smith_9702	56.0	34.1	7.2	"""Decade describe business quickly	 Physical decision religious use Live year send account"""
Robert Nash	robert_nash_8756	29.0	30.1	71.2	"""(Choose draw) 	 Big and Fine land everyone statement much weight"""
William Huerta	william_huerta_7357	66.0	24.1	14.2	"""Offer require send; Suffer today learn 	 Worker eye"""
Ashley Rosario	ashley_rosario_3424	50.0	88.1	70.2	"""Way agency these; Establish doctor bit 	 Surface"""
Abigail Steele	abigail_steele_0752	19.0	9.1	55.2	"""Goal against among already	 Everything once member city Create"""
Samantha Martin	samantha_martin_6171	21.0	74.1	29.2	"""Note: Five white sign ever usually	 then Remember loss"""
Robert Mcdonald	robert_mcdonald_1257	38.0	28.1	67.2	"""Cut free; Risk thank I that special 	 Set recognize garden east lose with"""
Christopher Edwards	christopher_edwards_9354	29.0	78.1		"""(Land design) 	 Deep well treatment and Candidate mention public"""
Rita Rush	rita_rush_2706	51.0	72.1	40.2	"""Carry better not executive	 On term Guess than"""
Holly Lambert	holly_lambert_2830	18.0	26.1	22.2	"""Soldier less party away; Full draw middle bring before 	 Around training"""
Lynn Acosta	lynn_acosta_9045	16.0	92.1	73.2	"""Note: Positive eight	 then Also local water kitchen"""
Charles Cox	charles_cox_9809	92.0	46.1	91.2	"""(Window concern again firm) 	 Order place tonight and Get let or agreement agency"""
