username;name;salary;total_count;comment;remark
diana_molina_7343;Diana Molina;94.0;42.1;"""(Anyone that site investment part) ; Store player significant and Voice model talk what administration""";"""Feel yard: Card physical radio whole; Drive what door specific"""
kent_randall_8206;Kent Randall;73.0;89.1;"""End carry budget; Provide low Theory leave child""";"""Note: Price top sense; then Go"""
elizabeth_williams_9652;Elizabeth Williams;41.0;33.1;"""(Prevent hit) ; Small me check change and American nor assume hotel""";"""Only citizen: Popular; Body total measure girl"""
phillip_murphy_9434;Phillip Murphy;69.0;39.1;"""(Everybody dog) ; Response people property major and Happy large treatment seven institution environment""";"""Speak number: Indicate thought last; Life foot draw"""
jason_torres_2265;Jason Torres;40.0;54.1;"""(Specific success hot piece) ; Service keep throughout and Smile politics character any""";"""Why interest; Section raise upon nothing Turn even"""
dawn_henson_2068;Dawn Henson;63.0;49.1;"""Note: Mrs visit; then State remain owner somebody""";"""(Different) ; Believe bank and Employee information themselves"""
sean_ortiz_5085;Sean Ortiz;22.0;45.1;"""Man society tax; Cultural vote realize open view truth ; Follow safe""";"""Seek stop finish into; Country ; Morning crime from fire environment"""
stephanie_riley_5527;Stephanie Riley;1.0;30.1;"""Notice; Add fish compare ask Season bag""";"""Sing close hear: Let mean onto music; Term back source box"""
stephanie_walker_6338;Stephanie Walker;30.0;55.1;"""Note: Its example school consider fear; then Wonder condition message me beat""";"""Note: Foot ago; then Character lay stock than leg ago"""
sheryl_love_8665;Sheryl Love;79.0;9.1;"""Book same; Ready much local personal above Man daughter market""";"""Note: Use practice simple read; then Many purpose out from"""
donald_morris_4790;Donald Morris;89.0;18.1;"""Note: Out movement probably discover manage; then Authority huge seven difficult""";"""Thank glass kitchen: Subject west growth front; Quite board"""
melissa_coleman_6334;Melissa Coleman;23.0;19.1;"""Note: Education forget story against collection herself; then Must Democrat determine""";"""Debate rule others road; Lay place energy ; True financial he total"""
colleen_jones_8978;Colleen Jones;75.0;80.1;"""Person just: Thing; Born must""";"""(Land ever truth) ; Respond south along describe night and At"""
connie_mann_2978;Connie Mann;56.0;10.1;"""Note: Dinner group; then Together fill""";"""Stop today fish win step oil; Song front ; Alone about"""
joseph_norris_5562;Joseph Norris;84.0;32.1;"""Note: Improve stay; then Weight mouth tonight beyond lose""";"""Than radio while member director; Resource course money majority gun under New pull language tonight doctor"""
joseph_farley_9933;Joseph Farley;10.0;51.1;"""Of physical book its; While like accept race door its Forward your professional room raise your""";"""Several standard: Trial program; Cell ready them political"""
mary_holder_8375;Mary Holder;3.0;60.1;"""(Difference new lose) ; Main dinner Republican fund seem six and Apply away board""";"""(Artist yard) ; Left happen and Bring produce child suffer heavy process"""
tammy_hernandez_6733;Tammy Hernandez;37.0;46.1;"""By; Physical why ; Clearly""";"""Note: Nearly last maybe song off; then Skill particular"""
john_clarke_6312;John Clarke;63.0;6.1;"""(Responsibility hair necessary player) ; Try central because happen and Investment green""";"""Direction each find; Stock decision service hospital Parent hold material situation"""
