# This is a comment line to skip
name	total_count	remark
Terri Perez	29.0	'''Put time well each do: Clear	 Among rest statement born'''
Jocelyn Lutz	62.0	'''Education should wish; Lose box detail scene final 	 Action'''
Krista Gomez	45.0	'''(Cell smile will) 	 School value and Career hand whom conference'''
Kaitlyn Wood	35.0	'''Attack	 Decide soon economic collection Third current style'''
Tyler Bowman	50.0	'''Wrong could; Family director meeting scientist where ago 	 Best'''
Andrew Jones	29.0	'''Cup occur: Everything your	 Small career'''
Bryan Murillo	56.0	'''Assume detail employee property	 Seat firm executive Yeah'''
Billy Moses	23.0	'''Note: Phone present	 then Scientist relate'''
Amber Marsh	97.0	'''Note: Both form	 then Hotel consumer'''
Julia Smith	30.0	'''Play standard: Consumer describe	 According student range board power'''
Marie Schultz	60.0	'''Candidate later chance	 Its around vote Gas environmental'''
Regina Vega	62.0	'''Cup during	 Base big guy better however Fine'''
James Fowler	19.0	'''Will song: Put	 Car reason smile scientist'''
William Castro	20.0	'''Blue worker; Finally treatment personal 	 Practice argue or'''
Ryan May	63.0	'''War: Service boy fast start	 Police old'''
Timothy Castillo		'''Wonder choice reflect; With later class 	 Enter pretty building'''
Heidi Walker	13.0	'''Note: Fill kid	 then Buy'''
Elizabeth Obrien	77.0	'''Tv measure lose magazine evening bag less; American program degree teach 	 Base Mrs marriage'''
David Miller	50.0	'''Note: Mean end crime	 then Field spring law'''
Danielle Harvey	70.0	'''Exist on industry; Treatment catch loss 	 Car production reality affect'''
Geoffrey Graham	24.0	'''Rock treatment push: Present must production	 Put'''
Emily Johnson	45.0	'''These meeting: Meet evening future	 Marriage oil there my memory'''
Nicholas Brown	11.0	'''East east room short consider	 Seek under it Environment gas five open'''
Charlene Graham	27.0	'''Interesting stock allow range	 Attack word ten some resource Without'''
Gregory Miller	74.0	'''(Low attorney) 	 Land pressure hospital action and Sport many'''
Sean Bowen	40.0	'''Person surface wish set: Central knowledge sit	 Explain line pick'''
Jason Weber	52.0	'''Account effort technology glass: Stuff office only take ready	 Thousand coach successful message'''
Pamela Haley	58.0	'''Eight just structure: Between character consider marriage politics	 By oil grow opportunity enough simple'''
Lindsay Fitzgerald	99.0	'''(Instead) 	 Want many citizen and Front school theory thought claim at'''
Luis Edwards	69.0	'''Hundred play: Play lay could	 Firm organization information production particular these'''
Sophia Ramos	7.0	'''Bag pick seek opportunity	 Ten put one kitchen subject Imagine'''
A	82.0	'''(Thousand live) 	 Outside ability mind and Wall year especially'''
Deborah Butler	27.0	'''Answer decision: Product beautiful board	 Available'''
Drew Nash	100.0	'''Economic big	 Develop manage Someone money'''
