name	username	total_count	remark
Dr Christine Higgins	dr_higgins_0804	11.0	'''Fugit fugit	 Maiores ipsa itaque Maxime error soluta asperiores'''
Laura George	laura_george_4464	45.0	'''Consectetur consectetur; Fugiat 	 Placeat tenetur dolores error'''
Denis Jones	denis_jones_0208	97.0	'''Ex nisi quam libero consectetur adipisci: Minima laudantium	 Aliquid dolor sapiente'''
Linda Doyle-Nicholls	linda_nicholls_7796	70.0	'''Numquam sequi: Tempora nemo	 Sint repellendus'''
Mr Stephen Barnes	mr_barnes_5407	77.0	'''(Asperiores nesciunt) 	 Facilis ab and Quia distinctio perspiciatis placeat'''
Abdul Gray	abdul_gray_1445	47.0	'''Repudiandae aspernatur ea	 Debitis delectus Quos ipsam ullam quis'''
Danny Reynolds	danny_reynolds_5637	37.0	'''Cum reprehenderit ex veritatis	 Aut reprehenderit Minus quo debitis'''
Russell Fisher	russell_fisher_8173	66.0	'''Quaerat repellendus nulla: Placeat assumenda consequatur	 Hic consectetur odio'''
Miss Melissa Tucker	miss_tucker_8627	81.0	'''Deserunt iste magni repudiandae	 Neque illo non occaecati facere Nihil dignissimos'''
Lydia Kent-Davies	lydia_davies_3077	70.0	'''Earum asperiores	 Doloribus iusto commodi Eius ipsam veniam voluptates'''
Jacqueline Smith-Gilbert	jacqueline_gilbert_7087	32.0	'''(Nemo excepturi) 	 Qui minus sapiente commodi and Tempora provident'''
l	dr_taylor_5308	14.0	'''Officia: Praesentium amet reiciendis	 Excepturi'''
Mr Jack Edwards	mr_edwards_8243	65.0	'''Iusto tempora	 Aperiam libero Eaque itaque'''
Alexandra Thomson	alexandra_thomson_4636	97.0	'''Note: Fugiat eligendi id excepturi magnam	 then Repellendus harum'''
Ms Ashleigh Gibbons	ms_gibbons_1689	35.0	'''Note: Nemo	 then Sit nisi ullam fuga'''
Dr Sam Slater	dr_slater_3931	26.0	'''Note: Ab quas	 then Beatae blanditiis sapiente earum'''
Miss Andrea Davison	miss_davison_6160	70.0	'''Repellat in: Hic architecto	 Consectetur incidunt provident illum'''
Hannah Clark-Foster	hannah_foster_3674	13.0	'''(Modi excepturi quis) 	 Est totam consequuntur and Nobis corrupti'''
Ms Donna Davies	ms_davies_2988	37.0	'''(Voluptatibus laudantium) 	 Repellat voluptatum rerum numquam non and Nobis vitae labore'''
Trevor Jones	trevor_jones_4649	40.0	'''Note: Est soluta	 then Quaerat recusandae dignissimos perferendis'''
Liam Pritchard	liam_pritchard_7206	83.0	'''(Dicta placeat maxime accusantium) 	 Consequuntur modi neque and Voluptatibus sed'''
Kenneth Butler	kenneth_butler_6981	48.0	'''Odit; Delectus a 	 Eum vel'''
Craig Miller-Wade	craig_wade_9603	65.0	'''Quo: Officiis sequi ducimus et minus	 Mollitia iusto'''
Robin Parsons	robin_parsons_9414	24.0	'''Dolores voluptatum repudiandae quae: Accusantium ullam rem animi	 Occaecati quidem'''
Abigail Jones	abigail_jones_5095		'''Dolor est ratione perferendis nemo; Architecto inventore est nesciunt blanditiis 	 Sequi commodi sunt repellendus consequatur quaerat sint'''
Jay Gardiner	jay_gardiner_9791	81.0	'''Veritatis; Doloremque distinctio non architecto 	 Dignissimos eos placeat doloribus'''
Francesca Black	francesca_black_3615	14.0	'''(Repellat consectetur veritatis) 	 Vel occaecati quod and Deserunt non accusantium consectetur'''
Dr John Clarke	dr_clarke_5587	34.0	'''Magnam perspiciatis: Libero ipsum	 Iusto alias dolores ad'''
Elliot George	elliot_george_2585	28.0	'''(Voluptates cumque pariatur nam quo) 	 Quidem officiis and Voluptate'''
Chelsea Shaw	chelsea_shaw_5951	50.0	'''Sint a quidem odit labore at; Voluptatum aperiam 	 Harum voluptatum quod'''
Natalie Robinson	natalie_robinson_4532	84.0	'''Note: Magni earum non mollitia	 then Blanditiis fugit'''
Timothy Clarke	timothy_clarke_0486	7.0	'''Repellat tempore quo corrupti nesciunt; Harum pariatur 	 Quod minima harum minus omnis'''
Mr Leigh Lowe	mr_lowe_9073	47.0	'''Culpa eum nostrum	 Maxime id deserunt nisi maiores in Illo quod'''
Owen Johnson	owen_johnson_7176	26.0	'''(Ducimus optio) 	 Debitis consequatur explicabo and Eum ipsa cum'''
Charlotte Simpson	charlotte_simpson_6604	59.0	'''Rem quia sint aliquam: Accusantium perferendis rerum ullam corporis	 Repellendus quos'''
Mr Douglas Dean	mr_dean_2323	96.0	'''Facilis ipsam reprehenderit magnam	 Commodi quo corporis Doloremque autem magni'''
Miss Anne Bates	miss_bates_9406	91.0	'''Dolore: Modi veritatis rem voluptas fugit	 Blanditiis illo consectetur nisi'''
June Perry-Miah	june_miah_4559	43.0	'''Note: Nesciunt harum	 then Commodi nam quos aut nemo sequi'''
Karl Osborne	karl_osborne_0116	96.0	'''Asperiores dolor perferendis: Labore iure consequuntur velit autem	 Aliquam'''
Dr Connor Gould	dr_gould_0450	30.0	'''(Maiores in minima sapiente) 	 Modi eveniet itaque veritatis and Repellat voluptatum voluptate'''
Simon Hughes-Ellis	simon_ellis_5606	8.0	'''Note: Blanditiis neque saepe	 then Dignissimos at esse'''
Sian Leonard	sian_leonard_9866	54.0	'''Nobis nulla iure	 In repellendus culpa id quo Eius voluptatem similique'''
Roy Miller	roy_miller_0236	3.0	'''Note: Fugit nisi at illo reiciendis	 then Sint aperiam libero'''
Dr Dominic Davies	dr_davies_8919	100.0	'''Earum exercitationem sit: Asperiores ullam iure fugit	 Esse voluptates quos'''
Dr Cheryl Stevens	dr_stevens_6821	13.0	'''(Reprehenderit aut quibusdam quod) 	 Quibusdam a eaque eaque and Nam'''
Dr David Thomas	dr_thomas_8465	69.0	'''(Commodi odit quaerat hic) 	 Dolores and Assumenda molestiae quibusdam repellat'''
Lynda Smith-Mason	lynda_mason_9163	53.0	'''Ducimus accusamus a ullam: Officiis numquam sequi labore provident officiis	 Occaecati dolor officiis ad'''
