# This is a comment line to skip
name	age	rating	score	remark
Laura Thompson	39.0	95.1	58.2	"""Note: Weight meeting fire source	 then Great our that"""
Kathleen Deleon	27.0	26.1	24.2	"""Future; Capital hospital speak window 	 Hotel none"""
Matthew Harris	45.0	27.1	16.2	"""(Let once) 	 Drive claim and Contain message"""
Randall Smith	74.0	5.1	98.2	"""(Then particularly of through answer) 	 Skill prepare decade and Already score"""
Amanda Gonzalez	41.0	52.1	24.2	"""Direction environmental activity current style; Subject road consumer else 	 Production hear"""
Larry Cole	50.0	78.1	42.2	"""Consider way ten read: Near account tonight	 Different"""
Caitlyn Harmon	98.0	83.1	70.2	"""(Boy customer list) 	 Teach right sport and Return camera"""
Danny Proctor	87.0	19.1	36.2	"""(Job director us) 	 White during language house and The music meet artist like"""
Justin Young	41.0	47.1	45.2	"""Letter operation stand relate: Ask tend over	 Popular true like team"""
Dylan Stewart	36.0	14.1	78.2	"""Budget example mouth deep something; Take apply 	 Accept population"""
Katie Stanton	64.0	26.1	74.2	"""Note: Rich list	 then Situation citizen air summer American"""
Cory Williams	64.0	77.1	48.2	"""Note: Open project ground month	 then Tree sign return dinner big"""
Arthur Mack	8.0	78.1	60.2	"""Tough; Learn become 	 Avoid score"""
Marie Brown	15.0	42.1	42.2	"""Whatever follow first woman last what; Everyone suggest newspaper matter 	 Word baby"""
Christopher Simmons	51.0	38.1	43.2	"""No; Gas them 	 Recently child"""
Mario Moore	75.0	70.1	3.2	"""(Society) 	 Part someone and Around than shoulder tonight measure represent"""
Nicole Morales	81.0	48.1	37.2	"""(Treat contain number together think) 	 Real American and Identify if security"""
Kelly Holloway	39.0	79.1		"""Bit draw during happen walk	 Federal poor stand set central Only"""
Jennifer Miller		38.1	98.2	"""Still; West forward can 	 Drop really"""
James Richards	29.0	97.1	71.2	"""For its second street: Miss	 Tax woman what knowledge"""
Amber Evans	10.0	13.1	79.2	"""Price commercial	 Individual agreement use water treatment Financial your provide"""
Todd Chavez	74.0	72.1	31.2	"""Policy guy Congress some: Skill alone mention	 Usually short including all card"""
Jason Le	92.0	54.1	35.2	"""(Option dark serve plan certainly) 	 Read describe medical and Majority network particularly"""
Holly Wolf	82.0	4.1	65.2	"""Note: Decade loss activity center	 then Letter condition local"""
Felicia Clark	58.0	23.1	92.2	"""(Involve field) 	 Interesting once and Reflect possible decide hope road"""
Levi Knight	84.0	10.1	83.2	"""Note: View evidence require	 then Herself"""
Christopher Nash	59.0	12.1	52.2	"""Note: Rest recent consider until walk throughout	 then Rise around Mr color"""
Jamie Spencer	1.0	87.1	35.2	"""Next entire quite too; Customer race water 	 Research get"""
Brandon Byrd	53.0	5.1	50.2	"""Oil establish various administration hour: Poor get maybe environmental	 Personal moment"""
Bradley Sawyer	43.0	12.1	36.2	"""Drop class above simply: Adult worry skin	 Budget"""
Kyle Brennan	24.0	52.1	47.2	"""Note: Number best involve meet step	 then Use"""
Jeffrey Francis	59.0	76.1	9.2	"""Receive theory range then; Rate perform send 	 Activity stay health finally third young"""
Paige Hart	91.0	41.1	63.2	"""What thought	 College his scientist Hand"""
Austin Campbell	30.0	85.1	9.2	"""Month less company pass other	 And water democratic Floor"""
Jessica White	16.0	23.1	49.2	"""(Reality suggest college) 	 Bag thousand woman and Time stock surface great"""
Alyssa Obrien	47.0	88.1	92.2	"""Note: Myself man	 then Step"""
Tiffany Wright	52.0	17.1	46.2	"""(Meet whole participant discuss key any) 	 Economic memory and Adult best"""
Stephanie Griffith	93.0	92.1	88.2	"""Good pattern city: Theory certainly	 Collection cultural when"""
Miranda Martin	74.0	61.1	1.2	"""Note: International crime ready bar	 then Successful fast add imagine"""
David Richmond	27.0		87.2	"""Note: Job particular	 then Turn many blue color serious case"""
D	18.0	63.1	14.2	"""(Lead law agreement the though prevent) 	 Public evening and Exist street"""
Deanna Johnson	3.0	51.1	54.2	"""Specific leave security: Pm animal	 Send live field"""
Jordan Hill	12.0	33.1	3.2	"""Today person pattern cost so; Candidate 	 Enough respond evening do rise"""
David Jones	77.0	3.1	15.2	"""Part successful learn visit magazine officer: Price	 Throw war expert"""
Brandon Owens	4.0	28.1	43.2	"""Under learn cup; Where give read 	 Home style debate building"""
Paige Smith	36.0	6.1	97.2	"""(Sister prepare bag) 	 Suggest how ready no and Up share"""
Katrina Pacheco	88.0	63.1	6.2	"""Heavy pretty career: Matter	 Bit share"""
Kyle Sherman	65.0	27.1	69.2	"""Necessary plan kitchen prepare	 Interview Himself"""
Robert Stewart	68.0	6.1	30.2	"""Actually develop executive activity	 Prevent do Bed away type"""
Andrea Davis	19.0	72.1	82.2	"""Note: Most free	 then Finally race"""
