# This is a comment line to skip
name;score;salary;remark;note
Travis Conner;85.0;88.1;"""Note: Impact; then Laugh""";"""(Civil week maybe describe) ; Specific and Real assume method college"""
Daisy Spencer;36.0;61.1;"""Available material; Team mother ; Positive condition amount""";"""Radio century join administration performance; Fire save threat help example majority Move help eat"""
Adam Strickland;34.0;51.1;"""(Change) ; Call and Author because identify hope""";"""Focus black lay alone: By street card election both prove; Market oil choice assume"""
Leah Ware;31.0;82.1;"""Main now into; Resource financial describe company ; She former tax night future""";"""Song class film today phone summer; Himself ; Only too figure power"""
Victoria Miller;62.0;93.1;"""Week really field at: Pull under game participant; Mrs within mean""";"""Her me; Final plan true Couple free fill"""
Beth Williams;6.0;39.1;"""Right rather: Late food management; Themselves action similar sea staff""";"""Note: Daughter day draw wish; then Goal under window"""
Audrey Hale;90.0;21.1;"""Campaign what recent: Hard forget business walk protect; Like use""";"""Special investment worry enter; Mean girl yard Recent mind visit"""
Nicole Quinn;25.0;6.1;"""Note: Should Mr sister which thank measure; then Month cell pick church baby rule""";"""Network factor society under; However lead ; Better type door"""
Corey Sanchez MD;66.0;83.1;"""Note: Unit policy; then Teach most""";"""Onto remain significant; Show country ; Night marriage study much seem"""
James Barnett;66.0;;"""See leader picture travel; By realize set ; Carry seven real clear if""";"""Candidate local able alone couple: Wall real Congress; Let director off mention"""
Colleen Griffin;23.0;73.1;"""Significant employee when; Live home Right certain section""";"""Note: Indeed long like; then Camera her key expect point"""
Rebecca Gay;65.0;35.1;"""Trial movement catch: When start; Interview base born billion""";"""Note: Sport build; then Above military stock race"""
Derek Kaiser;1.0;10.1;"""Note: Push bring; then Administration agree""";"""Today unit state: Until off middle my chair; We main nature"""
Jason Rivers;72.0;86.1;"""Business image require; Actually show key age home So consider""";"""Member exist; Leave Knowledge effort spend kind decide"""
Mrs. Kristina Cole;49.0;93.1;"""Have around end worker; Poor school ; Care put range size describe""";"""Note: Year management; then Career"""
Sharon Kent;70.0;88.1;"""Door interest finally: Continue argue since; Once show vote""";"""(Never rate traditional) ; Still under and International car"""
Jacqueline Johnson;41.0;74.1;"""Across magazine: Brother budget; Enter less produce""";"""Economic star best; Car sometimes dog design national Training while born"""
Casey Curry;54.0;99.1;"""(Fly writer) ; Possible degree and As town friend blue body""";"""Note: Almost place; then Term arrive hit result watch low"""
Leah Miller;60.0;17.1;"""Prove; Individual yes coach happy Size box science""";"""Year staff quality staff usually; Occur create Environmental tell option"""
Juan Hines;7.0;83.1;"""Leave; Often other ; Budget myself share reflect score""";"""Actually manage tonight; Teach hair in ; Maybe"""
Christina Sanchez;10.0;11.1;"""Evidence staff less; New other cover our Change act various quality wrong""";"""Each pass; Fact him together light Since according both executive ever"""
Diane Yates;84.0;25.1;"""Business: Arrive draw hair; Black society behavior must concern""";"""Country: Man; Western point commercial material"""
Marissa Hunter;67.0;71.1;"""Health benefit: Choice three; Firm give""";"""Ball capital hard rich door; Public off spring Establish administration drug"""
Michael Pope;86.0;49.1;"""Specific Congress single difficult; Suggest ; Discussion successful require mouth magazine""";"""Might summer go; Free according myself second certain black Song"""
Kimberly Fleming;7.0;57.1;"""Note: Room partner nor evening; then Thought computer""";"""Decide loss agreement about; Hot let realize turn Image guess stage"""
Sheryl Weaver;50.0;89.1;"""Open share like sister: Week away; With major institution base""";"""Note: Concern everything; then Why ability"""
Kendra Rodriguez;76.0;77.1;"""Majority: Occur; Share approach feel sister stop""";"""Action he; Design threat four structure mother front Person join"""
Daniel Rivera;21.0;87.1;"""World design; North ; Anything defense skill""";"""(Remember imagine) ; Someone policy child and Finish who listen law"""
David Hawkins;85.0;91.1;"""Plan try onto large third: Standard; Explain team should""";"""Pretty everything; Member early anything ; Institution hot north cultural cultural decision"""
Brad Ward;46.0;84.1;"""Note: Hair school at; then Only""";"""Wish; Foreign prove whether thank right Grow where"""
Carlos Hunt;38.0;29.1;"""(Big throughout game customer) ; Various ahead improve and Single head enough""";"""(Time fill truth) ; Moment stop and Stock throw certainly"""
Joshua Gardner;59.0;25.1;"""Most star something billion which: Mean citizen crime song good; Police discuss agent listen of""";"""Cost: Democrat face box big admit bag; Real where environment"""
Robert Wheeler;;41.1;"""Note: Billion always despite military federal; then Begin to dinner""";"""Note: Rich whom paper; then Blood thousand person"""
Anna Turner;100.0;80.1;"""Entire; One choose Church guess win go challenge class""";"""Serve wind notice future; Whose reality finish relationship American ball ; Campaign condition"""
Ralph Meadows;94.0;66.1;"""(Second provide culture) ; Assume past speak and Shoulder""";"""See girl involve; Test enough figure purpose everything model ; Hospital pick Democrat"""
D;28.0;38.1;"""Figure our include; Improve source ; Response buy""";"""Note: Way ready year; then Forget dream data help large"""
Tara Reid;58.0;42.1;"""Citizen race; First explain ; Hundred business""";"""(Picture here environment deal) ; Bring blood big whole and Lead"""
Aaron Wilkins;18.0;80.1;"""Box: To add sell successful role; List without network""";"""Note: Free pull; then Tell investment each"""
Craig Chapman;14.0;66.1;"""Note: New deal without must area; then Black hot""";"""Near word; White control ; No record start"""
Michael Shepard;23.0;92.1;"""(To kitchen happy yard finally) ; Would early and Too anything step""";"""Note: Foot themselves compare; then Else tough visit theory"""
Jose Martinez;11.0;23.1;"""Surface value; Red participant just always mouth ; Population whole but provide later garden""";"""Note: Parent when how; then Dark able"""
Ashley Rowland;30.0;94.1;"""Traditional responsibility listen institution; Sell safe arm Movie team eat difficult service""";"""(Box eye she) ; Receive him dog and Continue small something cost"""
Mark Moran;91.0;18.1;"""(Anything difference) ; Probably collection and Concern field""";"""Cup discuss: Last sport; Week serious gas fire among suddenly"""
Christian Johnson;60.0;17.1;"""Note: Dog if office picture; then Through significant teacher""";"""(Daughter wall leg whom) ; Federal physical business and Both prevent listen"""
