name	rating	salary	description	note
Holly Warren-Chandler	60.0	62.1	"""Dolore illo consequatur officia	 Culpa aut Quas porro"""	"""Note: Optio atque	 then Mollitia est doloremque iure hic"""
Joseph Evans	100.0	18.1	"""Note: Architecto sapiente voluptatem	 then Neque adipisci laboriosam"""	"""(Tempora facilis facilis) 	 Vel necessitatibus fuga and Rem voluptatum deserunt dolores nisi"""
Dr Carly Lewis	62.0	88.1	"""Nisi quam minima dignissimos	 Officia vitae placeat Vel eveniet"""	"""(Enim similique consectetur voluptatibus) 	 Eius voluptatem pariatur and Esse eligendi tempore impedit maiores"""
Andrew Hayward	55.0	42.1	"""Note: Qui quibusdam illum	 then Expedita"""	"""(Sint officiis) 	 Rerum sit and Quod"""
Stephen Smith	54.0	76.1	"""Repellendus; At cum iusto 	 Quas odit"""	"""Iste accusantium repellendus aut accusantium	 Officiis dolor aperiam ut fugiat Asperiores"""
Hilary Burke	29.0	24.1	"""Delectus soluta: Molestias perspiciatis corporis fugiat cupiditate laboriosam	 Itaque aliquid"""	"""Nemo totam	 Quos alias Aspernatur ipsam doloribus voluptatum tempore"""
Brett Clark	42.0	7.1	"""Corporis odio reprehenderit	 Reprehenderit ducimus iste deleniti Perspiciatis"""	"""Eius eum quis; Soluta nesciunt inventore nobis 	 Mollitia accusantium"""
Mr Karl Wells	72.0	4.1	"""Quis delectus libero; Enim ea 	 Libero illo"""	"""Ullam	 Quod illum qui Distinctio"""
Miss Heather Buckley	37.0	20.1	"""Note: Dignissimos	 then Sint eos nemo beatae dolores nulla"""	"""Qui recusandae inventore numquam suscipit	 Atque debitis Qui"""
Amy Jones	88.0	25.1	"""Note: Praesentium quam animi neque	 then Nam"""	"""(Esse consequatur quae similique) 	 Occaecati adipisci repellendus totam ipsum and Nostrum eligendi"""
Ashley Burke	25.0	44.1	"""Eos	 Accusamus occaecati Velit ad"""	"""Illo ducimus aliquam: Consectetur eius esse	 Nobis earum"""
Dr Iain Gill	87.0	91.1	"""(Earum modi temporibus facilis) 	 Repudiandae dignissimos and Ab"""	"""Note: Voluptas fugiat	 then Blanditiis veritatis illum harum repudiandae"""
Mathew Ball	77.0	36.1	"""Note: Beatae voluptates blanditiis atque	 then Id odio"""	"""Iste; Officia 	 Animi"""
Duncan Wood	17.0	8.1	"""Ad dolorum et	 Atque dolores nulla Cupiditate culpa"""	"""Possimus ipsum; Assumenda 	 Magni quis nisi magni"""
