# This is a comment line to skip
username	total_count	price	description
kelsey_hart_4131	47.0	84.1	'''(Form around daughter particularly) 	 Career TV behind trouble a and Southern buy change western chance player'''
toni_obrien_7658	86.0	65.1	'''Teach individual often beat; Agent professional soon 	 Open early anything near'''
yolanda_smith_7254	74.0	83.1	'''Interest voice surface; Something research blue they 	 Dinner land old law action program'''
peter_lynch_5405	15.0	40.1	'''(Campaign experience) 	 Carry investment side member herself and Since deep effort'''
robert_johnson_5081	6.0	59.1	'''Black over	 Great job project teach bank Bed too movie'''
daniel_floyd_7265	22.0	61.1	'''Note: Important series all	 then Ball least sometimes'''
david_douglas_3973	19.0	27.1	'''To exist type study; Half 	 Wonder pass performance'''
veronica_morales_4969	58.0	68.1	'''(Road must everything difference) 	 Always mention and None within economic enjoy we'''
derek_spencer_7655	56.0	99.1	'''Opportunity resource turn quite	 Partner House pick call'''
patricia_williams_0387	72.0	81.1	'''Truth	 Detail few positive note nothing Reduce door indeed nearly'''
shannon_johnson_4735	9.0	55.1	'''(Congress build) 	 Action computer particular factor and Receive close'''
john_dvm_0310	11.0	19.1	'''(Several maybe his side) 	 Short official audience agree around and Notice executive information'''
rachel_jones_3070	39.0	25.1	'''Window realize; School rock thank 	 Yourself feeling decade since half'''
joan_anderson_4282	43.0	47.1	'''Cost education; Staff nothing smile there 	 Model hit'''
tiffany_jacobson_7118	28.0	96.1	'''Particularly provide security exactly usually: Democratic	 Glass both'''
andrea_bowman_7094	60.0	90.1	'''Reflect require	 Perform father Similar if better able'''
mrs_young_4778	75.0	55.1	'''More speak paper; Heart response with 	 Company small very'''
tonya_chan_7914	48.0	69.1	'''Movement responsibility cover both cut: Series maybe tax draw	 Inside local leader cultural'''
shawn_smith_9006	45.0	54.1	'''Note: Billion oil section technology sure player	 then Those term'''
steven_young_6330	70.0	65.1	'''Fall: Own crime several	 Until change pressure'''
dr_baker_5324	35.0	3.1	'''Sometimes daughter who like fight; Future 	 Early note'''
paula_lee_3866		21.1	'''(Appear image) 	 Six event and Think process'''
toni_mueller_0188	16.0	96.1	'''Claim interest; Particular 	 Ask trouble represent space wide feeling'''
courtney_martinez_5411	59.0	34.1	'''Yet also history arrive perform produce; Story performance 	 Loss'''
jessica_hayes_4035	13.0	1.1	'''Note: People newspaper interesting blood administration	 then Sea draw person scene'''
jessica_melendez_9495	26.0	27.1	'''Note: Certainly store	 then Agreement technology'''
michelle_parker_2088	33.0	86.1	'''Note: Management ahead phone top	 then System phone body maybe'''
steven_king_0680	37.0	65.1	'''Note: Project husband American describe	 then Approach over'''
melissa_allen_4451	56.0	49.1	'''Note: Maintain career us realize show set	 then Affect hospital'''
jeremy_torres_9323	100.0	75.1	'''(Begin) 	 None enjoy economy sign price and Life something'''
ryan_moore_3639	95.0	7.1	'''Five writer attorney; Election away likely growth perform 	 Hold hand happen power western'''
julia_nelson_6311	83.0	16.1	'''Pretty employee; Science deep shake head age 	 My may collection scene floor'''
devin_baker_5232	90.0	8.1	'''Company though sing: Control	 Impact'''
lindsay_montoya_8941	55.0	35.1	'''At relate; Everybody different 	 Shoulder fish people thank some account'''
donna_sullivan_9815	30.0	96.1	'''Hope	 Rule century color Eat reach turn you'''
kristina_taylor_5216	5.0	68.1	'''(State center product per) 	 Once and Along'''
april_williams_8272	75.0	82.1	'''Mr purpose: Morning various off speech	 Imagine information future ago lead relationship'''
anita_palmer_1876	80.0	82.1	'''Statement scientist word somebody; Theory adult kind 	 So national type'''
toni_jordan_5674	27.0	55.1	'''Home big	 Benefit size six full surface Sometimes record attack'''
madeline_wagner_8691	74.0	46.1	'''Note: Black professional son city group should	 then Should'''
laurie_jones_9696	66.0	26.1	'''(Mention suggest up) 	 Arrive take threat get mother and Everybody office film get'''
candice_wells_4581	74.0	18.1	'''Ever country thing; Tonight wish 	 Close water nor'''
madeline_anderson_9224	84.0	88.1	'''Clearly still world; Threat sometimes all hand 	 National cut when manager item bad'''
justin_miller_7791	70.0	86.1	'''Note: Detail try	 then Real international study'''
anthony_king_4108	58.0		'''Page always	 Such everybody Loss house staff television'''
betty_morton_2385	41.0	5.1	'''Either: Red cost should too affect	 Past material trouble up'''
glenda_clark_4732	93.0	30.1	'''Note: Actually eat expert any piece director	 then Machine way move seven series'''
