# This is a comment line to skip
name;rating;salary;note
Gavin Long;90.0;16.1;'''Rem ipsa at nobis; Delectus voluptatum dolore ; Hic rerum odit earum'''
Kayleigh Barrett;68.0;71.1;'''Modi voluptates dolorem; Iusto perferendis cupiditate facere voluptatem accusantium ; A reiciendis quibusdam exercitationem nesciunt'''
l;83.0;25.1;'''Dolores; Saepe officia possimus praesentium ; Laborum dolore'''
Scott Marshall;22.0;92.1;'''Nostrum incidunt ipsa; Porro ; At itaque'''
Jodie Richardson;64.0;43.1;'''Note: Eum excepturi harum; then Exercitationem aut'''
Peter Archer;87.0;33.1;'''(Dolorem neque porro illum) ; Pariatur harum and Sequi facilis'''
Mr Robin James;74.0;19.1;'''Porro quia; Ipsam neque ab ; Laboriosam'''
Louis Shaw;47.0;38.1;'''Aperiam provident et vero: Quasi earum; Excepturi magni iste quod voluptates'''
Alex Simpson;48.0;95.1;'''Impedit deleniti ex cupiditate; Voluptatum atque necessitatibus Corporis pariatur'''
Emily Hope;72.0;57.1;'''(Aut corporis) ; Nulla and Numquam'''
Robert Harris;56.0;73.1;'''Perspiciatis; Repellat ex earum ; Voluptas dolor'''
Mrs Gemma Dennis;45.0;43.1;'''Nihil exercitationem; Id ; Nam adipisci eius alias'''
Sean Foster;1.0;15.1;'''(Repellendus voluptatibus perferendis saepe quasi qui) ; Et molestias mollitia mollitia eveniet debitis and Alias delectus excepturi labore quia consequatur'''
Dr Brandon Campbell;24.0;81.1;'''Laboriosam excepturi; Atque consequatur ; Sit placeat'''
Charlie Cooke;5.0;86.1;'''(Quas dolor fugiat) ; Labore aliquam and Error occaecati'''
Ms Shannon Gray;80.0;64.1;'''(Deleniti sint) ; Praesentium dolor and Nobis ratione ab'''
Stephanie Naylor;26.0;95.1;'''Eius quam aperiam nulla; Dolorem Ipsa ut'''
Francesca Graham;19.0;22.1;'''Note: Dicta fugit iste ullam harum; then Ab repellendus'''
Luke Cross-Webster;97.0;68.1;'''(Perspiciatis dolorem) ; Doloribus aperiam illum and Deserunt quibusdam harum cumque facere'''
Brian Hill;98.0;51.1;'''(Nisi optio explicabo) ; Illum culpa veritatis autem and Eaque pariatur eos minus eligendi necessitatibus'''
Gregory Reed;51.0;12.1;'''Impedit animi autem dignissimos eos provident: Rem harum consequuntur; Ad repellat nemo natus nisi'''
Ellie McCarthy;74.0;80.1;'''Esse ducimus; Neque modi fugiat exercitationem ; Quia fugiat repellendus'''
Clive Cox;;22.1;'''Labore; Dolorum ea sequi atque dolorum ; Est consectetur'''
Elliott Patel;70.0;50.1;'''Excepturi ipsa nesciunt veritatis: Voluptatum ducimus; Quos magni'''
Mr Adrian Porter;93.0;73.1;'''(In) ; Deleniti inventore and Asperiores'''
Abigail Green-Cooke;59.0;53.1;'''Earum ullam: Voluptatibus modi; Consectetur quo ipsam vero esse'''
Beverley Chambers;59.0;;'''Ad alias; Facere cupiditate ; Distinctio voluptas'''
Mrs Rebecca Poole;88.0;47.1;'''(Culpa molestiae laboriosam) ; Facere minima and Neque nam'''
Eileen Atkins;41.0;85.1;'''Excepturi accusamus distinctio nemo; Ut Placeat qui'''
