username	salary	age	review
amy_johnson_8807	62.0	55.1	'''Item environment technology race necessary; Specific indicate 	 Wait art especially every'''
jocelyn_sawyer_7301	76.0	84.1	'''Interview: Ready loss learn kitchen	 About personal'''
christopher_baldwin_9017	45.0	34.1	'''Condition relate interest itself stock: Process against	 Use west southern'''
jonathan_turner_1367	89.0	65.1	'''Instead draw meet: Throw see	 Leg style case'''
sandra_garcia_3185	97.0	53.1	'''Note: Especially	 then Production exist arm'''
amy_walker_4513	60.0	60.1	'''Hotel; Look defense recently single 	 Crime'''
ann_hobbs_9574	62.0	72.1	'''(Hospital change soon) 	 There and Model almost simple'''
thomas_gomez_1250	46.0	98.1	'''Note: Pretty understand go national	 then Theory later while majority customer'''
elizabeth_robinson_9419	28.0	96.1	'''Box claim: Majority perhaps line administration	 Rate training summer full'''
leah_ford_2113	23.0	95.1	'''(Left out) 	 Like stock likely concern and Discover find size edge identify'''
mike_nguyen_8873	91.0	52.1	'''Note: Not else right outside heavy	 then Source and couple'''
jessica_young_1827	62.0	29.1	'''Sort next product without: Unit face	 Loss every'''
blake_zuniga_2582	100.0	8.1	'''Note: Couple man	 then Leader question necessary'''
george_austin_7622		91.1	'''Begin table	 Those idea necessary Total federal since'''
emily_barker_2724	93.0	9.1	'''Her culture assume	 Community green Become suddenly people ok'''
kyle_foster_5892	86.0	60.1	'''Note: Performance cover	 then High'''
mason_lopez_3580	66.0	40.1	'''Note: Glass	 then Listen'''
matthew_trujillo_0091	25.0	91.1	'''Write begin put: Natural	 Mrs picture'''
tracy_patterson_9265	32.0	55.1	'''(American sell) 	 Beautiful assume century key red watch and Threat drive'''
bryan_lowe_7313	19.0		'''Message material; Side together give matter 	 Time source argue'''
brooke_mitchell_5374	66.0	63.1	'''Note: Tree	 then True maintain size tonight'''
lisa_ball_0923	85.0	67.1	'''Fund difficult: Design suggest experience	 Eat ready any'''
ashley_clark_3657	89.0	26.1	'''Debate summer knowledge hope	 Challenge collection Single ball data'''
raymond_dalton_7068	1.0	38.1	'''Pay increase operation: Stop hold	 Response learn'''
lori_graham_2174	99.0	90.1	'''Heavy chair	 Phone body half a film Development plant population'''
richard_butler_8986	27.0	37.1	'''Learn high: Himself it plant certain	 Long man stock'''
austin_lowe_5598	73.0	71.1	'''Test news citizen including religious black	 Environmental nor Buy how crime'''
paul_mitchell_5915	71.0	55.1	'''Ground field room performance: Majority something	 Design'''
