# This is a comment line to skip
name	username	salary	rating	total_count	comment
Donald Sanders	donald_sanders_9449	62.0	4.1	3.2	"""(Already office) 	 Face onto and Turn defense that"""
Casey Johnson	casey_johnson_6825	48.0	92.1	41.2	"""Get help	 Until discussion Often budget common"""
Trevor Pena	trevor_pena_2687		81.1	55.2	"""Oil for miss success federal: Unit those bank choose	 Trial thousand owner"""
Brenda Webster	brenda_webster_4876	20.0	46.1	51.2	"""(Week manage) 	 Anything career own bill and Move"""
Richard Johnson	richard_johnson_9923	54.0	38.1	39.2	"""Of hundred miss difference machine	 Quite include involve Century poor"""
Annette Ramirez	annette_ramirez_8289	31.0	75.1	63.2	"""Note: Environmental increase	 then Popular"""
Jennifer Compton	jennifer_compton_9685	8.0	85.1	48.2	"""Land performance; Any science 	 White"""
Stacey Maxwell	stacey_maxwell_8462	57.0	69.1	5.2	"""Impact develop they piece business: Director cause	 Rock start final"""
Paul Goodman	paul_goodman_1385	20.0	76.1	100.2	"""State stage teach measure: Identify financial sing this able toward statement	 Leave campaign population"""
Anthony Johnson	anthony_johnson_1086	20.0	1.1	31.2	"""Since: Style girl just government	 Father everybody together occur"""
Corey Ferguson	corey_ferguson_7042	92.0	18.1	36.2	"""(Generation field) 	 Pick far and Reach maybe look bring executive"""
Nancy Morris	nancy_morris_1992	74.0	49.1	87.2	"""(Major detail charge out dog) 	 Agency long wonder and Fight mission discussion government thing"""
l	kelly_martinez_8503	30.0	78.1	3.2	"""School state be beautiful first join	 Authority computer continue describe among heart Return back bit gun"""
Robert Ramos	robert_ramos_4005	8.0	23.1	8.2	"""Sea do religious idea; Might 	 Seven"""
Jonathan Bowers	jonathan_bowers_7460	71.0		8.2	"""College personal: Mouth building scene	 A do word must have pretty"""
Audrey Orozco	audrey_orozco_6646	27.0	86.1	4.2	"""Note: And everybody	 then Answer long a develop"""
Jonathan Flowers	jonathan_flowers_1743	18.0	100.1	70.2	"""Agency compare other main; Daughter suggest movie religious 	 Whatever party everyone"""
Jason Smith	jason_smith_9714	93.0	60.1	73.2	"""Provide across foot quickly	 Well Build scientist never"""
Randy Martin	randy_martin_7330	57.0	46.1	53.2	"""East: Human nothing stop mission	 Wife popular woman manager"""
Steven Jones	steven_jones_3789	75.0	90.1	74.2	"""Note: Local old life	 then Lay collection player"""
Michael Barton	michael_barton_2669	34.0	64.1	13.2	"""Note: Alone material	 then Low often person"""
Kristen Thompson	kristen_thompson_6558	4.0	33.1	43.2	"""Face detail serve American traditional	 Market risk near blood party See worker"""
Michael Acosta	michael_acosta_3521	34.0	93.1	49.2	"""Through general program: Manage at become	 Pass size charge"""
Michael Floyd	michael_floyd_4573	72.0	40.1	95.2	"""Avoid show work arm; Woman provide none 	 Move"""
Lisa Johnson	lisa_johnson_0928	3.0	18.1	75.2	"""Suffer	 Team series of Our thing"""
Andrew Freeman	andrew_freeman_6737	95.0	88.1	20.2	"""Note: Strong fine animal	 then Recently so"""
Joseph Kelley	joseph_kelley_8362	27.0	18.1	22.2	"""Want federal	 Although major during Value everybody"""
Mrs. Christine White	mrs_white_6399	74.0	13.1	47.2	"""Fight economic: Security especially	 Agreement"""
Angela Miller	angela_miller_3965	47.0	20.1	37.2	"""Notice who save real else audience	 Sea six free Or"""
Robert Robertson	robert_robertson_1437	28.0	50.1	96.2	"""Note: While citizen ball	 then Can bit rise woman better clear"""
Joshua Green	joshua_green_0742	58.0	77.1	47.2	"""Note: Father concern too	 then Phone expert own"""
Monique Smith	monique_smith_9596	46.0	94.1	25.2	"""Speak right most between boy program	 Protect above past word later Clear choice"""
Michael Garcia	michael_garcia_2219	68.0	78.1		"""Note: Along	 then Run knowledge cost message"""
Angela Wallace	angela_wallace_2816	83.0	72.1	3.2	"""Note: Key sign turn	 then Success reveal group growth"""
Brandon Mendoza	brandon_mendoza_1254	60.0	35.1	67.2	"""(Raise) 	 Fear sing and Phone before defense late phone consumer"""
Karina Kramer	karina_kramer_3728	43.0	40.1	43.2	"""Idea election debate	 Including third majority Lead professor modern sound"""
Terry Andrews	terry_andrews_4508	88.0	75.1	88.2	"""Agree authority	 Work physical seat once teacher Account exactly outside huge care area"""
Maria Smith	maria_smith_1295	48.0	12.1	97.2	"""Item particularly three	 Rock pay Professor successful interest fine knowledge tree"""
Brian Parker	brian_parker_8592	12.0	94.1	37.2	"""Nation short cause expect; Time 	 Certainly individual"""
Peter Little	peter_little_0114	81.0	29.1	71.2	"""(Level these) 	 Heart authority understand various never and Girl"""
Samantha Mitchell	samantha_mitchell_8782	56.0	55.1	28.2	"""Off son project	 Other area My mind indicate without"""
Shelley Mayo	shelley_mayo_7337	66.0	14.1	52.2	"""Gas care attack: Protect	 Truth much factor land hot"""
Dr. David Garrett	dr_garrett_6641	46.0	84.1	52.2	"""Side vote movement serve	 Eight put Prove article"""
Theresa Williams	theresa_williams_1398	10.0	17.1	10.2	"""According quality people	 Realize Myself life finish"""
Robert Wood	robert_wood_8954	84.0	63.1	72.2	"""Officer rich American; Have 	 Stay"""
Jennifer Ritter	jennifer_ritter_0482	90.0	34.1	70.2	"""(Around subject include partner new play) 	 Whole weight and Strategy allow easy"""
Barbara Wright	barbara_wright_3248	33.0	4.1	5.2	"""(Talk charge) 	 Quality season about black American example and Change top should"""
