username,name,age,price,total_count,review
andrea_cunningham_7359,Andrea Cunningham,31.0,36.1,37.2,"""(Save) , Able walk big house and Newspaper only risk relate question"""
aaron_schwartz_7121,Aaron Schwartz,17.0,88.1,79.2,"""(Later have) , Remain and If imagine agreement local"""
david_bell_9808,David Bell,35.0,45.1,7.2,"""Note: Remain represent, then Test exist rise"""
brandon_woodward_9791,Brandon Woodward,38.0,,76.2,"""Alone maybe: Effort sport recently everything, Author figure"""
rhonda_bruce_1154,Rhonda Bruce,8.0,82.1,26.2,"""Apply green price president respond for, Region song expert Particularly TV"""
joseph_robinson_1009,Joseph Robinson,15.0,18.1,84.2,"""Time call: Someone, Age"""
larry_berry_9104,Larry Berry,5.0,2.1,65.2,"""Wall once history relationship also: Exactly police, After however writer against"""
cody_wong_7005,Cody Wong,70.0,43.1,71.2,"""(Pull newspaper) , Race message want report and Unit career"""
sharon_anderson_0286,Sharon Anderson,57.0,60.1,4.2,"""True learn cultural: Cold offer play low ball society, How"""
connor_hardy_9840,Connor Hardy,97.0,38.1,17.2,"""Age professional almost, Same government test week me Enough behavior drive item give matter"""
erin_knight_0103,Erin Knight,2.0,21.1,93.2,"""Difficult medical, Far itself sit Oil life approach among speak whatever"""
sarah_gallegos_9815,Sarah Gallegos,62.0,46.1,44.2,"""Note: Another or, then Community tend treat imagine"""
david_trevino_5831,David Trevino,62.0,5.1,79.2,"""Certain miss threat, Water window mention avoid the Large"""
donald_bennett_8964,Donald Bennett,16.0,4.1,40.2,"""Trade inside plan, Do end support agree around Wear conference thousand"""
kari_castaneda_8360,Kari Castaneda,49.0,69.1,10.2,"""Now oil; Traditional few matter , Argue check use"""
jennifer_mcdowell_8350,Jennifer Mcdowell,,25.1,65.2,"""Able market hope event step save, General material Majority side"""
michelle_bond_5858,e,4.0,55.1,,"""Over animal others watch: One member information, Bar energy leave"""
heather_patel_0078,Heather Patel,52.0,95.1,95.2,"""Same son peace during, Success no really card Analysis which"""
christopher_flynn_2671,Christopher Flynn,31.0,53.1,100.2,"""Military power morning, Road health mind remain somebody Have station buy"""
darrell_wells_5186,Darrell Wells,58.0,30.1,68.2,"""Note: Focus, then Least public current"""
ray_jones_0288,Ray Jones,97.0,76.1,88.2,"""Low appear; Four sound , Deal pass right"""
