username	rating	price	salary	note
suzanne_boyd_2311	1.0	75.1	64.2	'''Final onto what to: Why time maybe officer	 Exist'''
chad_wells_9624	29.0	54.1	72.2	'''Note: Movement technology beat far	 then Dark them mouth air'''
deborah_moran_5963	35.0	38.1	33.2	'''Note: Else	 then Goal author left certainly east'''
lauren_ward_2540	4.0	15.1	75.2	'''Note: Mouth certain growth national lay	 then Later student teach per'''
jennifer_smith_3718	92.0	9.1	80.2	'''Skill court huge: List west	 Second brother conference'''
amanda_cameron_5291	85.0	61.1	34.2	'''Yeah red face	 Administration Fill week'''
tiffany_watts_7863	17.0	1.1	45.2	'''Note: Prepare staff black	 then Future perform'''
justin_collins_8991	40.0	39.1	72.2	'''Note: Money idea address very control	 then Foreign others buy partner east'''
casey_welch_3457	18.0	44.1	90.2	'''Participant us impact	 Clearly List now expect'''
mario_conner_9368	17.0	33.1	49.2	'''Material big against inside prove: Buy market such	 See card charge'''
teresa_nicholson_6843	73.0	97.1	60.2	'''Note: Million must know	 then Expert environment too price'''
william_waters_5160	88.0	15.1	76.2	'''System a tonight church; Yourself subject 	 Reflect lawyer lot subject'''
albert_hunter_9886	29.0	44.1		'''(Tax key outside class) 	 Total may himself and Yard report close rate Democrat'''
timothy_duncan_8590	8.0	60.1	76.2	'''Note: Yeah do	 then However figure art'''
ronald_smith_4233	92.0	70.1	79.2	'''Study learn push	 Democratic grow leg Stop worker run detail'''
peter_johnson_4850	81.0	20.1	39.2	'''Nation exist: Station phone	 Relate bed bank heart change'''
alexandria_christensen_9890	3.0	50.1	46.2	'''Question night	 Street teacher beat Leg upon likely wide'''
sean_melton_0923	55.0	25.1	22.2	'''Century her paper; Shake garden teach 	 Perhaps outside different argue culture design'''
victor_myers_9615	77.0	15.1	21.2	'''(South choose thing) 	 Agent people agent and Daughter establish'''
robin_robinson_4526	12.0	29.1	93.2	'''Risk may sit personal; Space north word while 	 Certainly probably'''
cheryl_hooper_4078	15.0	5.1	12.2	'''(Ok beat lot short question) 	 Message environment and Hit guy standard protect hit'''
jeffrey_price_2984			51.2	'''Lawyer fire; Enter food change 	 Better'''
justin_lowe_8510	82.0	8.1	69.2	'''Billion type	 Upon Hot'''
laura_irwin_2095	76.0	17.1	27.2	'''(Traditional these change sport) 	 Nice son small money show and Once change join listen'''
joshua_smith_0616	13.0	37.1	87.2	'''Thousand office seven: Game	 Cut term degree'''
anthony_lewis_6404	13.0	38.1	89.2	'''Crime cut arm well: Show recognize tax program draw	 Alone society'''
dale_moore_8473	31.0	79.1	7.2	'''Other miss goal	 Office Painting'''
michael_crawford_4882	6.0	100.1	30.2	'''Professional model	 Describe firm assume begin finally day Responsibility industry success involve particularly'''
gabriel_pennington_7096	18.0	23.1	8.2	'''Modern describe; Former discuss hour significant 	 Body parent'''
leslie_perez_1419	94.0	82.1	72.2	'''Situation wind four yet	 Sport kind above Major staff'''
tara_huff_5742	87.0	88.1	3.2	'''(Too shoulder) 	 Recently more task investment value window and Support instead black agency play'''
john_jackson_0727	76.0	99.1	86.2	'''Why police; Travel general 	 There ten find'''
chad_haynes_3738	75.0	62.1	63.2	'''(Color be address) 	 Professor relate expert skin and Pass stock measure lawyer my'''
pamela_shaw_7741	25.0	30.1	27.2	'''Modern over: Federal everything rise simple	 Data deal group certainly'''
ronald_fry_7263	30.0	61.1	38.2	'''(Forward) 	 Hard note book support and Right want'''
david_ponce_7476	4.0	80.1	27.2	'''Word	 Learn quickly Student sense'''
bradley_barnes_3090	49.0	19.1	77.2	'''Note: Seven	 then Happy far'''
mary_adams_6622	72.0	37.1	92.2	'''(Try may) 	 Office phone system and In girl'''
nancy_smith_7829	71.0	92.1	26.2	'''Environmental until learn could nation something; Else performance put any 	 Ground left trial appear'''
philip_green_0926	65.0	7.1	44.2	'''Be case room price; Lead until between to 	 Billion more positive threat audience'''
brittany_harris_3522	32.0	34.1	19.2	'''Degree lot receive; Avoid daughter those chair song 	 Would sign left develop method report'''
reginald_smith_4738	88.0	83.1	79.2	'''Key culture soon left: Support relate every crime writer everybody	 Its financial'''
brandon_fields_0306	93.0	96.1	25.2	'''Stage stuff; Support significant would 	 Pull direction out'''
kenneth_carson_4724	78.0	95.1	99.2	'''Notice here sing option feeling throw: Strong player land personal	 Well else letter natural interesting'''
sharon_estrada_3419	78.0	78.1	8.2	'''However; No every someone hope truth 	 Beat'''
