name;salary;score;description
Heather Jones;55.0;91.1;'''Note: Change interview share ball society; then Foot behind'''
Stephen Lopez;33.0;16.1;'''Note: Easy thank; then Gun million'''
Nichole Castillo;12.0;69.1;'''Everybody choice; Decade family partner skin at ; Option'''
Eric Ross;65.0;38.1;'''Long hour final dog economy American; Study skill ; Edge accept'''
Donna Roberts;68.0;84.1;'''(Its drop we) ; Face among alone research yard and Morning paper'''
o;68.0;78.1;'''Note: Reveal treat; then Service ago large product'''
Zachary Snow;29.0;58.1;'''Son glass shoulder; International ; Along level eight rate authority'''
Kathryn Bryant;85.0;68.1;'''Style audience cup; Southern truth ; Job policy nor'''
Jason Ortiz;53.0;15.1;'''Note: Spend get nation item section; then Cover'''
Bryan Gay;70.0;91.1;'''Organization much; Ok develop consumer ; Analysis allow'''
Laura Smith;91.0;71.1;'''(Final grow push) ; List run and Statement station end'''
Amanda Fox;58.0;18.1;'''(Song practice be two such organization) ; Several Mr ok save and Describe trade'''
Jasmine Guerrero;33.0;30.1;'''(Street parent various interest coach) ; Bank level street lay century and Real player ahead'''
Jeffrey Garcia;56.0;;'''Hot same: Sort mind hope fly; Way impact of study poor'''
Cindy Hernandez;43.0;95.1;'''(Speak matter include) ; Finally win and Change perhaps'''
Cassie Evans;;57.1;'''Discuss fill for week run; Drug ; Camera enough lead'''
Carl Smith;52.0;56.1;'''Note: Issue suddenly measure indicate; then Myself strategy'''
Samuel Morris;30.0;43.1;'''Base: Race process son above century; Of international watch'''
Donald Ball;91.0;93.1;'''(Language leg teach) ; Especially support and Industry successful rock economy whole event'''
Ashley Cooper;3.0;73.1;'''Skin; Ask ; Believe cover wall only name'''
Hannah Davidson;42.0;52.1;'''Note: Woman drop tree claim; then Despite bank set artist'''
