# This is a comment line to skip
name	username	age	price	total_count	comment
Gregory Khan	gregory_khan_8343	68.0	15.1	39.2	"""Note: Those next	 then Image"""
Robin Villa	robin_villa_5501	86.0	72.1	92.2	"""Note: Blood common key risk wonder learn	 then Significant study"""
Gregory Delacruz	gregory_delacruz_1402	42.0	63.1	64.2	"""Note: Truth event	 then Not conference"""
Carol Wells	carol_wells_0904	57.0	96.1	63.2	"""Thought	 Treat issue by Position democratic answer unit up stay"""
Lauren Marshall	lauren_marshall_3958	11.0	4.1	92.2	"""Note: Population live	 then Fire time knowledge eye"""
Cassandra Harris	cassandra_harris_7082	57.0	31.1	72.2	"""War report process available down; Wife 	 Forward hot high put"""
Shelley Baker	shelley_baker_3616	34.0	35.1	57.2	"""Life sell relationship: That according above	 Control network language war ten so"""
Kim Turner	kim_turner_3791		16.1	39.2	"""Painting note; Parent to 	 Fact culture"""
Emily Rodriguez	emily_rodriguez_4283	81.0	93.1	15.2	"""Police finish; Run particularly forward condition old 	 Painting thought outside"""
Sara Paul	sara_paul_3267	87.0	91.1	75.2	"""Together budget	 Interesting we owner Consumer military"""
Stacey Harrington	stacey_harrington_9289	4.0	23.1	3.2	"""Method around argue: Teacher local	 Network nothing"""
Scott Hunter	scott_hunter_1844	8.0		50.2	"""(Oil blood record adult) 	 Effect store sea next forget and Sure no exist show"""
Miss Annette Gallagher	miss_gallagher_3437	93.0	37.1	8.2	"""Author sure	 Second Morning somebody travel"""
Sandra King	sandra_king_3223	28.0	58.1	33.2	"""Everyone thousand only; Among wait 	 General song"""
Wendy Schultz	wendy_schultz_5833	89.0	99.1	92.2	"""Man artist agree; Church state 	 Mother painting"""
Jessica Ward	jessica_ward_4755	80.0	51.1	25.2	"""Three democratic bring: Yeah full how dog so box	 Reduce"""
Jessica Contreras	jessica_contreras_3205	59.0	83.1	40.2	"""Way even sport maintain adult yourself: Raise financial	 Financial nature relationship"""
Christopher Massey	christopher_massey_0469	27.0	5.1	81.2	"""Leave likely four: Method wait possible receive center tough	 Poor sense total hotel contain"""
Mrs. Teresa Stone MD	mrs_md_3174	6.0	67.1	32.2	"""They	 Science health start large Reflect writer chance consumer"""
Ryan Hughes	ryan_hughes_6197	17.0	44.1	8.2	"""(Discussion moment) 	 Guy everybody need participant charge and Not discussion on"""
Lisa Long	lisa_long_3945	6.0	8.1	79.2	"""Beautiful hundred; Exactly 	 Assume"""
A	sarah_dds_9197	45.0	89.1	31.2	"""Note: Off pattern	 then Practice paper turn yard"""
Selena Thornton	selena_thornton_9406	61.0	53.1	41.2	"""Note: Knowledge to wall	 then Team"""
Nathan Thompson	nathan_thompson_1636	46.0	18.1	90.2	"""During boy impact kitchen; Exactly these 	 Drug glass national"""
Nicholas Hampton	nicholas_hampton_5598	9.0	23.1	92.2	"""(Not conference animal) 	 Feel main meeting and Read his receive attorney tell bill"""
Larry Perez	larry_perez_0753	82.0	98.1	9.2	"""Prepare wind; While young central 	 Quality owner need nearly husband"""
Renee Carr	renee_carr_7022	35.0	56.1	17.2	"""Huge beautiful including happy according space	 South own interest rule Another case"""
Karl Martinez Jr.	karl_jr_8797	55.0	14.1	91.2	"""Occur again magazine: Hand well enjoy	 Board back carry walk run citizen"""
Steven Arnold	steven_arnold_8664	48.0	77.1	81.2	"""Bad list while fine option state; Chance tend 	 Watch parent official common hear media"""
Jacqueline Taylor	jacqueline_taylor_7871	29.0	52.1	9.2	"""Set second no test top; Number describe 	 Personal lose same"""
Leah Foster	leah_foster_0313	42.0	33.1	39.2	"""Democrat during west from; Back 	 Though never opportunity fill"""
John Dunn	john_dunn_5837	53.0	66.1	51.2	"""Second agreement story: Activity manage	 Light step door"""
Steven Carroll	steven_carroll_1040	20.0	63.1	5.2	"""Believe author gun election around share: Give arm page	 Case not"""
Linda Adams	linda_adams_1742	62.0	46.1	27.2	"""Note: Very none	 then To daughter"""
Jennifer Andrews	jennifer_andrews_1678	86.0	6.1	43.2	"""(Newspaper describe collection) 	 Major result and Type former"""
Ryan Walker	ryan_walker_0725	79.0	18.1	86.2	"""Note: Person blue	 then Hotel clearly bring begin"""
Mr. Mitchell Haynes	mr_haynes_1538	51.0	65.1		"""Open: Especially	 Coach hand radio run"""
Susan Thomas	susan_thomas_0319	15.0	41.1	83.2	"""Note: Economic develop	 then Purpose part us"""
Mrs. Kelsey Ross	mrs_ross_1233	89.0	91.1	98.2	"""(Rate wall against citizen too) 	 Speech and Budget society whom room"""
