username	name	age	salary	price	summary
edgar_harrison_5292	Edgar Harrison	81.0	73.1	40.2	'''Season travel animal; Thank herself young democratic 	 Lot goal official'''
christine_valdez_7763	Christine Valdez	80.0	78.1	78.2	'''(List) 	 Result girl like perhaps summer and Leave value practice son how fear'''
michael_jones_4371	Michael Jones	100.0	15.1	93.2	'''(Style popular) 	 Any local and Feeling PM under south'''
jeffrey_hughes_2824	Jeffrey Hughes	11.0	26.1	34.2	'''Note: Southern hope other	 then Society vote there officer'''
lori_aguilar_5198	Lori Aguilar	36.0	92.1	95.2	'''(Leg) 	 Approach beat and Just we'''
kristen_mills_2416	Kristen Mills	45.0	34.1	66.2	'''(Sound) 	 Memory yourself and Option woman career'''
sharon_ayers_6661	Sharon Ayers	58.0	98.1		'''Note: Expect	 then State despite'''
darlene_mathews_6269	Darlene Mathews	42.0	76.1	86.2	'''No natural; Crime then drive fire clear 	 Us least may well'''
jeremiah_newman_7580	Jeremiah Newman	74.0	74.1	99.2	'''Note: Suffer current	 then Cultural return agreement doctor'''
seth_hatfield_8289	Seth Hatfield	33.0	49.1	38.2	'''Note: Talk PM	 then Strategy back her such'''
adam_phillips_2182	Adam Phillips	37.0	64.1	2.2	'''Note: Individual ground life travel public anyone	 then Work box'''
cody_zuniga_4269	Cody Zuniga		47.1	15.2	'''Study recently too general special	 Want spend marriage before better Upon consumer loss candidate performance'''
diane_davis_0154	Diane Davis	89.0	64.1	67.2	'''Lay building role yes relate	 Thank money Data audience run style'''
ronald_dds_9450	Ronald Garcia DDS	41.0	86.1	74.2	'''Mr need can market: Size chair business	 Notice word girl'''
joseph_munoz_1897	Joseph Munoz	65.0	67.1	33.2	'''Member point area; Free final 	 Agent site national'''
sean_dvm_0408	Sean Mcintosh DVM	48.0	5.1	80.2	'''Note: Me write base they	 then Somebody movie people'''
gregory_peterson_3233	Gregory Peterson	54.0	81.1	56.2	'''While	 Consumer physical Those fly blood item indeed'''
matthew_lopez_3749	Matthew Lopez	74.0	12.1	90.2	'''Although better: Speak win	 Democrat inside'''
tyler_berry_7515	Tyler Berry	81.0	3.1	96.2	'''Vote morning dinner law daughter	 Economic ball Manage per'''
michael_cabrera_7406	Michael Cabrera	21.0	60.1	37.2	'''Body data; Model opportunity popular quality worker 	 Food consumer media force move financial'''
jessica_daniels_0665	e	57.0	29.1	40.2	'''Physical; Speech 	 Religious alone baby true option'''
harry_peterson_9193	Harry Peterson	89.0	22.1	79.2	'''Note: Management window situation anything	 then Claim painting'''
rebecca_md_2401	Rebecca Martinez MD	96.0	7.1	39.2	'''(Husband fear federal) 	 They four and West stand any former media'''
jesse_mcdaniel_1306	Jesse Mcdaniel	82.0	25.1	52.2	'''Treat likely task coach	 Third Resource tell water treat'''
jeremy_williams_6644	Jeremy Williams	66.0	71.1	32.2	'''Family gas	 Civil attorney begin Idea'''
erik_walker_1911	Erik Walker	28.0	52.1	22.2	'''Expect ask lot sell; Development news remember 	 Risk large specific baby'''
emma_walker_6968	Emma Walker	61.0		76.2	'''Thank few current friend every school: Office wide seat	 From great'''
carlos_rodriguez_8596	Carlos Rodriguez	83.0	95.1	60.2	'''Long right bed debate: Miss within over note	 Sing probably rate'''
erica_taylor_0672	Erica Taylor	46.0	94.1	61.2	'''(Act pull policy appear serious) 	 Challenge push daughter or and Modern of'''
edwin_friedman_9491	Edwin Friedman	93.0	24.1	71.2	'''(Point) 	 Language rather effort and She little'''
