# This is a comment line to skip
username;name;score;price;rating;message
kenneth_caldwell_3075;Kenneth Caldwell;57.0;13.1;40.2;'''(Fly however lay) ; Report and Fall about west officer color'''
howard_white_9700;Howard White;19.0;87.1;28.2;'''(Total piece) ; Probably enter research and Participant surface'''
jennifer_orozco_3511;Jennifer Orozco;66.0;85.1;96.2;'''Morning: Protect at; She measure maybe respond player'''
susan_hardy_8153;Susan Hardy;95.0;3.1;64.2;'''Some; Attention grow Environment consider probably'''
michael_orr_4564;Michael Orr;91.0;64.1;43.2;'''Performance against; Top husband race ; Himself'''
nicole_washington_7580;Nicole Washington;49.0;3.1;1.2;'''(Style situation drive) ; Finish not and Region open determine treatment final'''
paul_foster_7059;Paul Foster;70.0;88.1;67.2;'''(Organization season dog) ; Wear relate and Response up resource fund'''
charles_stevens_2617;Charles Stevens;67.0;13.1;30.2;'''(Meeting cultural hear) ; Those tend and During'''
joshua_jacobson_8532;Joshua Jacobson;78.0;99.1;36.2;'''Mr available responsibility individual run deep: Person call listen; Easy'''
colleen_myers_0710;Colleen Myers;78.0;32.1;61.2;'''Tonight yeah; Charge hour ; On move'''
kevin_graham_8970;Kevin Graham;52.0;13.1;72.2;'''Organization environment; Wide ; Myself draw'''
janet_goodwin_0075;Janet Goodwin;2.0;44.1;88.2;'''Note: Source force; then Statement office special'''
michael_simmons_8117;Michael Simmons;49.0;1.1;27.2;'''Note: Design agree; then Rate production others fall'''
katie_walker_4840;Katie Walker;51.0;37.1;35.2;'''In look full woman employee; Approach safe process need house Center'''
susan_wilson_9928;Susan Wilson;72.0;93.1;86.2;'''(Realize must language high generation) ; Enjoy identify and Its focus such'''
barry_adams_1210;Barry Adams;31.0;79.1;100.2;'''(Cell pass keep type foreign statement) ; Often camera performance wall and Over enjoy prepare'''
lori_cooke_9485;Lori Cooke;94.0;7.1;2.2;'''(Quickly town could) ; Right sometimes adult and Else anyone where'''
stephanie_jones_5512;Stephanie Jones;56.0;73.1;15.2;'''Natural lose if here exist: Piece between staff summer occur; Professional leg'''
dr_md_4526;Dr. Carlos Mcclain MD;2.0;82.1;40.2;'''Financial; Sea generation yard ; Though sense blood'''
brenda_walsh_8501;Brenda Walsh;24.0;8.1;61.2;'''Near far anyone must; Institution break southern factor Article likely your several'''
adam_gonzalez_6677;Adam Gonzalez;53.0;49.1;51.2;'''Note: Around; then Able hold five establish special'''
elizabeth_white_5750;Elizabeth White;;24.1;22.2;'''Popular wrong career society meeting: Beat security big woman politics; Cup position than'''
kyle_rice_6896;Kyle Rice;10.0;43.1;64.2;'''Recently: Loss sound; Of determine near short'''
donald_cooke_2008;Donald Cooke;29.0;69.1;45.2;'''Generation nothing; Perhaps ; No own expert eat either southern'''
thomas_sparks_8777;Thomas Sparks;7.0;73.1;92.2;'''(Beautiful outside party open write) ; Various article direction and Her our'''
ryan_moore_0981;Ryan Moore;9.0;61.1;;'''(Staff difficult vote) ; Stock age and There win'''
dr_tucker_7166;Dr. Teresa Tucker;33.0;82.1;58.2;'''Certainly most: Deal trip; Might whether outside'''
eric_hall_0386;Eric Hall;88.0;99.1;51.2;'''Nearly the structure hard full: Company thousand lot build center common; Decade plan subject actually'''
kenneth_martinez_8416;Kenneth Martinez;83.0;52.1;88.2;'''Notice common; Leave look high education suddenly ; Nation into evening like religious'''
anna_turner_9635;Anna Turner;6.0;50.1;48.2;'''Machine star pick music; Read hot lay Stay cause'''
sierra_obrien_7323;Sierra Obrien;13.0;3.1;90.2;'''Industry ok production; Rest term ; Yourself leave long'''
elaine_stevens_7979;Elaine Stevens;23.0;78.1;81.2;'''After not far: Quality; Use never'''
ronald_stanley_5551;Ronald Stanley;34.0;56.1;4.2;'''(Chair quality defense benefit behavior) ; Responsibility two south and Skill season'''
alexander_thompson_9002;Alexander Thompson;26.0;11.1;26.2;'''(Perhaps song return score) ; Mother perform say and Reduce spend ahead Democrat'''
joel_ramos_8915;Joel Ramos;76.0;67.1;12.2;'''Note: Himself beautiful street phone; then A reality'''
hunter_cox_6241;Hunter Cox;13.0;83.1;72.2;'''Glass prevent: Increase draw; Theory arrive majority major cold our'''
paula_blair_4746;Paula Blair;42.0;37.1;94.2;'''Note: Toward themselves new; then Evening marriage often small'''
austin_padilla_0873;Austin Padilla;87.0;7.1;1.2;'''Cup run; Central who describe financial bad relationship ; But'''
nancy_mack_8557; ;98.0;11.1;18.2;'''Carry career; Last parent ; Grow continue second'''
stephanie_lewis_6700;Stephanie Lewis;73.0;10.1;9.2;'''Former nature cover; Toward agency ; Organization here'''
james_fernandez_2012;James Fernandez;53.0;53.1;5.2;'''Note: Usually itself; then Friend truth'''
matthew_williams_4859;Matthew Williams;72.0;;18.2;'''(Space college) ; Personal fly and Plan class ok owner'''
patty_perez_3782;Patty Perez;30.0;85.1;44.2;'''(Bag) ; Own various and Director'''
derek_delgado_9165;Derek Delgado;42.0;77.1;29.2;'''Nothing throw civil carry available: Company receive admit recent; Media prepare everyone'''
anthony_stevenson_1948;Anthony Stevenson;65.0;43.1;73.2;'''(Order) ; Back response and Particular employee'''
