username,name,rating,note
ashley_richardson_9679,Ashley Richardson,100.0,'''Note: Relate nor, then Protect feeling'''
cameron_cline_0857,Cameron Cline,32.0,'''Radio interesting man; Finally activity , News interview'''
john_paul_2409,John Paul,50.0,'''Report whole here just, Success he Mrs Type'''
laura_chung_8910,Laura Chung,14.0,'''Interest; Group explain go goal send seven , Interview yes'''
jonathan_winters_2232,Jonathan Winters,41.0,'''Could mouth service wear explain; Expect small page current present , Environment major identify put show'''
joseph_pace_0813,Joseph Pace,82.0,'''Power remain dinner action nothing: About, Risk use a'''
danny_harper_1343,Danny Harper,60.0,'''Speech policy; Possible actually , Class left safe'''
carla_duncan_8220,Carla Duncan,12.0,'''Picture occur watch democratic beat; Action , Particular operation year fine'''
christina_mosley_9294,Christina Mosley,56.0,'''(Thank management) , Might north and Record half card'''
brandon_morris_7779,Brandon Morris,100.0,'''Note: Rather key, then Follow story'''
edward_greer_5050,Edward Greer,54.0,'''(Child go) , Here and Who'''
alyssa_wilson_4478,Alyssa Wilson,25.0,'''Sometimes; Occur exist garden somebody , Each interesting'''
audrey_hubbard_0375,Audrey Hubbard,42.0,'''Case near what how mind; Kid hope read view , Middle animal simply card'''
adam_shelton_7704,Adam Shelton,91.0,'''Teach: Sport with, Western more south ever'''
lisa_carter_9307,Lisa Carter,21.0,'''Whose anyone each: Relationship citizen generation, Order book trip speech especially minute'''
david_morris_0134,David Morris,36.0,'''(Base doctor Republican class) , Organization writer case his and Actually leg unit green'''
tammy_greene_1411,Tammy Greene,6.0,'''Note: Team, then Subject education'''
robert_roberson_8263,Robert Roberson,68.0,'''Wait nothing, Surface guy News'''
danielle_mcclure_2015,Danielle Mcclure,15.0,'''Note: Current culture could, then Rather keep have will heart'''
gerald_pratt_2571,Gerald Pratt,10.0,'''Notice price together myself: Yard play, Black'''
billy_evans_4086,Billy Evans,27.0,'''Note: West door, then Author force'''
elizabeth_gonzalez_0573,Elizabeth Gonzalez,82.0,'''Fly word: Water, Believe quickly challenge sign job'''
megan_garcia_5841,Megan Garcia,26.0,'''Note: Seek back crime four good, then Accept all quickly'''
joan_smith_5190,Joan Smith,,'''Decision seven sea sometimes: Memory, Pay event eat deal candidate'''
gary_schroeder_8444,Gary Schroeder,5.0,'''Then baby minute, Event grow vote Over'''
travis_rivas_6333,Travis Rivas,75.0,'''Technology word lawyer; We , Nor identify'''
christopher_foley_6174,Christopher Foley,25.0,'''(Be notice clearly) , Value foot and Agree apply'''
monica_oneill_3646,D,16.0,'''(Whether) , Effort finally sense boy and Push it interesting'''
tara_davila_0911,Tara Davila,78.0,'''North others nothing, Common no big often reveal Black floor production final similar'''
lacey_phelps_7252,Lacey Phelps,15.0,'''Hit easy national strategy, Upon Food water'''
alexandria_martinez_7604,Alexandria Martinez,27.0,'''Note: Office, then Church option none business'''
