# This is a comment line to skip
name;username;price;remark
Robert Hester;robert_hester_7694;22.0;"""Ok level training PM: Do draw edge value; Throw collection effect myself"""
Terry Jones;terry_jones_7070;;"""Full beat; Answer far blue Either tax trouble"""
John Taylor;john_taylor_9425;20.0;"""Unit: Play oil nor; Trouble actually increase"""
Danny Ibarra;danny_ibarra_4268;95.0;"""Record score; Natural operation I base answer ; Others wear management upon"""
Katrina Villa;katrina_villa_1544;63.0;"""(Myself although) ; Step recognize reason meet threat and Treatment very add"""
Brittney Mccullough;brittney_mccullough_7777;35.0;"""Note: Whose look; then Air think"""
Kendra Russell;kendra_russell_6666;13.0;"""Note: Memory; then Notice"""
Kathleen Alvarado;kathleen_alvarado_4816;10.0;"""Note: Day pressure; then Gun dark police herself seek development"""
Randall Zavala;randall_zavala_7115;21.0;"""Sign result what player article new; Drive land watch actually six Point American share occur gun"""
James Cobb;james_cobb_9912;96.0;"""Understand office wide; Bag property Region whether gas yet deal"""
Mr. Evan Hamilton;mr_hamilton_7595;51.0;"""(Offer meet) ; Late and Tend program"""
Matthew Coffey;matthew_coffey_4837;18.0;"""Sport most: Table should everyone office; Security occur take"""
Cory Robbins;cory_robbins_3422;93.0;"""Someone arm; Pick Issue rest"""
Rachel Lewis;rachel_lewis_9091;75.0;"""Note: Hard Congress bill TV; then Respond evening"""
Michael Shelton;michael_shelton_3552;54.0;"""Chance: Several break; Million hospital imagine"""
Catherine Erickson;catherine_erickson_9283;14.0;"""(Vote half political place statement) ; Particularly event stuff green age and Person me"""
Sarah Chapman;sarah_chapman_7425;39.0;"""Decide role similar need: Kid off line town; Activity public month others"""
Alicia Rivera;alicia_rivera_2584;88.0;"""(Side stuff send somebody treat) ; Culture let industry much and Various gun discuss watch"""
Jeffery Lee;jeffery_lee_9741;7.0;"""Final piece: Us go; Newspaper Mr almost research its note"""
A;nancy_ramirez_3423;59.0;"""Trial story guy head; Available difference Career few process"""
Andrea Hernandez;andrea_hernandez_4629;47.0;"""Focus rock unit; Scientist ; While quality"""
Benjamin Lawrence;benjamin_lawrence_4536;55.0;"""Son serve car: Few discussion; Range deep large skin"""
Martin Kelly;martin_kelly_2657;5.0;"""Exactly final move: Forget similar order; Value director"""
Gabrielle Monroe;gabrielle_monroe_3750;5.0;"""Civil hand step: Even former; Color which base"""
Anthony Brown;anthony_brown_6625;50.0;"""Statement save me wall economy quality; House sit leave fish side Society"""
Christopher Townsend;christopher_townsend_9095;45.0;"""Receive huge other cultural; Return ; White thank simple"""
Edward Erickson;edward_erickson_4049;12.0;"""Parent few condition beat outside table; Compare together ; Responsibility bed red"""
Katherine Nichols;katherine_nichols_0635;44.0;"""Thought; Realize ; Kind without short"""
Dalton Johnson;dalton_johnson_7532;8.0;"""Yourself support picture; Campaign amount generation citizen ; American discuss"""
