name	username	price	remark
Cindy Hoffman	cindy_hoffman_7846	29.0	'''Note: Small focus capital we week father	 then Any you window'''
Steven Powell	steven_powell_5844	85.0	'''Note: Resource again	 then Office could'''
Bryan Everett	bryan_everett_2375	8.0	'''Debate war positive send	 Later soldier guy Politics'''
Lisa Beard	lisa_beard_1322	64.0	'''(Soldier public) 	 Common happen and Real experience meet'''
Jessica Bell	jessica_bell_6491	94.0	'''Feel trouble huge; Summer 	 For player key'''
Jennifer Wheeler	jennifer_wheeler_3289	24.0	'''Lawyer career manage something born hair: Take great	 Prevent visit especially'''
Mr. James Martinez Jr.	mr_jr_8883	76.0	'''Thing can western; Bed grow 	 Finish Republican military'''
Travis Moody	travis_moody_9774	84.0	'''Note: Also media again	 then Huge represent'''
Anna Parker	anna_parker_7105	40.0	'''(Suggest whom court) 	 Maintain seem and Sound'''
Corey Gonzalez	corey_gonzalez_0525	26.0	'''Goal	 Agreement represent side Industry decision those yeah'''
Jeremy Contreras	jeremy_contreras_2160	100.0	'''(Social church) 	 Many because ability and Sell war security'''
Brent Gray	brent_gray_7525	78.0	'''(Throughout ever manager) 	 Community lead beat and Home happen recent wall'''
Christina Short	christina_short_8596	1.0	'''Itself play: Story	 Coach because mean'''
Stephanie Powell	stephanie_powell_8878	47.0	'''Also: Bank remember myself	 Anyone know develop Democrat'''
Ashley Bird	ashley_bird_8097	28.0	'''(Fill a serious) 	 Involve body article and Both exist sing some'''
Alexis Knight	alexis_knight_2044	56.0	'''Note: Home and arm authority	 then Some short positive anything field news'''
Jerome Watkins	jerome_watkins_7119	42.0	'''Sing individual happen across next	 Red stage Get'''
Deborah King	deborah_king_4074	21.0	'''Note: Shake	 then For'''
April Barnes	april_barnes_5054	2.0	'''(Theory ground) 	 Toward call personal still and Time continue'''
Mrs. Heather Mcknight DDS	mrs_dds_5490	13.0	'''(Choice than) 	 Fear attention and Appear young'''
D	kimberly_jones_7182	3.0	'''Kid shake easy; Daughter agree 	 At'''
Isaac Ortiz	isaac_ortiz_3652	55.0	'''Note: Make together	 then Effort force available able'''
Alicia Roberts	alicia_roberts_3124	22.0	'''Again find; Who claim authority 	 Expect'''
Karen Garcia	karen_garcia_7387	81.0	'''Health concern: Owner more	 Official'''
Christopher Anderson	christopher_anderson_2308	20.0	'''Recognize help available; Guy performance catch 	 Head trip'''
Ashley Wade	ashley_wade_6146	29.0	'''Space: This	 Contain great'''
Steven Abbott	steven_abbott_2933	85.0	'''Science; Father necessary 	 Person cup'''
Matthew Braun	matthew_braun_4265		'''Support significant light; Material series type 	 Each middle agreement while'''
Joy Henderson	joy_henderson_3650	78.0	'''(System attorney) 	 Top former case design stock window and Story'''
