# This is a comment line to skip
username	salary	age	score	comment
lindsey_clayton_9693	1.0	46.1	41.2	'''(Temporibus officiis) 	 Ipsa and Consequatur esse'''
katy_williams_9741	34.0	58.1	37.2	'''(Optio) 	 Sint and Porro'''
diana_warren_5472	1.0	4.1	71.2	'''(Amet ipsam voluptate voluptate) 	 Ad quae and Delectus optio autem dolorum laboriosam aliquid'''
vanessa_williams_3301	89.0	86.1		'''Note: Culpa animi corporis repudiandae	 then Neque quas eligendi laudantium'''
dr_gibson_7770	39.0	50.1	99.2	'''(Vel voluptates ex ex earum) 	 Beatae dolorum dolorum omnis and Quisquam voluptate ad aperiam'''
victoria_lowe_8963	34.0	88.1	83.2	'''(Tenetur tempore laboriosam placeat) 	 Molestias cupiditate and Nemo labore magni cumque'''
tina_begum_9137	71.0	87.1	82.2	'''Consectetur minima numquam aliquid	 Harum aut Amet aliquid'''
shaun_fleming_8179	64.0	70.1	53.2	'''Libero odit iure animi aliquid	 Accusantium laudantium rerum Asperiores sint est impedit'''
emma_wilson_2183		54.1	5.2	'''Alias officiis: Assumenda	 Dicta fugiat ad inventore nisi'''
dr_green_5070	27.0	69.1	4.2	'''Perspiciatis dolorem aliquam	 Doloremque Pariatur'''
conor_price_9456	100.0	62.1	61.2	'''Note: Fugiat similique iste sint	 then Voluptate quos vero quaerat'''
dr_grant_3462	42.0	69.1	23.2	'''Ex enim; Minus fugit ipsum 	 Quis repellendus'''
louise_shepherd_9284	36.0		66.2	'''Repudiandae; Mollitia culpa distinctio cupiditate 	 Nisi quas incidunt doloribus ab adipisci'''
ms_brown_6605	40.0	57.1	14.2	'''Sed: Praesentium dolores	 Ipsum modi distinctio'''
barry_ali_8901	12.0	7.1	57.2	'''(Quos earum veniam quisquam quos) 	 Voluptatem laborum laborum and Eos cupiditate veniam nemo corrupti'''
mr_allen_8996	8.0	30.1	40.2	'''Qui modi	 Esse sed possimus est odit modi Doloribus iusto esse nihil ab aliquid'''
john_davey_2663	42.0	64.1	5.2	'''(Praesentium voluptatum) 	 Natus sint and Cupiditate rerum adipisci minima'''
brandon_humphries_8927	3.0	90.1	61.2	'''Consequuntur sint eaque perspiciatis quod	 Ducimus harum blanditiis Commodi id'''
jessica_berry_2698	49.0	98.1	48.2	'''(Quasi ab sapiente) 	 Vel accusantium ad and Vitae dicta sed commodi'''
ms_harper_3263	99.0	7.1	62.2	'''Note: Perspiciatis voluptas	 then Totam corporis'''
dorothy_cole_5084	67.0	48.1	87.2	'''Fuga: Nulla repudiandae distinctio esse	 Incidunt culpa reprehenderit quis'''
dr_vincent_1969	26.0	3.1	65.2	'''(Expedita officia similique ullam sint) 	 Molestiae optio and Cumque illum aut necessitatibus natus vel'''
lydia_collins_6309	80.0	5.1	87.2	'''Note: Molestiae soluta molestiae	 then Corporis qui nesciunt repellendus possimus'''
dr_murray_0300	73.0	99.1	88.2	'''Voluptatem nihil aliquid	 Consequuntur tenetur aliquam iure doloribus occaecati Vel debitis eos reprehenderit'''
ashley_taylor_8650	30.0	64.1	65.2	'''Quod enim amet explicabo: Dicta accusantium	 Beatae voluptatum accusantium'''
miss_patel_5817	50.0	71.1	71.2	'''Nihil beatae	 In Assumenda repudiandae ducimus'''
jacob_lawson_5391	45.0	23.1	47.2	'''Consequatur: Maxime in	 Corrupti ad'''
kevin_cox_7852	55.0	62.1	35.2	'''(Ipsum quas mollitia error) 	 Vero tempore deserunt and Sunt quisquam'''
philip_lynch_4664	70.0	9.1	9.2	'''Note: Illo quos tempore explicabo assumenda	 then Modi repellendus eius ea'''
mr_green_9891	99.0	17.1	58.2	'''(Praesentium quo fugiat ratione error) 	 Assumenda nam in facere and Ex voluptate'''
alan_dickinson_3340	95.0	59.1	19.2	'''Mollitia optio	 Esse ut Atque ab'''
