username;name;total_count;salary;note
justin_vincent_6336;Justin Vincent;4.0;11.1;"""Home put decide much: History; Begin check speak"""
timothy_jenkins_7337;Timothy Jenkins;36.0;75.1;"""Administration this sea Congress hundred service; Threat responsibility choice cell partner ; Ahead weight skin red note current"""
bobby_warren_9803;Bobby Warren;70.0;73.1;"""Note: Feel building; then Professional"""
lisa_watson_0913;Lisa Watson;98.0;45.1;"""Suggest because; Former just probably ask explain for Indeed early"""
abigail_oconnor_3110;Abigail Oconnor;41.0;9.1;"""Sport various red: Traditional all condition; Finally performance"""
brandon_jensen_9966;Brandon Jensen;62.0;17.1;"""(Focus article) ; From fact and At some factor"""
megan_thompson_4383;Megan Thompson;3.0;66.1;"""Note: Small baby such; then Sometimes rock"""
samantha_morris_4643;Samantha Morris;72.0;9.1;"""(Program talk) ; Full add than surface minute and Century court"""
gabrielle_gomez_5133;Gabrielle Gomez;13.0;60.1;"""Note: Nearly various; then Door member crime participant kitchen"""
frank_jones_1600;Frank Jones;66.0;98.1;"""(Eye occur) ; Never maybe tend and Door the growth station you"""
chad_hicks_8067;Chad Hicks;72.0;94.1;"""Coach evening rich: Require service model bring; Life up could create"""
ruth_poole_1082;Ruth Poole;25.0;63.1;"""(Break minute person attorney movement real) ; Growth some and Factor nearly"""
ashley_salas_2673;Ashley Salas;;;"""Reveal: Grow center well commercial since; Opportunity establish they picture agreement scene"""
ronald_galvan_8107;Ronald Galvan;31.0;97.1;"""Note: Field state; then Offer party"""
andre_murphy_3828;Andre Murphy;9.0;8.1;"""Live wear; Down I single Possible soldier majority keep single"""
lori_parker_1334;Lori Parker;16.0;14.1;"""Note: Important push mean spend seek; then Speak cold manager scientist"""
leonard_cobb_0959;Leonard Cobb;94.0;17.1;"""Feeling wear process; Rate site Source technology"""
mark_murphy_3854;Mark Murphy;60.0;36.1;"""Who just significant ability though black; Day table Figure difficult"""
randall_silva_4268;Randall Silva;78.0;35.1;"""Note: Truth one; then Easy standard create pay"""
alexis_gentry_6629;Alexis Gentry;9.0;83.1;"""Bank public; Step usually relationship in interview ; List factor health"""
sandra_jimenez_7395;Sandra Jimenez;72.0;9.1;"""Fear visit hotel; Magazine Investment"""
jason_melton_1975;Jason Melton;59.0;62.1;"""Officer trip central evening reality; Billion color cut decade everyone Develop compare"""
amy_stone_4306;Amy Stone;3.0;74.1;"""Cold reach outside trip your; Similar born particularly during ; Soldier itself when"""
christina_herrera_1838;Christina Herrera;82.0;71.1;"""Recognize ago kitchen admit: Month check; World toward common final"""
megan_harris_1452;Megan Harris;10.0;53.1;"""Make current man capital; Well role great clear Although book member"""
jacob_barton_8558;Jacob Barton;81.0;68.1;"""(Glass her) ; Perhaps environment pretty notice and Such air interview though own reality"""
michael_md_8976;Michael Wheeler MD;75.0;89.1;"""Could candidate least window cover; Statement draw Realize hard"""
donald_johnson_0873;Donald Johnson;27.0;57.1;"""Note: Great site part just; then This general others relationship go different"""
kathryn_harris_3069;e;65.0;48.1;"""(Sign soon) ; Power and Thank nor"""
brandy_shaw_5966;Brandy Shaw;31.0;80.1;"""Note: Campaign boy; then Admit between"""
oscar_smith_4421;Oscar Smith;25.0;99.1;"""Back; Center ago cup probably ; Serious skin well Mrs technology"""
marisa_brooks_4716;Marisa Brooks;15.0;47.1;"""Note: Account; then Test"""
nicholas_jacobson_0050;Nicholas Jacobson;5.0;59.1;"""Note: Technology; then Congress development"""
matthew_lopez_6238;Matthew Lopez;13.0;80.1;"""Church deep; Country although there option ; Analysis"""
andre_wagner_7834;Andre Wagner;59.0;5.1;"""(Painting any strategy watch material physical) ; Approach value and Free world outside next"""
eric_barrett_6678;Eric Barrett;6.0;22.1;"""President find produce matter; Stuff food might ; Trial"""
kathryn_medina_8342;Kathryn Medina;65.0;6.1;"""Race; Small under ; Mother year energy Mr water"""
susan_ray_6189;Susan Ray;44.0;42.1;"""Coach; Be ; Catch and among local"""
gabrielle_williams_2730;Gabrielle Williams;40.0;13.1;"""Note: Watch catch modern; then Daughter television high"""
kaylee_garcia_5157;Kaylee Garcia;62.0;4.1;"""Wind action; Easy mention really either Feel pull expert"""
edward_delgado_9499;Edward Delgado;47.0;99.1;"""Performance conference spring: Serve best; Fill professional south little born realize"""
