name	age	description
Shaun Perez	49.0	"""Worker focus but think nearly common: Public economic	 Identify last quickly"""
Emily Mack	7.0	"""Call west eight standard: Indeed peace	 It deep lose soldier end"""
Jonathan Henry	61.0	"""Yeah; Then conference 	 Raise necessary"""
Ryan Anderson	33.0	"""(Left live military bill letter) 	 Do prove and Admit radio"""
Luke Franklin	91.0	"""Service environment	 Local sit situation draw Center stop role"""
Robert Le	92.0	"""(Behind policy east) 	 Admit entire American cup and Crime light individual themselves laugh"""
Tara Spencer	79.0	"""There despite way half: True prevent voice	 Wrong"""
Justin Franco	60.0	"""Him ready significant; Might hard 	 Change dark seem"""
Barry Hill	5.0	"""(Talk question research new) 	 Subject particularly property consumer and Record consumer"""
Bethany Woods	11.0	"""View off	 Rise three Certainly economic"""
x	73.0	"""(Employee) 	 Cup office and Contain big recently"""
Lisa Schultz	39.0	"""Have radio resource	 Minute service Discussion bag about"""
Edward Johnson	59.0	"""Trial learn: Light	 Painting process authority glass oil close"""
Misty Scott	79.0	"""Price plan: Whom pass	 Civil myself town plant budget"""
Stephen Larson	44.0	"""Try PM house company; Many so machine be only check 	 Want ask must hotel less others"""
Crystal Brooks	100.0	"""Note: Reduce activity force school draw	 then Space follow"""
Thomas Chambers	87.0	"""Play according attorney role economic	 Pull Respond crime"""
Jesse Graham	82.0	"""(Lead TV) 	 Read ok body nature and End church"""
Brenda Williams	4.0	"""Congress get mean: Rather toward across business	 Consider per win individual prepare image"""
Terri Jones	85.0	"""Medical gas sit: President others	 Model task must behavior fly your"""
Kimberly Austin	67.0	"""(Benefit) 	 Condition fish show light media fact and Need follow long appear my"""
Regina Ray	18.0	"""Sell care performance trade six whom something	 Suddenly evidence kid Bring region"""
Erica Clayton	36.0	"""Note: Here heavy among	 then Street instead fill floor"""
Christopher Green	57.0	"""Skill deal by: Many force	 Discover garden"""
Zachary Villanueva	52.0	"""Note: Law foreign	 then Claim court our"""
Ryan Thompson	66.0	"""Hot: Both day everything ability	 Score pressure"""
Rebecca Davis	9.0	"""Wonder	 Picture Tough step than almost"""
Tonya Harris	78.0	"""Note: Gas bill	 then Fast"""
Christopher Gross	39.0	"""(Effort night forget) 	 Agree such and Trade series"""
Ellen Rodriguez		"""Middle hold manage: Alone including into	 Dream president off look"""
Michelle Miller	44.0	"""Daughter man bring: Thought	 Hair that about"""
Mary Harris	66.0	"""(Produce act edge feeling rather) 	 Enjoy democratic deep and Sense painting talk bank"""
Kelly Johnson	50.0	"""Note: Though accept	 then Record"""
Daniel Whitehead	47.0	"""Note: Together	 then Describe today stuff"""
Robert Holland	73.0	"""Amount quality a; Board instead 	 On around"""
John Brooks	97.0	"""Realize personal manage	 Capital throw Probably explain pass"""
