# This is a comment line to skip
name	salary	summary
Nicholas James		"""Play along; Top real understand lead 	 Much center behavior"""
Andrew Barber	48.0	"""Note: Head hundred military	 then Product official get"""
Joel Walker	77.0	"""Note: Discussion back create threat	 then Need at national decision"""
Dr. Ricardo Johnston DVM	88.0	"""Newspaper beautiful traditional	 Test floor some Figure artist"""
Miss Kelly Woods	8.0	"""Rich accept test subject truth	 Tax yet assume Include"""
Jim Soto	40.0	"""Beyond pattern measure	 Beautiful buy son Movie work agreement"""
Austin Lambert	87.0	"""Threat door speak; Exactly 	 Product choice above"""
Angela Flores	54.0	"""(Back) 	 Develop focus first anyone and Your"""
Mr. Mark Bentley	67.0	"""Grow leader social	 Compare speech page Score soon positive"""
Natalie Moss	87.0	"""(Remain at) 	 Method industry and Seem type"""
Erica Bradley	20.0	"""Treat determine require speech side: Half care interesting	 Lay late wonder"""
Kyle Bennett	33.0	"""(Ability role Democrat) 	 Talk including tell should start everything and Shake provide I bring"""
Timothy Nelson	85.0	"""Forget consider expert blood cost	 Make that sell how Reach management"""
o	14.0	"""Meet	 Eye different trial All expert always write natural"""
Roger Martinez	24.0	"""Note: Bar building act	 then Pass state"""
Amy Torres	3.0	"""Note: Current protect responsibility	 then Bed chair force far already"""
Stephen Massey	98.0	"""Physical project perhaps difference industry: Laugh visit cup save save	 Wrong mission"""
Jeffrey Flores	11.0	"""(Practice available yes statement fly together) 	 Six just and Strong themselves myself doctor produce whether"""
Tanya Glenn	16.0	"""Note: Stage option difficult	 then Also"""
William Chapman	70.0	"""Note: Bad about structure those successful	 then Long have"""
Nathan Harrison	77.0	"""Class city although camera page hard: Stay stage	 Suffer church create family"""
Ryan Bell	50.0	"""Tonight third; Rate 	 Most soon"""
Joseph Young	8.0	"""Woman with	 Social son right and Local analysis fill reality"""
Robert Williams	34.0	"""(General next) 	 Break million and Rule agreement contain despite"""
Vanessa Williams	85.0	"""Toward machine face: Force	 Wife thought represent"""
John Phillips	13.0	"""(Off know Republican deal) 	 Become vote treat benefit and Magazine politics"""
Hailey Potter	67.0	"""Movement matter hospital	 She house defense Cut it best five"""
Jessica Harris	52.0	"""Note: Culture race	 then Represent account"""
Stephanie Contreras	9.0	"""Draw step; First the 	 Newspaper girl anything"""
Jimmy Gardner	67.0	"""Note: Charge himself management situation	 then Factor smile long decision see stuff"""
Brian Melton	14.0	"""(Future sister yeah worker already area) 	 End maybe economy growth think and Artist upon above health once"""
Brandi Higgins	94.0	"""(Stuff with floor color section) 	 Oil easy and Stay most phone everybody"""
Jeremy Bridges	29.0	"""Cell serve much you; Develop week community simply 	 Audience minute discuss name"""
Megan Joyce	33.0	"""(Space region meet) 	 Painting determine share and Line"""
Joe Cole	27.0	"""Available include drug free brother; Ball get 	 Tend business Democrat"""
Chelsea Carson	31.0	"""Continue agent soon season: Thank more	 Cold operation"""
Angela Potter	66.0	"""Especially to	 Same family pay pressure Indeed magazine happen strong"""
Carrie Mccormick	87.0	"""Effect again word: Scientist present couple	 Mouth smile news"""
Lindsey Richards	59.0	"""Least ask trial; Charge experience relate 	 Able"""
