name	price	score	description
Jason Davis	70.0	35.1	'''(Simple) 	 Contain could and Beautiful some carry hair player'''
Mrs. Erin Johnson	31.0	72.1	'''Note: Conference specific blood few	 then Expert American kind'''
Tammy Walters	84.0	1.1	'''Everybody successful computer let	 Course general ever lead Including girl exactly'''
Jeremy Gonzalez			'''(Notice her life) 	 Choose truth and Economy image'''
Tanya Johnson	42.0	85.1	'''Suddenly school point	 Wish help Wrong'''
Nicole Carney	1.0	82.1	'''Population: Right	 Since me'''
Nicholas Smith	58.0	100.1	'''Senior support	 Strategy early evidence Be'''
Cynthia Burton	23.0	62.1	'''Question phone; Best 	 Physical wide fire present'''
Ashley Hooper	48.0	52.1	'''Contain member main: Pull feeling	 Large plan'''
Edward Bennett	4.0	58.1	'''Commercial between: Alone far degree	 Most mouth'''
Katherine Holland	70.0	97.1	'''(Religious attention crime) 	 Majority gas American and Stock executive it'''
Mark Harris	69.0	23.1	'''Any end can establish question: Reality beyond strategy	 Management improve'''
Laura Mitchell	59.0	8.1	'''Feeling nor: Design customer whether	 Seven become sit executive miss'''
Kevin Mccoy	79.0	18.1	'''(Cold community argue) 	 Run wonder and Quality claim somebody tell but'''
John Morris	75.0	41.1	'''Note: Serve term soldier	 then Man look'''
Wendy Simon	1.0	68.1	'''Personal since option important: Conference head	 Tree'''
Elizabeth Boyd MD	38.0	66.1	'''Take worry hour; Apply class together single 	 Pm great remain'''
Rita Bates	82.0	3.1	'''General drive over role add future; Goal nothing face voice 	 Boy onto'''
Laura Baker	8.0	31.1	'''Reveal stand president place; Ok scene note 	 Rather'''
Jennifer Nguyen	41.0	45.1	'''Party know yard: Choose nor door	 Find whom clear term dinner tend'''
Amanda Brown	66.0	82.1	'''Indicate about	 About really what she Blue firm weight'''
Helen Kelley	21.0	53.1	'''Guess great take election: Talk	 Worry middle PM'''
Jordan Miller DDS	51.0	71.1	'''(See forward way) 	 Hotel quickly million and Bring explain federal tell'''
Earl Mcdonald	4.0	75.1	'''Serve though what manager ago: Make buy stock	 Parent perhaps'''
Troy Bridges	39.0	71.1	'''Color without pretty receive: Final mission movement	 Kind own car candidate'''
Mary Patel	89.0	25.1	'''Receive company almost: Project wind something series price brother	 Strategy very medical tree'''
Kristopher White	81.0	29.1	'''(Allow community always) 	 Discover and Himself say young with card really'''
Robert Johnson	57.0	60.1	'''Note: Number large I	 then Her well suddenly game than'''
Tara Davidson	32.0	47.1	'''Lawyer citizen turn reveal certain	 Similar Spend also bad together'''
Jo Horn	26.0	69.1	'''Seem there throw	 Church prove Art'''
Kevin Hall	75.0	9.1	'''Example personal security college	 Talk State manager'''
Elizabeth Henderson	58.0	13.1	'''Easy man position; Hand discuss dinner 	 Without start'''
Michael Berry	21.0	62.1	'''Note: Development without still	 then Either season him newspaper race tough'''
Jonathan Macdonald	24.0	75.1	'''(Where pull red) 	 On throw simply seek and Idea station'''
A	25.0	10.1	'''(Power question) 	 Building relationship collection mind effect and Before property nothing on number'''
Christina French	32.0	42.1	'''Note: Must production agent name dinner father	 then The'''
Spencer May	66.0	11.1	'''Get institution lot area tough candidate: Friend president cut	 Effect what modern shoulder'''
Alicia Watson	4.0	7.1	'''Stage usually report you sit board; College or performance writer 	 Six gas'''
Charles Dorsey	80.0	9.1	'''(Situation Mrs) 	 Remain program and Tend evening almost receive'''
Heather Davis	73.0	24.1	'''Sometimes bit nature suddenly; When network 	 Lay able mother'''
Andrea Cherry	89.0	83.1	'''List remain	 Rise them participant foreign Ability bag'''
James Walker	50.0	4.1	'''Note: Consider mind husband information race	 then Mean can case'''
Devin Harris	56.0	11.1	'''Son person at which night hand; Option tend 	 Teacher wide account population'''
