name,score,salary,remark,summary
o,28.0,93.1,'''Reality just they: Better young, Provide control''','''(Data method) , Wind thousand and News make particularly market produce citizen'''
Amy Mcguire,54.0,66.1,'''(We heart majority) , Write year market argue before and Kitchen our garden''','''Those game others seven; Them , Method mission soldier difficult something'''
Ricky Myers,81.0,69.1,'''Daughter however; By , Address''','''Growth trouble program drive, Fill tree travel Tax mention small'''
John Figueroa,94.0,64.1,'''Note: Few door Congress include, then Teacher song floor benefit leave''','''Include nature; Thousand gas west wife , Ground'''
Todd Adkins,14.0,84.1,'''Democrat walk boy likely they; Seat security meeting receive example , Opportunity modern between newspaper trade''','''Employee: Drop beyond, Western add evidence evening life'''
Amy Young,23.0,78.1,'''Note: Successful ahead measure our, then Shake''','''Nation page particularly stock: But student health, Better'''
Alan Gonzalez,59.0,7.1,'''Turn, Window government tonight grow food Stand''','''Carry, Animal best Language'''
James Ramirez,74.0,20.1,'''Work car: Risk degree next bank, Be despite change''','''Note: Nature us, then Cup'''
Jacob Walker,82.0,85.1,'''Note: Quickly man visit arrive board, then Military employee remember miss tonight where''','''According behavior officer instead: Hospital investment worry above play, Walk up'''
Michelle Schultz,58.0,80.1,'''(Happen upon according) , Well large and Knowledge home front my''','''Note: Arm, then Writer finally'''
Julia Gonzalez,49.0,15.1,'''With true religious human, Glass sound Appear support''','''Whom really law; Conference , Improve hundred war'''
Debbie Rodriguez,99.0,42.1,'''(Wear religious resource) , Month campaign impact exist and Follow return''','''Fish party; Make without , Start avoid stuff leave on'''
Renee Nelson,82.0,53.1,'''Month go ability determine; Subject person , Win into cold view effect direction''','''Its exactly discover spend, Wife fall Job any'''
Donald Stephenson,46.0,31.1,'''Operation other out practice: Case word region, Hard skill''','''Note: Entire, then Type play money professional sea'''
Jason Ingram,69.0,54.1,'''Direction; Off really Democrat look audience , Heart low mind federal''','''Street other; Note these every , Finish decade thus could civil'''
Jill Curtis,12.0,82.1,'''Note: Bill strategy professor write, then After serious''','''Head half item apply, Remain popular system Top poor'''
Michael Riggs,97.0,88.1,'''(Pull your both) , Rise put should accept and Myself''','''Necessary drive while vote: As become over under, Represent'''
Dustin Bean,43.0,12.1,'''(Star number affect) , Throw enough and Sign speak environmental''','''Area and, Only discuss stuff each single Painting nation of arm type'''
Warren Little,79.0,61.1,'''(Buy visit out however) , Case society red opportunity we and Nothing forget improve hear''','''(Pass stand ready) , To organization and Condition event'''
Andrew Price,8.0,59.1,'''Artist while; Skin , Should training''','''Indeed key, Trial news Floor building must coach'''
Ryan Scott,11.0,56.1,'''(Huge skill despite) , Mention bad teacher area after and Continue situation itself''','''(Million option) , Word myself rock and Field church one little'''
Kenneth Peterson,47.0,88.1,'''True amount economic; Give candidate during , Future focus''','''Million word street head; Certainly my set order two , Network trouble'''
Karen Vincent,37.0,77.1,'''(Worker month whose south common) , Task bed and Those scientist us weight everyone''','''(Long create) , Feeling owner court start meeting piece and Identify old expert'''
Diane Rasmussen,62.0,86.1,'''Discover toward vote, Mean wide time subject girl Table thing side produce''','''(Business them) , Together fast again teacher and Theory'''
Daisy Moore,10.0,37.1,'''(Anything site authority significant) , These space and Law include suggest music''','''Which high want, Right arm Former'''
Robert Johnson,94.0,35.1,'''Result: South two decade red, Expert hair common''','''Cover establish style effect; Over need improve , Sport little good physical west physical industry'''
Paul Lopez DDS,81.0,52.1,'''Law amount when, Visit skill Senior not role''','''Statement; Particularly three , Shoulder expect behavior think to'''
Sean Wilson,88.0,,'''Easy age: Professor never civil voice nice, Bill''','''(Surface outside guess deal) , Too and Effort exist'''
Alexander Norton,61.0,23.1,'''Than really culture thousand; Yes movement mind one put tree , Speech''','''(Hospital since) , Onto firm and Little thank behavior half'''
Melinda Phillips,79.0,95.1,'''Note: Rock employee, then Gas travel challenge''','''Among model; Upon product year , Term Democrat already'''
Brenda Hall,63.0,42.1,'''Note: Without, then Consider pass''','''Note: Open technology, then Deep manage agreement'''
Robert Miller PhD,46.0,17.1,'''Cup: Network, Energy''','''(Ready young) , Course government trouble game and West these watch'''
Clayton Johnson,72.0,24.1,'''Note: Kid outside American leader follow, then Wait recognize future''','''Her direction: Different, Blue whatever together'''
Catherine Townsend,94.0,92.1,'''Somebody: However economy cup charge, High between''','''Note: Decade state, then Boy management teacher'''
Yvette Harding,14.0,21.1,'''(Him understand) , Score world race and Book star bar''','''Attention generation, Drug produce program Grow give front'''
Patricia Hernandez,18.0,96.1,'''Find participant spend sell, Always quite glass need at Feel far growth Democrat''','''Doctor head over tend, By body Just use series'''
Clinton Barker,,75.1,'''Environment: Out, Son national''','''Glass whose, Guy manager north past week land guy Heavy democratic probably'''
Kelsey Barajas,31.0,91.1,'''Note: Process however coach surface camera enjoy, then Happen station anything security time price as''','''Note: Race system send soon knowledge, then Activity challenge agreement picture relationship'''
Shelia Juarez,17.0,4.1,'''Rule prevent: Health, All''','''Only as improve just beautiful house, Particularly listen friend occur interview Two else'''
Alyssa Brown,16.0,28.1,'''Order case owner director, Head Director should raise''','''Total relationship number director performance: Before with cell Mrs such, Discuss piece any main'''
Margaret Martin,22.0,95.1,'''Note: Professor far white great, then Part onto place''','''(Hundred it) , Your believe and Foreign clear college'''
Zachary Flynn,6.0,71.1,'''Purpose director she still, Plant hot develop Different be''','''Note: Agent Republican, then Us'''
Jason Odom,10.0,13.1,'''Note: Rock discover world get everybody, then Challenge even star red''','''Note: Special art land someone, then You tough include big suggest'''
