# This is a comment line to skip
username	name	price	age	review	note
michael_osborn_3750	Michael Osborn	53.0	96.1	"""Note: Rock check maintain hospital	 then Six religious"""	"""Best history wide	 Amount street stop same decade Cup drive western I position"""
adam_higgins_9567	Adam Higgins	74.0	47.1	"""(Half yourself) 	 Could and Usually certain anything allow her onto"""	"""No area; Employee group shake woman tree line 	 Interest dark"""
caroline_johnson_3096	Caroline Johnson	18.0	75.1	"""Note: Build not trouble	 then Reflect"""	"""Big eight; Home hundred society fact time 	 Anything"""
curtis_lynch_4824	Curtis Lynch	91.0	15.1	"""Get bit: Detail piece statement	 Character least say along"""	"""Huge key social; Forget audience pick 	 Street various election likely after"""
theresa_williams_7155	Theresa Williams	25.0	9.1	"""Marriage collection; Argue impact prove 	 Set agree size purpose"""	"""Himself offer color hour wind; Case direction 	 Among mouth"""
steven_parsons_9512	Steven Parsons	89.0	2.1	"""Four time	 Husband vote serve Former happy suddenly ago"""	"""(Artist surface after arm) 	 Car red reflect side and Democratic yeah"""
william_king_7332	William King	62.0	67.1	"""Note: May fear behavior	 then Concern bag of clearly concern arm"""	"""Television politics fast return; Four child 	 Good message"""
christopher_rogers_9323	Christopher Rogers	37.0	73.1	"""Explain let item	 Reason decision kid Decision partner history"""	"""Behind blood tax; Police why among much establish 	 Eight brother movie cover"""
robert_white_0074	Robert White	22.0	51.1	"""Take	 Parent send thus student Century TV edge"""	"""Note: Perhaps evening	 then Performance"""
tiffany_solis_2165	A	17.0	71.1	"""Note: Industry actually	 then Assume key"""	"""(Save commercial look generation) 	 Computer physical policy about firm bank and Back"""
ronald_wang_9082	Ronald Wang		66.1	"""Way role; Than sense degree sort team above 	 Talk section nor somebody relationship"""	"""Level along money; Various region maybe field 	 Animal real"""
mr_hutchinson_4732	Mr. Philip Hutchinson	38.0	73.1	"""Human near election	 Firm two wall Ahead quite science also floor"""	"""Cold tough price	 Newspaper worry already Personal outside"""
jennifer_moon_2122	Jennifer Moon	73.0	32.1	"""Note: Story notice	 then Tree produce but"""	"""Usually have do: Whose simply	 Decade red likely this machine"""
christina_werner_0582	Christina Werner	41.0	82.1	"""Cause unit: Key laugh marriage now laugh	 Across source"""	"""(Threat land middle serve six especially) 	 Popular officer and Similar stay your know"""
samuel_johnson_9022	Samuel Johnson	2.0	36.1	"""(Old thus) 	 Return represent return and Others Republican another admit"""	"""Sign visit fall; Peace 	 Kid send father future close"""
mrs_francis_7558	Mrs. Diana Francis	49.0	21.1	"""Note: Hand ago seem	 then Must partner big"""	"""(Eight guess few candidate) 	 Bed movement and Nor serve change week after"""
randy_jones_9597	Randy Jones	60.0	49.1	"""(Lawyer media relationship day leader) 	 Cover talk and Amount child cup at identify"""	"""Body decade lot wind	 Perform build rule son reach of Successful color bag against"""
