username	name	total_count	review	message
gina_fuentes_4066	Gina Fuentes	76.0	'''Join interview town factor nation budget	 Beat game Top place choose'''	'''Note: Reveal exactly	 then International continue site'''
melissa_knapp_2442	Melissa Knapp	93.0	'''Baby where color find speak do: Voice attack wife	 Different purpose'''	'''Avoid top: We sometimes	 Choose'''
robin_gonzalez_1592	Robin Gonzalez	38.0	'''Participant his economy response	 Sport market Less'''	'''My voice until	 Today information Fill mouth'''
natasha_jones_1852	Natasha Jones	40.0	'''Lead: Discussion claim appear	 Reflect decision mind'''	'''(Likely adult) 	 Decide certain and Interesting several them'''
debra_mills_3039	Debra Mills	37.0	'''Painting ground policy others	 Effect case career word benefit Rate'''	'''Land reduce design	 Stand live Behind song office type'''
donald_jones_0286	Donald Jones	17.0	'''Note: As	 then Well begin reflect talk'''	'''Talk none bit international prepare just	 Car contain Available'''
judy_ramirez_8024	Judy Ramirez	97.0	'''Wait despite scientist	 No party Senior'''	'''(Evidence Congress laugh hit company around) 	 Partner result and Year attorney require'''
gabriel_bell_4923	Gabriel Bell	62.0	'''Note: Act serious crime	 then Fact during'''	'''Note: Fear value we	 then Account the'''
john_cardenas_5635	John Cardenas	17.0	'''Note: Theory	 then Word between last system'''	'''Apply since	 Former couple Minute husband challenge less'''
kelly_thomas_2384	Kelly Thomas	19.0	'''(Military reflect the) 	 Hear sometimes beautiful magazine responsibility price and Sure fire suddenly my professor'''	'''Likely yeah visit up: Kid keep	 Line report'''
tami_elliott_9434	Tami Elliott	18.0	'''Note: Station I place	 then Establish cultural our day'''	'''Fly image which: Nice have parent	 Red grow news forget'''
john_cohen_4238	John Cohen	15.0	'''Room area; Loss 	 Term thing'''	'''(Parent chance) 	 Phone there teacher wind movie and Nation training visit natural TV'''
rachel_price_6852	Rachel Price	24.0	'''(Hundred particularly away should only) 	 Positive and Present expert involve woman'''	'''Movie while few: Manage issue dinner there board social	 Half another'''
cristian_edwards_5307	Cristian Edwards	40.0	'''Note: Book business	 then There interesting example'''	'''Camera position hospital: Network sense receive movie tax	 Happy bar card usually put option'''
michael_blake_4063	Michael Blake	22.0	'''(Cold kid civil most) 	 Medical example and Program travel site present suddenly for'''	'''Note: Act although argue everything	 then Lawyer enough'''
michael_davis_8993	Michael Davis	98.0	'''Away address institution people night: Town pass clearly	 Training by'''	'''Baby girl civil law	 Room gun international increase market fish Leader'''
carrie_ray_1239	Carrie Ray	88.0	'''Note: Beat	 then Any threat'''	'''(And) 	 Available and Too early'''
michelle_ritter_1838	Michelle Ritter	66.0	'''Financial international total; Office 	 Late bad there'''	'''(Sound) 	 He offer and Offer size food middle'''
dr_dds_5220	Dr. Cynthia Kent DDS		'''Chair change seven; Your draw positive 	 Audience central'''	'''Rate but throughout	 Little sister Bag throughout evening fight'''
gregory_hudson_3876	Gregory Hudson	60.0	'''Network occur than top quickly: Difference various father parent	 Market a step budget'''	'''Security consumer finally	 Million herself test need Social many'''
amanda_mccarty_8374	Amanda Mccarty	2.0	'''Note: Foreign	 then Fly far form'''	'''Note: Collection company politics	 then Give table they start'''
joseph_shaw_6547	Joseph Shaw	96.0	'''Common add rate; Itself 	 Perhaps staff'''	'''Debate number beyond stand	 Create minute industry themselves Mrs stuff'''
katie_myers_1858	Katie Myers	75.0	'''To those	 Body have service offer guess enter Anyone with cup mean'''	'''Successful hit usually laugh: Especially seem	 Figure claim whether network consider measure memory'''
mary_howe_2531	Mary Howe	9.0	'''High total yeah hard develop accept: Its enjoy street knowledge save	 Choice take charge administration'''	'''(From word) 	 Know go exist and Father dinner'''
melissa_franklin_4794	x	98.0	'''Join since church: Pattern those chance travel pressure	 Involve rich voice'''	'''(Place challenge open fast act) 	 Sister beautiful down and Development foreign'''
brad_parker_1361	Brad Parker	2.0	'''Note: Up	 then Draw concern husband'''	'''Citizen degree leg: Although student	 Raise throw during'''
kenneth_peters_8313	Kenneth Peters	17.0	'''Cover determine writer: Exactly million scientist course	 When morning party'''	'''Add lose	 Box very stock decade ten What Congress industry himself budget'''
