# This is a comment line to skip
name;username;rating;total_count;note
Desiree Navarro;desiree_navarro_9525;47.0;4.1;"""(Long create should for) ; Lose long and Store space"""
John Miller;john_miller_8336;27.0;15.1;"""Note: Chair quite piece; then Specific according"""
Calvin Jennings;calvin_jennings_0741;65.0;29.1;"""Not career contain: Group every assume explain; House might product"""
David Gibson;david_gibson_1302;5.0;47.1;"""Else wait use treatment; Car Mr nothing experience vote ; Gas wonder rest eight"""
Patty Henson;patty_henson_0768;51.0;52.1;"""Economic; Prove themselves ; Man play"""
Rebecca Johnson;rebecca_johnson_7190;40.0;65.1;"""Note: Special interesting beyond that both; then Stop him"""
Laurie Page;laurie_page_2878;75.0;16.1;"""Note: Important join majority direction question; then After scene"""
Amanda Young;amanda_young_7403;74.0;58.1;"""Anyone anyone offer: Expert blood; Citizen green reduce"""
Mark Curtis;mark_curtis_3255;18.0;71.1;"""(Wonder heavy easy east) ; Front contain especially and Deep follow"""
Michael Francis;michael_francis_2670;86.0;34.1;"""(Role do these prevent and word) ; Pass carry whole professor and Rule"""
Tammy Carr;tammy_carr_4566;72.0;87.1;"""(Almost ten animal) ; Suffer score former and Boy subject he four"""
Tristan White;tristan_white_7769;47.0;3.1;"""(However) ; Three produce region and Leave present work mission study sell"""
Brian Rivers;brian_rivers_1364;91.0;10.1;"""State; Two game ; However pull help"""
Jonathan Mitchell;jonathan_mitchell_1542;27.0;6.1;"""Rich individual; Management attention Begin personal"""
Derek Campbell;derek_campbell_0364;63.0;8.1;"""(Where join property woman) ; Boy hard position and Bar better star I down"""
Travis Stephens;travis_stephens_3537;16.0;66.1;"""Rate must recently; Person military good ; History person style really"""
Jeffrey Hall;jeffrey_hall_7168;34.0;32.1;"""Energy; Success American production ; Wait people"""
Gwendolyn Vaughan;gwendolyn_vaughan_1472;2.0;10.1;"""Thousand experience phone bar; Level sell paper dinner ; Detail senior"""
Jared Simpson;jared_simpson_5659;12.0;52.1;"""Note: Nice mention; then Decide vote"""
Jonathan Higgins;jonathan_higgins_7970;7.0;83.1;"""End country weight; State school ; Scientist quite assume south"""
Valerie Thomas;valerie_thomas_1865;47.0;56.1;"""Beautiful audience: Mrs yeah customer respond data laugh; School tonight adult model mind practice"""
Antonio Brock;antonio_brock_5469;78.0;74.1;"""(Consumer contain) ; War indicate attack and Available something"""
Michele Spencer;michele_spencer_4475;54.0;71.1;"""(Radio full pass) ; Development and His medical Mr affect"""
Veronica Frost;veronica_frost_2258;33.0;72.1;"""Team organization fast; Material cold kind Minute husband who nearly"""
Richard Brown;richard_brown_1503;93.0;83.1;"""(Style) ; Others and Phone live black paper program car"""
Michelle Bush;michelle_bush_1973;92.0;94.1;"""Herself or take agreement down; Officer order month draw guy ; Health travel reality pattern you book"""
Rebecca Mack;rebecca_mack_6998;;;"""Note: Growth entire; then Another area official"""
Samuel Smith;samuel_smith_6799;18.0;29.1;"""Center wall realize finally: Financial which race cold; Sure explain"""
Betty Murphy;betty_murphy_1467;21.0;66.1;"""(Analysis institution administration) ; Indicate and Operation say ten"""
Vanessa Schroeder;vanessa_schroeder_3171;56.0;31.1;"""Majority particularly house race new; South hand pay strategy PM miss Election manage once dark"""
Erik Sandoval;erik_sandoval_5193;29.0;30.1;"""Positive seat debate: Drop fund; Sort"""
Jeffrey Johnson;jeffrey_johnson_4803;73.0;8.1;"""Threat set well; Explain loss activity power product cause ; Follow write"""
Shannon Phillips;shannon_phillips_9829;76.0;47.1;"""Note: According reveal; then Consider role economy rule"""
Fred Brown;fred_brown_3119;30.0;40.1;"""(Rich economy trial save true) ; Enjoy role government and Tv few produce it board"""
Vanessa Winters;vanessa_winters_8759;8.0;58.1;"""(Save) ; Guess art cover and Marriage dinner many name candidate down"""
Mark Mccoy;mark_mccoy_4375;61.0;67.1;"""(Skin move three bank) ; Field morning such and Think individual treat"""
Vanessa Acosta;vanessa_acosta_1216;20.0;36.1;"""Result big; Hour clearly personal across ; Floor"""
Craig Choi;craig_choi_8912;28.0;11.1;"""Stage drop skill; Treat important lawyer sort ; Street provide"""
Natalie Cruz;natalie_cruz_2788;59.0;50.1;"""Happy herself matter: Remain before; Resource audience"""
Angela Chang;angela_chang_2288;2.0;35.1;"""Computer author sing; Letter opportunity ; Wrong similar"""
Molly Santiago;molly_santiago_1060;73.0;15.1;"""Day debate; Especially west reason yes TV ; Relationship rather north"""
e;joseph_price_6847;60.0;28.1;"""Black cell young; Way view town court discover Prepare state crime fly benefit"""
Lee Gaines;lee_gaines_3569;20.0;24.1;"""Note: Mrs play exactly; then Individual such page throw"""
Ronald Mcmahon;ronald_mcmahon_6831;4.0;92.1;"""Reflect you scene training; Buy total Response nor sense herself ok base"""
Maria Frazier;maria_frazier_8350;13.0;34.1;"""Note: Manager expert; then Will news process go"""
Mary Ball;mary_ball_3154;64.0;52.1;"""Magazine traditional; Understand easy best ; Teacher less black"""
