name,total_count,score,price,note,remark
Katrina Kelly,42.0,3.1,90.2,"""Note: Son practice first material, then Painting""","""Blood tend option study yeah: Company success add stand, Force value free"""
Mary Sanders,18.0,94.1,68.2,"""Note: Finish item, then Body work benefit attorney""","""Note: Nearly hotel, then I"""
Francisco Dominguez,57.0,6.1,98.2,"""Article industry crime summer; Fish contain but , Expert such impact""","""(Listen media) , Amount table and Wear me director"""
Jill Osborne,42.0,28.1,92.2,"""They brother PM; Understand no dog describe young possible , Else eight""","""Still seem life: Politics, Smile surface authority"""
Toni Lucas,29.0,6.1,83.2,"""(Lot admit three our) , Allow reflect cost and Wonder bit per""","""Mind role under view; Against , Computer method"""
Anthony Yu,42.0,57.1,41.2,"""However enjoy themselves, Win section Concern model sort citizen open""","""(To experience brother) , People deep wide and Agree TV name about fly"""
James Wells,100.0,98.1,54.2,"""Note: Forward while record affect, then Test cold action television everything""","""Speak practice: Serious central standard, Move audience offer quality"""
Joshua Cummings,31.0,,64.2,"""(Election something professor example) , Senior radio and Turn best draw left here""","""Way: Almost good grow agent product, Meeting"""
Bob Scott,36.0,26.1,15.2,"""Off because public, Size successful total get student Guess hour kitchen spend""","""(Design three involve program indeed) , Would build town police and Them act customer"""
Marie Cabrera,35.0,95.1,100.2,"""Outside, From fight lose every alone She when""","""Whom change produce: House create, Up which"""
Dr. Katie Jones,33.0,44.1,2.2,"""Quickly care newspaper, Child network month firm whose Month teacher color million""","""Information almost all four maintain: Consider interesting worker, Walk today"""
Kristine Woods,4.0,3.1,16.2,"""Result natural: Lose statement opportunity, Dog bed analysis""","""To relate: Must, Keep nor"""
Cameron Coleman,6.0,22.1,100.2,"""Tax stand interview manage energy: Easy simple support late benefit, To represent""","""Above need: Challenge lawyer, Send yet up"""
e,37.0,99.1,81.2,"""Buy industry: Reduce believe peace purpose, Only""","""Message: Top price, Director control"""
Mark Vasquez,51.0,99.1,76.2,"""(Standard) , Whether account and Save trouble""","""Popular: Leave animal movement project piece, Bad"""
Tyler Padilla,32.0,70.1,47.2,"""Various my good wide: Must, Significant wear education""","""(List partner director low agency skin) , These and Outside night gun"""
Erin Rivera,26.0,80.1,83.2,"""(Teach born whom decision believe) , Society lot economic song and Order material party form""","""Always include none network full; Democratic summer back , Challenge who baby either develop mention"""
David Bryant,5.0,11.1,93.2,"""Place page eye; Agency situation night official , Still live successful""","""(Inside practice determine) , Class yard and Upon market able"""
Melissa Jones,77.0,7.1,47.2,"""Note: Trouble executive base realize itself, then Easy sister really rate""","""Force interview, Too Yeah energy"""
Alicia Cain,31.0,51.1,51.2,"""Skill clear wife, Your risk live radio could six Speak character respond""","""Note: Security cup, then Choose capital political letter"""
Sonya Brooks,33.0,39.1,,"""(Education remember) , Perhaps Mrs care and Bank hospital always outside""","""Note: Knowledge military away, then Present story"""
Tonya Roberts,81.0,98.1,28.2,"""Individual what, Become bar Product investment area""","""Bed leave threat mouth minute; Plan , Thank western thousand"""
Scott Hernandez,92.0,10.1,13.2,"""Tv candidate represent; You control partner five picture , Republican floor including movie until""","""Meeting: Father same yourself street every, Travel identify relate thousand"""
Robert Frank,54.0,63.1,75.2,"""Note: Easy decide born sport, then Attorney out media guess""","""Cut about stage; Check join TV , Child year unit"""
Kristin James,22.0,100.1,94.2,"""Along seek city instead person memory, Determine concern none Scientist along run""","""(Forward) , Watch player section what Congress already and Window sense hit read begin"""
Jessica Pace,18.0,24.1,98.2,"""Idea: Hand set, Start""","""Early either concern four; Worker fight defense , Science room save"""
Alexandra Smith,73.0,60.1,62.2,"""Note: Act see money, then Mrs once""","""Growth wear successful natural, Truth money ever Politics prove collection"""
Carrie Parks,42.0,63.1,95.2,"""Note: Serious Congress trial direction, then Entire society""","""Official not law: Space though find it, Weight office wide"""
Cynthia Ramirez,31.0,60.1,9.2,"""(Summer make move artist) , Group room her and There quite""","""Place model everybody; Worry peace , Fly over meet community"""
Emily Rivers,27.0,6.1,41.2,"""Note: Office increase democratic situation, then Interesting explain keep open""","""Before, Learn way knowledge research name newspaper Perhaps home week"""
Summer Velasquez,34.0,90.1,18.2,"""Production player half: Play group represent, Chair vote unit piece""","""Military head; Her occur hit late , High executive magazine"""
James Young,6.0,80.1,9.2,"""Place major; Onto travel science determine role , Foot high""","""Method speech lay total single, Option spend Rate arrive later everybody"""
Rebecca Graham,60.0,32.1,62.2,"""Note: Improve car like history hold forget, then Might anyone accept treatment""","""(Land allow baby recently American population) , Personal still administration and While skin create agent American born"""
Ashley King,45.0,85.1,72.2,"""Economy: Answer age, May most student""","""Note: Heavy push ready mean risk, then Task produce"""
Robert Anderson,69.0,100.1,31.2,"""Suffer meet financial often, See decision Data scientist program mother""","""Water: Show opportunity food full score age, Series ever"""
Victoria Miller,87.0,70.1,90.2,"""(Force style reality) , According left lose impact since and Sure rock bit green record""","""Effect include night our born, Trip what tell hair but receive Face baby foot explain"""
Patricia Jackson,27.0,14.1,12.2,"""Audience Congress audience; Painting rest , Travel believe admit material politics everything""","""Agreement care statement ready somebody; Suddenly , Anything person"""
Sean Johnson,33.0,76.1,100.2,"""Society; Easy her walk , Should cover role administration social tell""","""(Do rise rate) , Note PM and Any personal subject"""
Melissa Vasquez,,43.1,4.2,"""Note: Cover, then Push""","""Have music sign, Human term Both writer without"""
