name	salary	total_count	age	remark
Laurie Guzman	19.0	25.1	34.2	"""Cold answer; Magazine media huge 	 Determine"""
Kathleen Pearson	34.0	60.1	8.2	"""Customer stuff subject: Keep conference law at wife	 Pm skin tonight them staff"""
Thomas Murillo	59.0	3.1	83.2	"""Language for form	 Example business until development option cold Personal"""
Samuel Flores	98.0	80.1	47.2	"""Case mother truth	 College Test government current fall"""
Terry Camacho	26.0	64.1	5.2	"""Trip present: Throw information	 Mention interview industry"""
Wesley Leach	22.0	100.1	94.2	"""First thought: Opportunity middle cultural	 Policy drive market source seek find"""
Cody Nunez	4.0	4.1	28.2	"""Set: With amount	 Bit"""
e	18.0	82.1	96.2	"""Free simply attention certain early: Politics cell analysis speak	 Citizen travel situation machine"""
Justin Moreno	74.0	49.1	8.2	"""Dinner feeling: Show cut exactly Republican	 Stop"""
Sheila Ballard	29.0	58.1	17.2	"""Note: Church	 then Quite beautiful"""
Ashley Gomez	67.0	78.1	56.2	"""Grow drop case help writer even; Practice public resource 	 Practice"""
Shawn Walsh	64.0	62.1		"""Station school assume get policy several; Life lay 	 Easy character field"""
Brenda Collins	84.0	84.1	67.2	"""Television: Science theory	 Material evidence girl nearly doctor"""
Kevin Norris	90.0	10.1	78.2	"""(Medical throw wall effect air) 	 Something attorney friend and Either memory"""
Virginia Harris	57.0	98.1	32.2	"""(Anyone voice) 	 Wind stock security and Bit could"""
Gary Ward	39.0	21.1	51.2	"""Easy rest name: Herself air upon manager	 Stay recent behind"""
Lauren Smith	94.0	83.1	55.2	"""Modern economic door	 Say Visit although power"""
Mackenzie Ortega	56.0	23.1	2.2	"""Ability foot direction; Better 	 Direction reason"""
Richard Gonzales	43.0	51.1	42.2	"""Star whom allow son fall	 Positive Impact"""
Kevin Soto	16.0	2.1	46.2	"""Note: Successful practice energy	 then Medical water"""
Kenneth Greer	52.0	100.1	18.2	"""State step expert	 Degree Smile"""
Eric Barrett	55.0	53.1	28.2	"""(Few think) 	 Street sing act live sing role and Easy environmental guy they"""
Martin Gibson	76.0	86.1	98.2	"""Leave across item hit together camera	 Range describe Leader choose"""
Christopher Butler	99.0	2.1	38.2	"""(Cold who) 	 Other poor manager total and Others accept agent own up"""
David Summers	93.0	34.1	90.2	"""For question building catch; Reduce environmental 	 Last movement"""
Todd Martinez	89.0	15.1	19.2	"""Begin every black: When center cover thought floor I	 Team reason"""
Elizabeth Phillips		46.1	76.2	"""Serious; Country 	 Could gas"""
Samantha Moody	5.0	49.1	22.2	"""(Structure walk large eat) 	 Government return seven life and Week draw"""
Brian Morrison	31.0	42.1	42.2	"""Half tonight laugh	 Cut growth Space prevent hour relate apply generation"""
Jill Weiss	40.0	55.1	19.2	"""Ok change space decision: Kid carry	 Benefit these data"""
David Brown	62.0		28.2	"""Bring: Citizen type too	 Most anyone sometimes recent"""
Sharon Kim	50.0	58.1	76.2	"""Care training	 Church both perform cell Quite"""
Elizabeth Murphy	24.0	88.1	7.2	"""Note: Reduce staff	 then Often agency later"""
Cody Ruiz	90.0	32.1	77.2	"""Black require contain agreement; Democratic upon organization daughter food 	 Goal ability century"""
Jennifer Lewis	100.0	6.1	10.2	"""Without: Different response onto paper soldier son	 As share"""
Daniel Holden	42.0	88.1	16.2	"""Know happen	 Prove artist rich cost Last walk choose tough"""
Katherine Sanchez	19.0	86.1	85.2	"""About; Above benefit region against fund live 	 Test item"""
Stacy Peters	88.0	39.1	68.2	"""Although there act individual; Condition before official 	 Guess else"""
Antonio Mosley	22.0	89.1	74.2	"""Note: Beat color impact blue	 then Product professor action international such"""
Pamela Duncan	62.0	62.1	46.2	"""Note: Energy control	 then Head ok"""
Donna Moore	83.0	88.1	43.2	"""Consider claim yeah; Suggest military everyone 	 General"""
Amber Davis	88.0	7.1	47.2	"""Note: Receive catch	 then Knowledge door serve positive"""
John Boyd	26.0	11.1	42.2	"""(Wonder clearly effort spring) 	 Crime responsibility citizen have same and Room beyond"""
Jordan Franco	6.0	91.1	96.2	"""Note: Specific attention study magazine	 then Series follow in"""
Matthew French	35.0	41.1	59.2	"""Rise mention direction; Challenge believe change do 	 Article agent easy meet address challenge"""
Chad Cook	79.0	61.1	59.2	"""Note: Again where entire	 then Everything avoid use around here perform"""
Timothy Williams	79.0	11.1	45.2	"""Audience trial; Power where 	 Brother nature prevent"""
