# This is a comment line to skip
username;name;score;price;comment;note
jennifer_garner_9151;l;58.0;67.1;"""(Authority) ; Clear and Stage house""";"""Note: Cultural forget nor; then Paper husband heavy"""
lisa_thomas_2039;Lisa Thomas;;99.1;"""Add work various; Design wrong Task head fly whole""";"""Building whose production; Develop expert also someone rule ; Fund"""
christopher_price_1789;Christopher Price;14.0;34.1;"""Interest together firm direction individual; Director ; Part follow""";"""Subject concern peace not message term: Treat western miss; Hit raise"""
lisa_cox_7694;Lisa Cox;72.0;47.1;"""(Happy fight seek) ; Team election hand and Politics foot""";"""Standard low; Authority himself anyone people add ; Water theory try wear"""
brian_bradshaw_1937;Brian Bradshaw;36.0;69.1;"""Note: Senior character federal; then Agreement""";"""Every pass government force; Onto practice ; Discuss think"""
adrian_gallegos_0342;Adrian Gallegos;31.0;;"""Seem but skin prepare become; My wonder time message many owner Push""";"""Note: Possible nothing especially participant; then Spring film sing"""
michele_collins_0456;Michele Collins;49.0;41.1;"""Fight everything; Operation foreign wide ; Main down stock resource smile""";"""Company result thing; His above majority ; Development impact firm imagine"""
maria_castro_5127;Maria Castro;13.0;22.1;"""Far without including service consumer however; Send trouble never Respond money page garden nature""";"""Official such during four close; Project market speech ; Garden important need down job"""
michele_matthews_4097;Michele Matthews;26.0;86.1;"""Job kitchen fly: Edge religious evening; Help well""";"""To: Group leave together where perform; Simple case physical listen raise"""
christopher_williams_9938;Christopher Williams;63.0;57.1;"""Note: Machine shake success; then Certain early most""";"""Organization seven loss series paper; Institution special so crime Your debate"""
karen_moody_2135;Karen Moody;31.0;91.1;"""Note: Condition think no once; then Station skill police yes""";"""Child; Interesting simple forward Author road"""
michael_smith_0712;Michael Smith;53.0;84.1;"""(Hold purpose Mr second none north) ; Card image and Stop determine""";"""They protect; Size serious ground ; Magazine"""
maureen_schmitt_9962;Maureen Schmitt;85.0;16.1;"""Voice himself anything there rate concern; Send soon get Something lawyer""";"""Help eat themselves; It go area ; Performance authority treat white"""
lori_mckay_1288;Lori Mckay;98.0;93.1;"""Note: Strong person pattern; then Enjoy recent professional value contain""";"""Note: Window far establish; then Including leg let morning list sea"""
danny_levy_7907;Danny Levy;96.0;21.1;"""Note: Spring then edge think; then Three""";"""Move air stop end; News current ; Usually live"""
joel_mooney_6481;Joel Mooney;82.0;41.1;"""Seat management successful: Kind; Prepare whole respond size""";"""One memory; Use establish ; Economy forward science"""
david_doyle_7323;David Doyle;76.0;28.1;"""Staff project letter: Room machine owner; Scientist city study carry enough thought""";"""(Feel record bank detail future pressure) ; Lead west and Magazine feel"""
bethany_serrano_3693;Bethany Serrano;24.0;26.1;"""Note: Product detail; then Process oil third""";"""Newspaper food catch base: Bring painting; Stage wide ok wear bed"""
john_ford_6796;John Ford;25.0;58.1;"""Whose able: Machine central; Why itself sport""";"""Note: Rate; then Character thousand population outside"""
douglas_parker_0977;Douglas Parker;22.0;48.1;"""Specific less question hard shoulder: Local suggest oil of; Star rise wear""";"""(Hot despite much goal) ; Improve fall budget glass network and Outside another thousand how"""
mr_richards_0357;Mr. Albert Richards;57.0;32.1;"""(Employee quality make) ; Eight law and Believe possible""";"""(Service piece language) ; Draw market and TV and Remain above hot newspaper"""
jessica_klein_3533;Jessica Klein;58.0;73.1;"""Their animal amount; Size age relate ; Military""";"""Indicate population: Box political; Deep book dream"""
brenda_donovan_6313;Brenda Donovan;89.0;13.1;"""Partner political large apply page think: Instead western nation front; Building course despite adult election""";"""(Product trial girl many) ; Own behind and Treatment seven we"""
