username;name;age;score;summary
kelly_woods_8753;Kelly Woods;61.0;34.1;'''Them treatment turn cold someone; Call adult ground Inside course camera to place'''
alicia_gill_7588;Alicia Gill;;47.1;'''Different Republican several actually: Office smile; Large serious'''
roberta_md_9875;Roberta Young MD;91.0;21.1;'''Price she; Other ; Week protect Republican'''
mr_dds_5544;Mr. Jason Poole DDS;47.0;7.1;'''Note: Line present until or tonight; then Near research series fact now'''
joseph_werner_8562;Joseph Werner;5.0;4.1;'''Rule along of deal: Remember fight watch it; Late could'''
richard_lopez_0827;Richard Lopez;18.0;31.1;'''Public week apply: List; Real build carry decade'''
wayne_wilson_8582;e;35.0;38.1;'''Lead friend: Scientist physical put; Chance'''
michael_cooper_1291;Michael Cooper;15.0;5.1;'''Note: Others Mrs debate itself person see; then Dream religious soon'''
jennifer_barker_6484;Jennifer Barker;75.0;;'''Note: Whether evening activity child; then Who state weight dog describe million'''
travis_sanchez_6090;Travis Sanchez;53.0;93.1;'''Star mother soldier brother; Billion final effect accept now Leader'''
elizabeth_odonnell_4867;Elizabeth Odonnell;10.0;91.1;'''(Mission program) ; Movie technology writer and Special staff tough get'''
stephen_colon_1244;Stephen Colon;69.0;64.1;'''Physical travel: Either billion long; We financial color grow'''
stanley_lee_7829;Stanley Lee;28.0;55.1;'''Note: Over establish technology imagine movement; then Green live store'''
katherine_anthony_2305;Katherine Anthony;64.0;44.1;'''Note: Organization prepare while which offer either; then Develop'''
oscar_mack_8383;Oscar Mack;24.0;32.1;'''Consumer name: Pattern certain; There'''
patricia_kim_0013;Patricia Kim;26.0;59.1;'''Note: Offer feel somebody; then Yourself walk'''
cassandra_norris_9684;Cassandra Norris;41.0;98.1;'''Note: Pattern; then Million deal'''
kylie_solis_1052;Kylie Solis;64.0;51.1;'''Note: Sound put operation gun against; then Agreement there enjoy'''
kevin_carter_2597;Kevin Carter;74.0;69.1;'''Note: Food Congress direction maintain want; then Able public fact'''
john_dorsey_2113;John Dorsey;75.0;30.1;'''Partner; Loss amount ; Lot open specific particular administration'''
amber_wilson_4328;Amber Wilson;14.0;95.1;'''Bed purpose; Financial they ball Court everything woman'''
elizabeth_gregory_4724;Elizabeth Gregory;43.0;40.1;'''That food within; Long before we Citizen skin fight special'''
rachel_anthony_5058;Rachel Anthony;75.0;6.1;'''Anything since; Finish Strong window want'''
john_doyle_3812;John Doyle;85.0;13.1;'''Worker while night south theory major; Leave cultural court shake ; Character life'''
