name	username	total_count	age	note
Rebecca Walls	rebecca_walls_6038	13.0	5.1	"""Other cut; Determine who risk 	 Sing explain plan fill measure"""
Anthony Griffin	anthony_griffin_0827	44.0	7.1	"""Note: Couple spring sell	 then Various"""
Dr. Michael Bell	dr_bell_8016	72.0	92.1	"""Note: Table	 then Dinner last state full"""
Grace Terry	grace_terry_1197	100.0	20.1	"""Rich him drug; Minute administration 	 Chair local"""
Rodney Wu	rodney_wu_6958	37.0	45.1	"""Probably land: Former new push tree carry	 Know sell"""
Michele Singleton	michele_singleton_0669	61.0	2.1	"""Inside guess: Purpose area into	 Religious important"""
Lisa Fuller	lisa_fuller_6819	61.0	12.1	"""(Language thousand through believe) 	 Anyone and Around develop rather student"""
Elizabeth Thomas MD	elizabeth_md_1680	80.0	11.1	"""Speech spring rather; Visit or discover step 	 Mind couple"""
Danielle Montgomery	danielle_montgomery_2425	44.0	21.1	"""Beat break price: Population worker government	 Ball large item"""
Leslie Lewis	leslie_lewis_0965	92.0	5.1	"""(Artist could) 	 Win high and Effect"""
Alexander Murray	alexander_murray_5473	43.0	17.1	"""List; Bad 	 Voice send share"""
Stacey Berry	stacey_berry_2284	63.0	61.1	"""Note: Rule method kind thousand	 then Win another nature hold"""
Alex Allison	alex_allison_6326	53.0	33.1	"""Interest your space standard: Total with economy	 Keep goal"""
Zoe Taylor	zoe_taylor_2756	32.0	5.1	"""Half later during threat accept: Government	 Drug actually parent there take"""
Andrew Gonzalez	andrew_gonzalez_7909	100.0	31.1	"""Truth leave second create: Cell company current	 Name single call class glass or"""
Kimberly Lopez	kimberly_lopez_0633	33.0	42.1	"""Impact cut body certainly term: Teach role	 Brother everyone million"""
Kathy Sanders	kathy_sanders_9445	28.0	99.1	"""Blood contain conference; Seven field 	 Particularly job"""
Alicia Parrish	alicia_parrish_0266	67.0	30.1	"""Stop laugh; Begin practice nature start federal add 	 Peace"""
Peter Jackson	peter_jackson_5976	68.0	54.1	"""Economic improve politics check	 Change Whatever"""
Ralph Bell	ralph_bell_9410	40.0	14.1	"""And nice together month treat	 Tell system simply discuss these Eat environmental tell feeling"""
Benjamin Smith	benjamin_smith_7473	50.0	45.1	"""Product hold leader than	 Grow success him Glass state"""
John Coleman	john_coleman_4727	21.0	8.1	"""(Court several value although) 	 Bill cover itself Democrat store me and Official smile reveal win"""
Mary Wilson	mary_wilson_3485	27.0	82.1	"""Mention travel become knowledge whether	 Live himself Only sense buy"""
Monica Anderson	monica_anderson_7400	7.0	75.1	"""(Senior) 	 Easy and Water road husband near"""
Amber Santiago	amber_santiago_7386	83.0	91.1	"""Central understand information team: Stand travel then	 Member show bag"""
John Walker	john_walker_9190	33.0	3.1	"""Note: Like win collection should important	 then Late international"""
Michael Campbell	michael_campbell_3097		18.1	"""To professional crime	 Lawyer behind ahead Again society"""
Jason Moore	jason_moore_6932	6.0	55.1	"""Paper each strategy stuff base: Military attention	 With cost positive I"""
Adrienne Thomas	adrienne_thomas_1954	70.0	66.1	"""Increase to: Ground	 Name whom"""
o	shawn_merritt_0582	74.0	79.1	"""Note: Kitchen forget	 then Similar technology let"""
Mark Garcia	mark_garcia_5377	19.0	19.1	"""Anything order scene college	 Quality ground Enter before"""
Heather Obrien	heather_obrien_2744	91.0	87.1	"""Action: Job hit this at rule	 Film money military community send"""
Brooke Galloway	brooke_galloway_9465	86.0	44.1	"""(Friend ever husband cover) 	 Attorney determine and Commercial cause"""
Kelly Ryan	kelly_ryan_0898	95.0	35.1	"""Note: Range election five guess student clearly	 then Share serve name class"""
Ashley Wagner	ashley_wagner_3918	87.0		"""Note: Tonight well set feeling	 then Baby course lay condition"""
Courtney Pitts	courtney_pitts_2255	27.0	6.1	"""(Have scene) 	 Pressure seem western expect and Method possible image"""
Anna Sullivan	anna_sullivan_3877	25.0	15.1	"""Tv democratic; Foot 	 Form oil certainly herself successful"""
Derek Smith	derek_smith_0842	55.0	6.1	"""Note: Improve too	 then Cultural because right"""
Maria Rodriguez	maria_rodriguez_1952	96.0	55.1	"""(People) 	 Painting president and Right computer"""
Allison Morgan	allison_morgan_5454	9.0	3.1	"""Place each no; Full material 	 Order allow share gun us smile"""
Dakota Sullivan	dakota_sullivan_5429	39.0	39.1	"""Also able budget support step: Road peace	 Find attention no"""
Emily Mcgee	emily_mcgee_2344	70.0	71.1	"""For magazine: Consider	 South develop"""
