# This is a comment line to skip
name;rating;age;salary;note
Mrs Abigail Thompson;8.0;90.1;90.2;"""(Fugiat illo accusamus) ; Omnis distinctio and Quae"""
Mrs Francesca Leonard;46.0;50.1;73.2;"""(Qui reiciendis labore) ; Nisi and Labore accusamus rerum dolor"""
Mrs Janice Bird;65.0;61.1;43.2;"""Note: Commodi; then Dignissimos fuga"""
Gerald Wood-Yates;25.0;98.1;94.2;"""Iusto; Labore reiciendis natus quidem Facilis"""
Lorraine Hughes;29.0;71.1;69.2;"""Fugiat omnis tempore neque non; Consequatur incidunt libero Exercitationem ipsam"""
Jason Gilbert;62.0;23.1;2.2;"""Ipsam dolor quas quaerat quam; Aliquid debitis fugiat Tempora occaecati laudantium vero"""
Lewis Harris-Hudson;99.0;29.1;43.2;"""Odit temporibus repudiandae; Sequi blanditiis tempore quis rerum minima Ex molestias id molestias"""
Dr Conor Whitehouse;97.0;79.1;98.2;"""Vero delectus architecto: Odit deleniti; Dolorum nisi debitis provident"""
Ashleigh Cole;41.0;8.1;68.2;"""Quas tempora laudantium iure ipsum: Ipsum recusandae exercitationem sint quibusdam; Nemo aut fuga aspernatur quaerat"""
Marion Whitehouse;;96.1;62.2;"""Saepe laudantium optio accusantium: Illo quo inventore; Ratione"""
Suzanne Parsons;2.0;9.1;45.2;"""Porro earum aperiam; Reiciendis velit vero voluptate magnam ; Odit saepe nihil numquam"""
Josh Shaw;34.0;;84.2;"""Aliquid; Beatae explicabo eveniet sequi Ipsam facilis occaecati dignissimos repudiandae veniam"""
Toby Thomas;11.0;28.1;25.2;"""(At molestias quaerat) ; Placeat quod iure dolorem commodi and Deserunt"""
Glen Pickering;89.0;45.1;46.2;"""Repellendus sed nobis: Qui vitae sed ipsam aliquam; Dicta"""
Frances Martin;54.0;3.1;67.2;"""Alias repellendus laudantium tempore; Placeat voluptatibus Quasi rerum"""
Guy Dickinson;25.0;27.1;19.2;"""Exercitationem aut quia repellendus deleniti: Totam omnis alias; Voluptatibus voluptate natus"""
Duncan Wright;31.0;39.1;79.2;"""Note: Aliquid tempore animi; then Doloribus autem atque nostrum repellat"""
Mrs Maureen Watts;62.0;79.1;96.2;"""Voluptatum quia odio; Officiis explicabo modi sunt ratione hic ; Cum"""
Charlie Dunn;8.0;98.1;99.2;"""Note: Exercitationem amet dolore nam laudantium; then Maiores"""
Hayley Jones;29.0;89.1;8.2;"""(Quisquam minus) ; Molestias repellat and Nesciunt omnis ut sed vel"""
Kathleen Gardner;100.0;64.1;71.2;"""(Blanditiis) ; Sunt sit illum earum maiores and Eius similique voluptas aspernatur"""
Lewis Fisher-Harrison;17.0;55.1;43.2;"""Note: Tenetur blanditiis culpa; then Veritatis incidunt"""
Dr Gerald Campbell;38.0;89.1;41.2;"""(Veritatis) ; Quas asperiores eius and Iure provident enim quam"""
Ms Cheryl Palmer;27.0;89.1;33.2;"""(Et vitae rem minus) ; Minima eveniet and Facere odit"""
Mr Garry Spencer;5.0;23.1;26.2;"""Voluptate vel itaque: Voluptates ab quas sit architecto; Molestias eaque"""
Benjamin Abbott-Davies;47.0;30.1;7.2;"""Eligendi officiis ipsam nostrum dolorem: Nobis laboriosam perspiciatis animi quas placeat; Porro in itaque quae"""
Mr Glen Scott;27.0;98.1;39.2;"""Atque ea: Ducimus alias eveniet; Adipisci porro nisi"""
Dawn Baker-Hopkins;69.0;55.1;68.2;"""Sunt nostrum praesentium beatae; Facilis Amet deleniti"""
Mrs Stephanie Rice;40.0;91.1;10.2;"""Note: Omnis asperiores quo atque; then Rem ab laboriosam"""
Jayne Roberts;16.0;81.1;47.2;"""Note: Accusantium necessitatibus eum maiores similique; then Aperiam suscipit"""
Anthony Charlton-Newton;23.0;71.1;57.2;"""(Voluptatibus soluta tempore) ; Occaecati nesciunt and Temporibus quos dolorem eius vel"""
Kirsty Howard;26.0;60.1;;"""(Dicta magnam) ; Velit molestiae ea and Quidem libero dolorem"""
Kenneth Cooper;86.0;34.1;23.2;"""Quam impedit recusandae ipsum modi: Consequuntur maiores; Unde aliquid reprehenderit laboriosam quia"""
Emma King;45.0;14.1;87.2;"""Iusto voluptatem eligendi; Reiciendis soluta ab ; Doloremque"""
Robin Francis-Palmer;50.0;35.1;53.2;"""Accusamus sapiente; Aliquid ; Magnam id tempora corporis praesentium"""
Guy Powell;23.0;96.1;36.2;"""Perspiciatis architecto quod sit fugiat hic; Aliquid labore sint placeat Dolorum"""
Dominic Fisher;62.0;33.1;87.2;"""(Facilis delectus consectetur dolorum) ; Laborum consequuntur praesentium and Similique tempore laboriosam occaecati accusantium"""
Ms Lynne Newman;52.0;45.1;62.2;"""Deserunt laboriosam officia saepe; Ipsa incidunt repellendus ad ; Quod"""
e;51.0;84.1;75.2;"""Note: Nihil in; then Eligendi tempora repellat modi omnis"""
Ross Smith;89.0;38.1;78.2;"""Ratione aperiam exercitationem dolor; Sint ; Enim consequatur sit"""
Michelle Harrison;6.0;32.1;41.2;"""Note: Laudantium ratione adipisci perferendis; then Unde praesentium distinctio adipisci ad"""
Ms Laura Williams;41.0;47.1;86.2;"""Doloribus sit quam; Inventore cumque aliquam ; Tenetur"""
