# This is a comment line to skip
username;rating;description
jemma_ingram_2202;24.0;"""Id nisi possimus maxime maiores; Quam Assumenda distinctio"""
ashleigh_stanley_6713;30.0;"""Eligendi odit quibusdam optio: Minus voluptatem; Iste magni ipsum totam"""
edward_williams_9174;65.0;"""Quisquam perferendis; Eveniet architecto Aspernatur maiores dolor iure"""
jacqueline_murphy_8423;1.0;"""Saepe similique soluta nesciunt: Dignissimos neque adipisci inventore quia dolores; Dolores iure molestias corrupti cumque eveniet inventore"""
ms_hughes_7837;99.0;"""Explicabo ullam voluptatum at; Dignissimos nulla Officia iusto minima"""
dr_smith_3115;96.0;"""Sequi vero dignissimos; Libero ; Eligendi ipsa rem"""
kenneth_duffy_4687;;"""Facere nihil; Mollitia quidem laudantium cumque Vitae illum expedita eius exercitationem"""
pamela_walker_7036;18.0;"""Voluptatum assumenda porro minima; Ullam odio nesciunt In unde pariatur eum consectetur"""
julie_jackson_7406;2.0;"""Note: Animi magni maiores; then In cum vero minima quia"""
eileen_pearson_0556;61.0;"""Note: Vitae iusto placeat; then Ex perferendis minima omnis quae"""
raymond_hill_4617;43.0;"""Quasi; Rem laboriosam Nulla"""
sean_price_7783;43.0;"""Nihil officiis et: Repudiandae minima; Cum placeat eligendi facere fuga"""
victor_thompson_7403;37.0;"""Note: Dicta consequatur eligendi laborum rem; then Neque quis porro et"""
frances_miller_9920;48.0;"""Consequuntur saepe repellendus nobis praesentium; Minus accusantium recusandae possimus Aperiam nostrum"""
ms_williams_5611;47.0;"""Note: Explicabo et perferendis; then Autem ratione maiores"""
marc_wood_7084;67.0;"""Quam tempore quisquam molestiae; Facilis asperiores architecto at sequi ; Recusandae culpa maxime commodi"""
rachael_stevenson_0772;33.0;"""Sed; Reiciendis odit ; Tempora occaecati"""
roger_williams_9608;27.0;"""Temporibus; Corporis aspernatur Nisi iure blanditiis"""
dr_gardner_2205;40.0;"""Note: Facilis reprehenderit quos consequuntur; then Vero ab"""
dr_hawkins_1424;60.0;"""Tempora harum; Aperiam Temporibus"""
sean_lee_4017;46.0;"""Note: Enim voluptate reiciendis saepe id; then Tempore rerum modi"""
dale_dunn_9366;26.0;"""(Dolores impedit deleniti labore) ; Impedit in ex earum quidem and Corporis"""
hazel_burton_8086;87.0;"""(Id) ; Blanditiis dicta pariatur and Odio non ipsa"""
georgia_jones_5379;37.0;"""(Tempora) ; Fugit modi quae and Molestias ipsam"""
sandra_hicks_1058;3.0;"""Optio modi; Quibusdam ; Sunt quis tempora molestiae ad voluptatibus magnam"""
natasha_daniels_4966;11.0;"""Ipsa rem: Alias dolore nulla; Voluptas neque"""
miss_jarvis_6004;54.0;"""Alias id vero nostrum; Adipisci provident ; Deserunt"""
mrs_burns_5231;23.0;"""Perferendis; Dolorum reiciendis ; Illo reprehenderit iste"""
dr_thomas_0838;93.0;"""Quaerat iure magnam nulla deserunt; Ducimus perferendis tenetur est ; Vero tempora"""
paul_randall_9571;98.0;"""Note: A ab deleniti; then Inventore dignissimos"""
sophie_bates_9630;6.0;"""Note: Reiciendis maxime assumenda impedit; then Doloremque"""
