# This is a comment line to skip
username;name;total_count;summary
ms_richardson_3715;Ms Jacqueline Richardson;7.0;"""Deserunt praesentium; Impedit ; Laudantium ratione"""
ricky_richards_3350;Ricky Richards;74.0;"""Eligendi natus; Iusto ipsam ; Quae quaerat"""
mr_williams_3322;Mr Wayne Williams;92.0;"""Note: Cupiditate perferendis quis corrupti; then Repellendus nam ex atque"""
paige_bird_3905;Paige Bird;66.0;"""(Natus recusandae) ; Natus perferendis tempora vitae soluta and Consequatur quidem commodi"""
mr_bradley_7106;Mr Mitchell Bradley;64.0;"""Cupiditate blanditiis dolores maxime; Illo rerum odit ; Blanditiis facilis"""
mr_mccarthy_1764;Mr Damien McCarthy;45.0;"""(Placeat quibusdam nemo saepe) ; Voluptatem enim deserunt and Non perspiciatis provident"""
mrs_walton_3285;Mrs Kathryn Walton;31.0;"""Rem earum; Nemo ; Earum asperiores"""
dr_cooper_4031;Dr Mohammed Cooper;67.0;"""Culpa corporis ipsum; Alias recusandae fugit Molestias suscipit"""
kathleen_robinson_8516;Kathleen Edwards-Robinson;69.0;"""Laboriosam laudantium harum quasi; Ipsam Necessitatibus odio ea"""
gail_thomas_0359;Gail Thomas;5.0;"""Note: Consectetur consequatur perspiciatis; then Magnam sint recusandae"""
denise_shaw_3280;Denise Matthews-Shaw;45.0;"""Qui laudantium: Ad exercitationem dolor explicabo at; Voluptate aperiam a"""
dr_neill_9027;Dr Kevin O'Neill;;"""Qui similique ipsa; Veritatis inventore ; Mollitia reiciendis dolor"""
raymond_newman_0677;Raymond Newman;15.0;"""(Cupiditate dolorum quibusdam commodi recusandae) ; Dolore and Reprehenderit suscipit"""
terry_steele_2979;Terry Steele;24.0;"""Itaque aliquid delectus: Corrupti reprehenderit; Provident quae"""
dr_bennett_3713;Dr Allan Bennett;43.0;"""Eveniet; Sequi numquam Sunt"""
dr_jones_4347;Dr Ruth Jones;30.0;"""Note: Fuga; then Consectetur ducimus eius"""
ms_shaw_2757;Ms Pauline Shaw;49.0;"""Debitis nisi sunt neque; Error fuga nesciunt ; Inventore adipisci"""
miss_stevens_7755;Miss Catherine Stevens;23.0;"""Totam doloribus hic; Deleniti nam suscipit ; Deleniti nulla nostrum veniam alias"""
lydia_johnston_9640;e;70.0;"""(Possimus) ; Voluptate magnam deleniti amet dolor ipsa and Unde delectus suscipit"""
mr_rose_9127;Mr Shaun Rose;47.0;"""Note: Nulla tenetur odio culpa; then Neque est suscipit"""
gerald_watson_5084;Gerald Watson;47.0;"""Minus occaecati: Dolor ut ipsam aspernatur labore; Voluptatibus cupiditate ratione"""
kieran_brown_5690;Kieran Brown;75.0;"""(Laboriosam explicabo) ; Corrupti provident pariatur magni and Eligendi amet"""
brian_begum_0164;Brian Begum;65.0;"""(Repudiandae enim pariatur) ; Tenetur quae iure and Sed accusamus libero"""
mrs_jones_5702;Mrs Georgina Jones;70.0;"""Delectus et; Animi voluptatem totam provident Nihil fuga amet assumenda"""
mr_clarke_8243;Mr Barry Clarke;97.0;"""Accusamus pariatur recusandae deleniti iure ipsam: Voluptates; Ex voluptatem"""
dr_robertson_3256;Dr Leigh Robertson;40.0;"""Sapiente deleniti fugit unde; Repellat quos Est similique corporis nulla"""
garry_lee_5817;Garry Lee;9.0;"""Note: Porro dolorum; then Nemo iusto"""
dr_williams_9455;Dr Lewis Williams;28.0;"""Quo; Porro repellat Consequuntur architecto sunt"""
