username;name;total_count;note;description
dr_smith_0244;Dr Damian Smith;76.0;"""Beatae; Cumque ex ; Similique officiis omnis ad explicabo""";"""Note: Exercitationem beatae placeat consequuntur molestiae autem; then Quos sapiente quibusdam voluptates maxime"""
russell_simmons_4625;Russell James-Simmons;52.0;"""Note: Laborum adipisci optio neque; then Ipsam""";"""Occaecati porro omnis molestias doloribus ratione; Voluptas labore Eum corporis non ut aspernatur"""
linda_edwards_0522;Linda Edwards;61.0;"""Iure aperiam; Minima sunt Illo doloribus tempore""";"""Hic impedit iusto ipsam velit: Debitis placeat sint quidem; Quas"""
ms_green_5498;Ms Carolyn Green;86.0;"""Iure magnam: Mollitia eum; Asperiores debitis""";"""(Beatae quasi eligendi) ; Maxime quas illum and Fuga"""
dennis_saunders_2817;Dennis Saunders;63.0;"""Inventore sed ipsum cum animi: Nulla odit ipsam maiores; Ex sint a""";"""Vel eaque inventore; Fugiat reprehenderit Expedita possimus"""
ms_day_2990;D;34.0;"""(Rerum quod sed) ; Reiciendis libero autem and Nesciunt blanditiis similique""";"""Perspiciatis repellendus similique: Voluptatum consequatur ad; Mollitia architecto nihil quidem doloremque ducimus"""
louise_dawson_6730;Louise Dawson;87.0;"""Voluptates dicta voluptas; Nostrum est Facilis""";"""Commodi sit excepturi autem porro libero; Natus Consequatur velit laborum"""
julian_griffiths_9063;Julian Griffiths;23.0;"""(At consequuntur cumque) ; Dignissimos aliquam optio and Voluptas facilis voluptas eos""";"""Sed illo totam: Dignissimos culpa; Corporis sunt maiores totam"""
melissa_williams_8539;Melissa Williams;88.0;"""Provident quia cumque facere: Consectetur; Hic velit inventore ab""";"""Eius dignissimos harum adipisci illum; Blanditiis magnam a sapiente ; Doloremque quaerat debitis voluptas"""
suzanne_phillips_4319;Suzanne Phillips;18.0;"""Note: Possimus sunt; then Libero eos eveniet corrupti reprehenderit voluptate""";"""(Facilis tempore iste) ; Corrupti quia minima and Doloremque minus amet"""
rebecca_williams_4194;Rebecca Williams;22.0;"""Delectus totam aliquid in exercitationem: Aperiam; Quo magnam""";"""Assumenda sapiente ab tempora accusantium; Ullam soluta repellat Et omnis sint"""
jessica_parry_9736;Jessica Pearson-Parry;47.0;"""Quisquam asperiores adipisci ratione libero quidem; Reiciendis ; Quia eaque reprehenderit""";"""Quidem aspernatur: Facere neque dolores ullam harum; Nam repudiandae error"""
marie_greenwood_4027;Marie Greenwood;35.0;"""(Debitis assumenda quidem corporis voluptate eius) ; Corporis veniam aliquid quidem and Officia libero""";"""(Magnam cum sint totam quam) ; Hic and Quidem ut debitis"""
mr_richardson_5122;Mr Glenn Richardson;21.0;"""Note: Ad perspiciatis sed; then Aliquid""";"""Note: Placeat tempora optio; then Reprehenderit provident natus odio"""
mr_nixon_8948;Mr Ben Nixon;46.0;"""Note: Similique error commodi; then Hic sit necessitatibus magni molestias""";"""Voluptates dolore vel: Perferendis; Consequuntur inventore"""
gordon_green_9837;Gordon Green;83.0;"""Sunt neque; Nam fugit suscipit voluptatum optio dignissimos Explicabo saepe eligendi similique""";"""(Inventore numquam nihil repellendus officia) ; Minus nam dicta optio and Quisquam ipsa"""
kayleigh_bevan_4354;Kayleigh Bevan;86.0;"""Modi voluptas impedit: Unde laborum; Quam officia cupiditate""";"""Labore aliquid quaerat; Vel cumque Voluptas doloremque"""
diana_bentley_4574;Diana Fletcher-Bentley;71.0;"""Quibusdam qui laudantium; Cum Occaecati""";"""(Temporibus natus veniam) ; Itaque maiores and Ab excepturi fugit"""
dr_pope_9355;Dr Kyle Pope;81.0;"""Sed aut inventore; Dignissimos molestiae perspiciatis in optio Cum modi aut inventore""";"""Modi nam consequuntur cupiditate; Asperiores architecto Culpa sint ducimus sed"""
valerie_randall_7337;Valerie Randall;1.0;"""Culpa doloribus nam cum; Aliquid perspiciatis nisi ; Odit hic dolores""";"""Natus mollitia doloremque; Sint inventore iste ; Iusto"""
ms_kelly_6282;Ms Emma Kelly;97.0;"""(Cupiditate ipsum nostrum ipsum) ; Dolor est and Ea nostrum eaque odit voluptas quam""";"""(Suscipit nesciunt impedit laborum) ; Quasi excepturi and Ab enim"""
hilary_briggs_0665;Hilary Briggs;63.0;"""Vel reiciendis magnam reiciendis incidunt: Id molestias architecto quo; Cum eos sequi""";"""Dolore; Fugiat maiores sapiente dolore ; Occaecati"""
dr_thompson_0924;Dr Douglas Thompson;84.0;"""Doloribus animi quae iure officiis: Fugit in beatae; Quaerat nisi""";"""Aliquam sequi quos sequi; Explicabo nemo nisi Vero vel"""
terence_hardy_1267;Terence Watkins-Hardy;37.0;"""Necessitatibus quo; Saepe saepe beatae Non eum asperiores totam""";"""(Hic consequatur) ; Earum quam and Quas recusandae nisi minima rerum praesentium rerum"""
francis_higgins_7410;Francis Higgins;56.0;"""Note: Nulla blanditiis; then Incidunt""";"""Enim voluptas voluptatum quis tenetur est; Assumenda quis Assumenda sint exercitationem ut iure"""
ashleigh_pritchard_7069;Ashleigh Pritchard;34.0;"""Note: Dicta pariatur aut eligendi; then Quaerat maiores""";"""Note: Iure voluptatem magnam; then Molestiae libero"""
rita_gibson_9489;Rita Hope-Gibson;17.0;"""Note: Quidem; then Soluta necessitatibus""";"""Amet; Nulla ; Corrupti mollitia facere nemo fuga"""
dennis_curtis_6971;Dennis Curtis;64.0;"""Dignissimos odit ad neque; Eum sunt id nostrum mollitia ; Quae maiores""";"""(Assumenda culpa voluptatum consequatur atque ullam) ; Veritatis dolor and Labore fugiat magni ipsum aliquid"""
sian_bell_5020;Sian Bell;7.0;"""Note: Nemo; then Ut incidunt nostrum possimus""";"""Note: Facere maxime aliquam; then Ullam voluptatum minus saepe"""
linda_bradley_7671;Linda Smith-Bradley;12.0;"""Facere; Sint aliquam quia ; Qui commodi""";"""Illo soluta: Consectetur; Debitis cum"""
danielle_young_3070;Danielle Stone-Young;;"""Note: Iusto culpa corrupti esse; then Deleniti laborum""";"""(Atque) ; Reprehenderit magni and Iste quam perspiciatis"""
dr_jones_6345;Dr Kenneth Jones;29.0;"""Note: Sapiente; then Occaecati harum earum temporibus""";"""Note: Id eligendi; then Ea debitis"""
dorothy_baker_7302;Dorothy Baker;6.0;"""(Vitae atque) ; Eligendi minus sed and Rem laborum alias nostrum repudiandae repellat""";"""Note: Quibusdam nemo cumque necessitatibus; then Natus rem"""
garry_porter_2621;Garry Porter;85.0;"""Fuga nam similique ea: Voluptatum vel ducimus esse; Quod""";"""Dolor illum ea saepe: Et; Accusantium molestias"""
amelia_thomas_2191;Amelia Sykes-Thomas;90.0;"""Note: Delectus; then Veritatis""";"""Nobis aperiam praesentium; Debitis ; Maiores illo occaecati"""
declan_reid_7287;Declan Reid;51.0;"""Pariatur itaque praesentium iste nesciunt; Tenetur impedit rerum ; Ipsa placeat fugit""";"""Nam sunt qui similique minima ullam; Ea eaque ; Magnam facere quasi aliquam"""
mr_joyce_9039;Mr Iain Joyce;79.0;"""Impedit debitis; Dolorem perspiciatis nulla perferendis ; Deserunt animi""";"""Note: Repudiandae harum; then Numquam cum quae"""
anne_holmes_9222;Anne Holmes;32.0;"""Quaerat iste veritatis rerum ut; Ad eum unde esse In""";"""Suscipit minus: Culpa totam deleniti; Id nisi vel minus odio"""
graeme_jones_1427;Graeme Jones;89.0;"""Quos sed atque ad; Eos consequatur Officiis""";"""Sunt molestiae sint: Optio repudiandae sequi ea laboriosam suscipit; Fugiat reprehenderit"""
mrs_adams_2975;Mrs Kate Adams;30.0;"""(Pariatur inventore) ; Id autem ad nulla in molestias and Velit officia libero""";"""Sit sapiente; Ipsam aspernatur Dolores praesentium assumenda"""
jay_stone_8219;Jay Stone;6.0;"""Note: Minima rem esse voluptas ex earum; then Assumenda iusto quod rem voluptas autem""";"""Ad; At dolorum a debitis Voluptates non"""
marian_parsons_6862;Marian Lee-Parsons;14.0;"""(Nesciunt) ; Modi molestiae eveniet and Voluptate labore""";"""(Autem magnam non consectetur voluptatum voluptas) ; Eligendi accusamus and Dicta"""
mrs_wells_1943;Mrs Abigail Wells;72.0;"""Fugiat aliquam; Distinctio incidunt quaerat nobis nobis ; Corporis temporibus officia laborum""";"""Architecto harum facilis perspiciatis ducimus unde; Voluptatum provident voluptatibus hic consectetur accusantium Iste libero quidem"""
alexander_roberts_7192;Alexander Griffin-Roberts;28.0;"""Placeat; Itaque omnis ; Sit commodi eos laborum""";"""Temporibus suscipit atque: Corporis quam impedit quos; Ut beatae recusandae"""
elaine_summers_8008;Elaine Summers;2.0;"""Quisquam hic; Deserunt molestiae Ut""";"""Totam ipsam: Voluptates rerum possimus possimus eveniet sint; Magnam"""
miss_fowler_2884;Miss Kerry Fowler;100.0;"""(Ad ad) ; Dolorem and Sed quos dolorum reiciendis sint nulla""";"""At repellat nam: Corporis sequi beatae; Consequuntur voluptatum dolores fuga voluptatum"""
dr_roberts_4864;Dr Andrew Roberts;2.0;"""(Perspiciatis recusandae quo dolores) ; Similique quia corporis and Fugiat illum explicabo quis neque""";"""Iste eius corrupti repellendus sunt; Aperiam doloremque suscipit ; Id sunt omnis dolores maxime nostrum"""
