# This is a comment line to skip
username	name	salary	total_count	age	comment
carrie_alexander_9197	Carrie Alexander	65.0	26.1	34.2	"""Note: Admit	 then Force event science much"""
roberta_jordan_8767	Roberta Jordan	22.0	40.1	68.2	"""Note: Natural time	 then Newspaper study dog"""
jenna_gibson_7575	Jenna Gibson	10.0	75.1	60.2	"""Research smile determine	 Message reflect school local good Follow become experience body fill"""
stephanie_matthews_8278	Stephanie Matthews	66.0	66.1	93.2	"""(Town group focus learn reflect) 	 Arm help and Now wish"""
diana_clements_3282	Diana Clements	85.0	14.1	86.2	"""Note: Have already try consumer	 then Media could whom"""
eric_aguilar_2584	Eric Aguilar	59.0	58.1	98.2	"""Note: Wrong response	 then Mention later catch already"""
matthew_jacobs_5079	Matthew Jacobs	3.0	92.1	67.2	"""(Feeling church) 	 Show set and Study fear top"""
amber_garcia_4723	Amber Garcia	16.0	67.1	15.2	"""Piece effort rule national citizen; Statement 	 Few camera grow"""
jonathan_white_0448	Jonathan White	55.0	77.1	81.2	"""Note: Big manage character	 then Out hour"""
kevin_huynh_1713	Kevin Huynh	77.0	3.1	21.2	"""Glass once; Agree suffer pressure 	 Accept sense"""
carl_lewis_3995	Carl Lewis	98.0	25.1	59.2	"""Note: Pull	 then Mention"""
allen_phd_3455	Allen Rios PhD	7.0	59.1	18.2	"""(Final edge) 	 Realize floor available and Force design suggest responsibility bad"""
nathan_brown_5620	Nathan Brown	100.0	1.1	99.2	"""Technology where there; Approach system mind popular believe 	 To even star dream goal during"""
brittany_simpson_3951	Brittany Simpson	68.0	26.1	78.2	"""(Establish many management hospital) 	 Bit imagine and Coach too rule suggest"""
alan_lutz_4564	Alan Lutz	91.0	41.1	26.2	"""(Reveal) 	 Lead thought weight and Lay"""
lindsey_blackwell_1796	Lindsey Blackwell	79.0	26.1	93.2	"""Consumer Congress color training: Right measure evening	 Far natural"""
brittany_herrera_8139	Brittany Herrera	81.0	92.1	1.2	"""Even measure: Clearly ago success product	 Medical model"""
donna_miller_4368	Donna Miller	23.0	3.1	35.2	"""Happy of create: Who boy fast	 Person picture"""
maria_osborne_6978	Maria Osborne	65.0	87.1	82.2	"""If buy: Professor population	 Purpose treatment scientist"""
antonio_ball_3552	Antonio Ball		5.1	51.2	"""Election star cold: City when relationship	 Continue either information"""
louis_moore_7048	Louis Moore	48.0	98.1	95.2	"""Important movement space	 Education painting production we Section section building stay serious"""
janet_poole_9662	Janet Poole	5.0	15.1	10.2	"""Live little son within mother: Mr store identify near company avoid	 Fast play movement company"""
bonnie_stevenson_3235	Bonnie Stevenson	61.0	82.1	53.2	"""Opportunity spend	 Key Husband enough"""
mrs_obrien_5790	Mrs. Amber Obrien	53.0	86.1	21.2	"""Wonder us evidence would home	 Perform training Color eat doctor"""
yvonne_logan_2521	Yvonne Logan	25.0	98.1	67.2	"""Different ability program test water: Item personal director air always	 Send tough sure film"""
mary_lyons_5106	Mary Lyons	4.0	99.1	49.2	"""Tough recent others quality; Book 	 Join address form attack blood"""
courtney_dds_2321	Courtney Long DDS	54.0	77.1	24.2	"""Method hear; Many war nor 	 Magazine enjoy rate now"""
rebecca_huff_4397	Rebecca Huff	27.0	17.1	56.2	"""Suddenly leg	 Wonder two Issue draw student or stay"""
monique_bowman_3759	A	8.0	52.1	38.2	"""Form produce: Pressure learn	 Mr key with health over"""
diane_morris_3944	Diane Morris	33.0	40.1	11.2	"""Institution anyone on wrong; Career ability individual 	 American charge find place"""
david_carter_0739	David Carter	7.0	52.1	26.2	"""World raise possible old	 Suffer particular Control on"""
anthony_johns_5217	Anthony Johns	29.0	96.1	81.2	"""Conference job head treatment: Administration model especially	 Audience music"""
christina_munoz_5330	Christina Munoz	99.0	62.1	46.2	"""Physical who: Human firm truth	 Have exactly"""
monique_alvarado_0478	Monique Alvarado	31.0	67.1	57.2	"""Including material; White consider account fish before 	 Senior certain herself"""
paul_potter_0149	Paul Potter	81.0	9.1	67.2	"""Note: Tough person	 then Off want similar TV"""
barbara_md_7824	Barbara Perry MD	46.0	13.1	48.2	"""(You or truth health eye) 	 Focus small and Keep heart"""
mary_davis_4971	Mary Davis	29.0		10.2	"""(Goal heart) 	 Financial force natural main someone citizen and Expert security many sit"""
christopher_russell_2308	Christopher Russell	68.0	92.1		"""Future off network push: Contain may this win	 Cost social region human"""
