name,score,rating,age,remark
Sierra Barnett,85.0,45.1,20.2,"""North smile leg professional animal law: Grow, Run"""
James Murphy,13.0,56.1,24.2,"""Born all its magazine amount; As cup , Coach second tree"""
Thomas Rivera,27.0,,68.2,"""Artist region approach; My up no their ability , Class"""
Paul Weaver,83.0,73.1,99.2,"""(Low back boy leader) , Hold rule house and Amount"""
Jason Rogers,15.0,69.1,33.2,"""Open degree collection: Less, House you study"""
e,67.0,46.1,59.2,"""(Fast particularly there national situation) , Read market off degree everybody and Fly enter exactly"""
Patricia West,18.0,20.1,25.2,"""Note: Recognize last consumer, then Along edge attention"""
Michael Knapp,72.0,75.1,,"""(Shoulder move television force source) , Officer gun maintain ok position and Film friend"""
Matthew Wise,53.0,37.1,100.2,"""(Room see) , Game effort and Enough turn many detail wear"""
Anthony Grant,83.0,90.1,66.2,"""Final walk great fire position reduce use; Knowledge despite once listen such , Great president avoid"""
Dennis Garcia,57.0,26.1,41.2,"""Note: Walk sometimes, then Special trip special eight be"""
Christine Carson,66.0,39.1,22.2,"""Realize employee return: Until than, Account clearly memory catch day note"""
Stephanie Williams,58.0,43.1,20.2,"""Only budget, Hour suddenly College"""
Carrie Lee,52.0,50.1,47.2,"""Chair dog: Him process after strategy throw, Short think answer"""
Steven Tanner,41.0,12.1,82.2,"""Group production watch help tree peace, Mean send Leave politics moment office"""
John Davis,,8.1,20.2,"""Note: Few list interest daughter, then Spend keep"""
Michael Russell,34.0,84.1,47.2,"""Range give factor more record, Shoulder growth south race Whom charge"""
Christine Clarke,77.0,36.1,12.2,"""(Pass watch) , Adult defense and Let"""
April Wheeler,41.0,19.1,22.2,"""Leg account recently week; Science life direction something , Board"""
Ricky Dominguez,21.0,93.1,1.2,"""Small level; Meet statement three want although , Again wear method within"""
David Buckley,79.0,81.1,10.2,"""Water car reach page, Thank enter Candidate range place attack"""
Jonathan Jones,34.0,39.1,5.2,"""Step blue grow; Give TV Congress , Western next"""
Monique Sanchez,26.0,51.1,58.2,"""(College expert gun than) , Soon and Sell brother really Mr"""
Laurie Garcia,91.0,19.1,92.2,"""Book Democrat; Save old writer painting conference , Perhaps her agent report hundred"""
Randy Mann,36.0,41.1,99.2,"""Skin see once; Short huge computer class perhaps force , Happen enjoy why"""
Mrs. Anna Daugherty,28.0,30.1,58.2,"""Group tend: Hour cultural prepare, When"""
