username,name,score,review
robert_murillo_4110,Robert Murillo,14.0,'''Note: Parent heart picture area something, then Positive company arrive see position again'''
sydney_knight_6503,Sydney Knight,92.0,'''Produce; Room question not , How heart'''
robert_foster_9991,Robert Foster,26.0,'''Identify card I, Century whole group Second good'''
todd_castro_6205,Todd Castro,15.0,'''Note: Although order shake example network, then Gas management'''
joshua_miller_0897,Joshua Miller,9.0,'''Former across exactly; First include prove , Such me'''
sherry_hughes_1870,Sherry Hughes,26.0,'''So government source, Director box carry teach One method'''
megan_riddle_2704,Megan Riddle,,'''Any thing voice guy information: Person thank recognize step class, Less once home in'''
amanda_martinez_8299,Amanda Martinez,34.0,'''Note: Learn radio, then Avoid including'''
scott_davis_3251,e,77.0,'''Note: Material deal the heart claim, then Push to grow work million movie'''
michael_rodriguez_6919,Michael Rodriguez,39.0,'''(Always) , Letter care everyone and Up school'''
nathan_hanna_2328,Nathan Hanna,26.0,'''(Team design) , Purpose decision and West fire cold and'''
herbert_porter_5415,Herbert Porter,50.0,'''Maintain kitchen ability until political; Bar , Window guess trial life'''
danny_evans_0687,Danny Evans,18.0,'''Else, Every knowledge Director seven success half'''
teresa_parker_3064,Teresa Parker,11.0,'''Only tend scientist: Space agent according world gas, Charge two measure specific spend'''
shelby_ramsey_0263,Shelby Ramsey,73.0,'''Against, Risk particularly leader Give general both security'''
andrew_reed_5098,Andrew Reed,68.0,'''Might population rich series involve; Rock case lose when , Side popular work'''
amanda_parker_4276,Amanda Parker,96.0,'''(Talk particularly by) , The report owner nor and Painting newspaper theory cover father must'''
daniel_turner_8017,Daniel Turner,87.0,'''Low case feel necessary; Indicate , Present sister'''
alexandra_mooney_7797,Alexandra Mooney,78.0,'''(Light number image religious) , Order however head and Case quickly'''
christopher_hill_7396,Christopher Hill,38.0,'''Note: Though maybe, then Story'''
samantha_brewer_6226,Samantha Brewer,37.0,'''Note: Data property human local, then Mr much sell national'''
stanley_thompson_4284,Stanley Thompson,86.0,'''Note: Mind hit guy daughter, then At material pretty'''
jennifer_griffin_2735,Jennifer Griffin,90.0,'''Light class single might commercial beyond: Pressure PM, Economy record lot'''
robert_cross_2648,Robert Cross,95.0,'''Sport leave trade hard; Moment short someone total remember , Sense recent'''
jacqueline_thomas_1323,Jacqueline Thomas,31.0,'''It particular night: What, Expert figure group'''
gina_lewis_1020,Gina Lewis,92.0,'''Prepare son when operation; Ahead , Record wall'''
sarah_ray_5296,Sarah Ray,70.0,'''Year end him: World for, Job maybe usually'''
timothy_williams_8511,Timothy Williams,5.0,'''Condition particular toward resource: Method role serious receive partner, Provide maintain'''
melissa_patterson_6040,Melissa Patterson,21.0,'''Thousand get coach out his audience, White buy step decision Machine rather figure list outside only'''
william_phillips_2292,William Phillips,45.0,'''Baby; Professor , Office'''
susan_brown_4552,Susan Brown,74.0,'''(Large account) , During type tax think college thought and Prevent course order these ahead look'''
julie_price_0795,Julie Price,99.0,'''Development why design walk organization: Half green end establish, Six region'''
michael_graham_0326,Michael Graham,85.0,'''Note: Value which, then Trade difficult'''
peter_bradley_2059,Peter Bradley,24.0,'''(Goal month mind machine) , Mention price agree wait face and Picture family'''
joshua_clark_2494,Joshua Clark,5.0,'''(Example politics) , Between and Dark some'''
jamie_webb_7457,Jamie Webb,12.0,'''Better go: Institution, Left according far'''
joseph_palmer_8115,Joseph Palmer,71.0,'''Course somebody keep claim; Protect test , Standard benefit daughter'''
brandon_casey_2495,Brandon Casey,92.0,'''(Forget business) , Behind various later and Claim analysis tend place'''
jeff_jr_5991,Jeff Franklin Jr.,95.0,'''Sometimes, Collection paper myself Arm tonight morning'''
mr_md_1872,Mr. Paul Kerr MD,12.0,'''Issue enjoy tonight item southern; Involve whole better traditional , Sell'''
albert_mcmillan_0028,Albert Mcmillan,37.0,'''Carry surface: Form arrive involve, President human'''
nicole_singh_2923,Nicole Singh,4.0,'''(Pick cup water voice large) , Player stand and Door indicate'''
dakota_martin_2776,Dakota Martin,96.0,'''Foreign strong first nearly, Story also both Shake such value edge'''
