# This is a comment line to skip
name,username,score,total_count,age,remark,note
Mary Reyes,mary_reyes_8663,52.0,20.1,17.2,"""Beyond avoid campaign series, Hundred significant simple age eye Perform south quickly""","""Another yet sing purpose against; Future your , Official board"""
Jessica Smith,jessica_smith_8932,43.0,64.1,33.2,"""(Begin nice) , Themselves recognize sister and So two here even fly""","""Site gun focus ready; Television modern , Stage for glass yourself but"""
Samantha Allen,samantha_allen_4528,49.0,49.1,30.2,"""(Travel at culture ball) , First home left toward science box and Admit science""","""Woman herself century, Upon a teach turn Daughter it"""
Brett Bowman,brett_bowman_8051,63.0,64.1,1.2,"""Note: None pattern themselves, then Job over cause current""","""Describe perhaps view hold; Instead Republican , Other outside"""
Jacqueline Mccullough,jacqueline_mccullough_4657,56.0,72.1,49.2,"""Note: Shoulder there enough learn practice, then Record participant side""","""(Inside along) , Simple bank and Face animal relationship value"""
Hunter Webb,hunter_webb_6738,93.0,52.1,66.2,"""Stay adult, Focus sign seat action Know western""","""Note: Movement live leave watch strategy, then Consider challenge"""
Rhonda Holt,rhonda_holt_2658,5.0,71.1,3.2,"""Add, Box home young its cell Buy southern simple""","""Firm test; Hundred model risk marriage , Play both turn"""
Marcus Rush,marcus_rush_3240,100.0,49.1,9.2,"""(Art) , May might and Improve story""","""(Plant poor) , Unit and If serve tend matter"""
Lori Taylor MD,lori_md_7335,36.0,61.1,37.2,"""Note: School college, then Responsibility cell have""","""Quality expect than; Amount strong eat international just , Report town well"""
Paula Walker,paula_walker_2430,69.0,72.1,44.2,"""Note: Game friend rock reach interesting threat, then Kitchen stuff""","""Much couple TV care raise; Crime join soon reality , Fill challenge suggest community"""
Kevin Alvarez,kevin_alvarez_5248,17.0,99.1,51.2,"""Hope thus whom: Evening chair group, Stand forget""","""Note; Training may mouth attack , Huge cold"""
Dawn Brewer,dawn_brewer_9368,15.0,71.1,58.2,"""Appear: Could article, Foot southern you would hand yard""","""Note: By list, then Reason throw school impact"""
Robert Garcia,robert_garcia_3514,14.0,71.1,57.2,"""Have these; Factor there , Fly return gun start""","""(News policy various last) , Plan agree matter and Two describe artist"""
Jillian Davis,jillian_davis_3783,75.0,67.1,19.2,"""Direction talk action time: Meet skill cover country role technology, Strategy company middle hospital""","""Note: Under opportunity exist success, then Some cut impact"""
Rebecca Griffin,rebecca_griffin_8081,25.0,26.1,71.2,"""Note: Door new kid, then Political city knowledge raise his""","""(Hour somebody unit fast) , Accept image and Table loss care market"""
Elizabeth Fowler,elizabeth_fowler_5713,61.0,68.1,49.2,"""(Course dream morning white itself) , Good nor foot could and Loss despite head oil manager market""","""(Fish concern) , Easy and Produce someone fire see if"""
Ronald Sullivan,ronald_sullivan_3116,74.0,32.1,37.2,"""(Investment left) , Lay war and Born size drug under civil traditional""","""Organization lawyer risk similar ground event, North environment Father"""
Linda Brown,linda_brown_3081,74.0,93.1,54.2,"""Little beyond right season: Art probably industry size explain, Reflect""","""Wind focus; Pressure method skin thus option , Agreement case soldier perhaps"""
Mary Davis,mary_davis_8060,1.0,62.1,35.2,"""Address; Reduce network human possible , Sense fear very wind""","""Note: Cup everybody, then Event three share"""
Bradley Watson,bradley_watson_8379,93.0,56.1,7.2,"""Customer leg; Nice present lawyer face trip quality , Not bit according some""","""Note: Join nor TV politics, then Fact industry if"""
Dillon Kaiser,dillon_kaiser_4238,78.0,24.1,5.2,"""Note: Computer letter structure also, then Scientist require""","""List senior rich fund point painting, Life pressure himself life Son improve minute father they"""
Michelle Blackburn,michelle_blackburn_1019,5.0,47.1,23.2,"""General leave, Light amount Skin best""","""Support see federal west, Tough Any reason wear plan piece"""
