# This is a comment line to skip
username;name;total_count;comment
samantha_rodriguez_8601;Samantha Rodriguez;89.0;"""Way buy late; Lose ; Moment reveal during"""
roger_gonzalez_0878;Roger Gonzalez;82.0;"""Page hold drop; Agree Evidence"""
cassandra_morrison_8891;Cassandra Morrison;45.0;"""Final travel; Free religious ; Professional face everybody"""
amanda_hayden_4595;Amanda Hayden;60.0;"""Say positive increase: Loss effect past; Late item wait nothing"""
mary_castro_8103;Mary Castro;56.0;"""Customer story throw; Deal approach around stock Compare lay"""
todd_west_1543;Todd West;62.0;"""Adult low none: Reality rule control activity until; Old your"""
lisa_watkins_8633;D;37.0;"""Note: Girl education often himself; then War raise federal"""
deanna_lara_9973;Deanna Lara;30.0;"""Note: Each southern development according growth; then Military compare especially"""
michelle_miller_1087;Michelle Miller;40.0;"""Note: Energy when hand establish produce red nearly; then Seven but particularly old thought"""
melinda_edwards_8647;Melinda Edwards;33.0;"""(Exist also reality budget character) ; Enjoy style and People significant these study"""
andre_espinoza_1937;Andre Espinoza;21.0;"""(Mrs young moment) ; Skin nation whom large think challenge and War style we"""
joseph_gonzalez_0034;Joseph Gonzalez;53.0;"""Through smile approach: Pattern data fund remember see; Phone land some"""
alan_poole_0702;Alan Poole;;"""Note: Development between boy; then Hospital both"""
ashley_martinez_7751;Ashley Martinez;100.0;"""Prepare; Likely feeling attorney them Development best firm"""
monique_zuniga_5522;Monique Zuniga;91.0;"""Note: Some certain; then Near trial"""
john_chandler_2706;John Chandler;46.0;"""Picture man behind; Particular ; Prepare court material believe"""
danielle_jordan_7616;Danielle Jordan;52.0;"""Voice guess structure nearly let; What can ; Sing become"""
brenda_ferguson_7423;Brenda Ferguson;95.0;"""(Street) ; World age month late appear and Book company"""
angelica_gardner_5273;Angelica Gardner;78.0;"""Note: Challenge middle; then Stand best"""
danielle_robertson_8783;Danielle Robertson;35.0;"""(Present drop already) ; Outside science name player and Large network center shake behind"""
teresa_white_5129;Teresa White;62.0;"""Shake might economy; Choice Environmental safe surface"""
jose_friedman_0035;Jose Friedman;37.0;"""Note: Television high; then Measure their agency"""
kimberly_shields_6553;Kimberly Shields;24.0;"""Necessary between what doctor late: Simple politics; Member state reach"""
sean_rivera_2405;Sean Rivera;100.0;"""Note: Left; then Campaign religious property"""
hailey_reyes_4039;Hailey Reyes;56.0;"""Note: Thousand school; then Audience war"""
