name	rating	score	summary
Catherine Stokes	82.0	15.1	"""Draw	 Public significant Most agreement discover"""
Tamara Nunez	43.0	68.1	"""Letter lead; Eat including challenge type feeling just 	 Quality lawyer land off truth"""
Jacob Morgan	28.0		"""Ball require structure act; Debate 	 Indeed day cold"""
Leslie Brock DVM	26.0	42.1	"""Note: Build	 then Budget of but"""
Savannah Beard	99.0	43.1	"""Care accept: Feel in	 Friend"""
Wesley Armstrong	83.0	2.1	"""(Per and which usually) 	 Left computer capital bar result and National line paper"""
Jordan White	51.0	97.1	"""Wind whole: Sit	 Administration employee in"""
Kathleen Weiss	16.0	92.1	"""Pick reduce success buy later with; Star whose 	 Box"""
Dr. Jocelyn Martinez DVM		76.1	"""Store: Something fund agreement activity	 Trade"""
Peter Case	60.0	51.1	"""Note: Simply sure	 then Theory popular idea"""
Alex Thomas	63.0	61.1	"""Will view note fire matter	 Magazine operation fact Expect contain a American seem"""
Krystal Cardenas	88.0	4.1	"""Section wish: When leave	 Give animal"""
Brianna Burns	14.0	91.1	"""Environment build morning second everything less	 Answer car Listen policy military note ten"""
Alejandra Calhoun	10.0	94.1	"""Note: Risk car	 then Hair against mean let"""
Natasha Potter	100.0	37.1	"""Avoid difficult end Mrs: Body minute national information	 Better hundred price second direction"""
D	69.0	16.1	"""Note: Economy car every sort sign	 then Little billion wife"""
Carla Velasquez	31.0	82.1	"""Here describe across: Expect phone field	 Get necessary culture question specific again"""
Brian Allen	4.0	46.1	"""Cut level where marriage table: Help	 Democrat new book race try sport"""
Kevin Cunningham	3.0	49.1	"""Later relate against: All property dinner	 Painting summer"""
Angelica Porter	42.0	58.1	"""Position reality task article ago	 Opportunity over Common stuff"""
Heather Gill	26.0	91.1	"""Note: Shoulder per	 then News forget scene seem"""
Casey Ward	65.0	66.1	"""Note: Wall detail player	 then As operation rest be with piece"""
