username	salary	review
edward_wright_8159	14.0	"""(General walk street) 	 Indeed bill huge foreign during and Quickly officer group"""
jose_martinez_8191	31.0	"""Factor professor strong husband many; Popular 	 Wall"""
sharon_mclean_0370	15.0	"""Just few interesting strategy; Way always million million condition 	 Have voice"""
tabitha_shaffer_2017	44.0	"""Send whose: But	 Likely"""
caroline_gross_2955	48.0	"""Town rather	 Rate morning Task"""
danielle_hogan_2976	54.0	"""(Last fast blue) 	 Various four range entire and Community father"""
eric_flores_0423	93.0	"""Development; Candidate Mr and discuss 	 Same share modern deal"""
lisa_benitez_9694	48.0	"""Note: Money eight	 then Forget service color sea"""
stephen_parker_4914	54.0	"""Yourself yourself city; Ahead his increase 	 Article fish increase"""
susan_burke_9174	71.0	"""(Never scientist exist west speak) 	 Seat and Care tree step"""
deborah_oliver_5252	64.0	"""Loss visit community center subject time: Each receive prepare safe	 Leave authority"""
ryan_jackson_8438	100.0	"""Though hit check: Oil kind feeling better	 Agent president"""
justin_adams_0938	78.0	"""Radio difficult Mrs	 Energy around activity Television husband argue"""
george_rowe_6831	36.0	"""Note: With	 then Too process than mention social"""
miranda_hill_1794		"""Help away network; Thank 	 Member per run"""
timothy_gray_7917	85.0	"""Morning south conference blood; Finish 	 Debate commercial section decade"""
crystal_zimmerman_2558	7.0	"""Foot two	 North coach site any different necessary represent Score few type"""
dave_lloyd_1930	47.0	"""Much term development	 Point four Day medical in fear against"""
mitchell_miller_2816	34.0	"""Note: Respond	 then View method experience break"""
charles_davis_2494	43.0	"""Car later: Organization stop even	 Cut conference size school community"""
erica_schneider_4489	4.0	"""Sometimes; Return stage less piece 	 Forget market"""
michelle_novak_9302	81.0	"""Note: Property per indeed	 then Open word read"""
jacob_acevedo_0916	4.0	"""(Hand citizen arm exactly) 	 Environment easy concern and Sit"""
renee_perry_3652	41.0	"""Mention but officer	 Amount bill middle Pick ahead"""
paul_johnson_0807	15.0	"""Live the our	 Prepare step east country investment Article information Mr position order"""
zachary_steele_5693	11.0	"""Control; Late 	 Toward"""
scott_rodriguez_7088	67.0	"""Season civil animal through: Any tell	 Evening spend major"""
sally_valenzuela_2036	65.0	"""Note: Company in	 then Majority report then issue"""
jeff_carter_3988	8.0	"""Trip cover later: Tax national carry	 Likely last production region do could"""
stephanie_montoya_6318	19.0	"""Hospital staff; Adult note by first 	 Owner program painting candidate list"""
linda_lopez_0567	28.0	"""Cut finish property rock	 Provide Floor camera"""
tracy_anderson_7579	3.0	"""Investment keep; Century theory 	 Challenge generation"""
catherine_salinas_9661	5.0	"""(Dog control occur) 	 Office medical cup compare political and Firm"""
jessica_marquez_3059	4.0	"""Note: Station federal style	 then Yes poor owner"""
matthew_fowler_5298	10.0	"""Note: Collection whatever economic	 then House imagine"""
candice_charles_2580	71.0	"""Note: Ready every	 then Hard poor"""
kyle_burton_4937	35.0	"""(Direction pick year) 	 Act option national and Pass group spend itself"""
lorraine_wilson_8226	74.0	"""Admit; Seven herself player 	 Course oil sound"""
ashley_mcbride_7615	31.0	"""(Act improve) 	 Drive page condition into dog and Surface myself"""
darryl_gonzalez_2171	30.0	"""Between cover; Government 	 Throughout simply response become"""
whitney_hill_5859	36.0	"""(Respond sell) 	 Administration leave themselves and Just"""
mary_ayala_7588	17.0	"""Note: Structure ago movement author	 then Marriage edge"""
