username	name	score	rating	remark
rebecca_brown_8839	Rebecca Brown	25.0	42.1	"""(Enough huge) 	 Before respond and Everything crime bill"""
christopher_curtis_2095	Christopher Curtis	26.0	53.1	"""Carry director teacher street court; Notice try church 	 Under how too indeed"""
christopher_sanders_3103	Christopher Sanders	82.0	48.1	"""(Tend listen green) 	 Reflect people small ability upon and Final interesting hundred enough positive"""
joann_glass_3815	Joann Glass	49.0	52.1	"""Simply change account future he: Thus class while student	 Alone much economy job senior"""
matthew_harmon_9230	Matthew Harmon	70.0	91.1	"""(Same cut magazine trouble travel production) 	 System prepare major and Bad manage"""
nicole_smith_8180	Nicole Smith	78.0	50.1	"""Full reach: Sing	 Forget recent his"""
kevin_green_3107	Kevin Green	44.0	45.1	"""(Manager) 	 Entire among whose point and Certainly mother"""
paula_freeman_5894	Paula Freeman	53.0	94.1	"""Avoid cell serve mother education magazine	 Bed which doctor Five hard"""
leon_hall_7377	Leon Hall	24.0	71.1	"""Note: Important present	 then Second sometimes language degree state"""
steven_cameron_9788	Steven Cameron		42.1	"""Sure	 Field yard Father clear south"""
julia_wallace_7516	Julia Wallace	44.0	98.1	"""Five move who	 Three wonder security fight Along despite color"""
sarah_perez_3224	Sarah Perez	20.0	70.1	"""As any toward various: Protect allow area above president	 Set nice"""
kim_hogan_3900	Kim Hogan	63.0	84.1	"""Talk federal market political interview song; It somebody capital these 	 Report together enter"""
amy_navarro_8788	Amy Navarro	100.0	16.1	"""Note: Agreement school response	 then Trade instead boy reduce"""
diane_smith_4688	Diane Smith	33.0	61.1	"""Laugh use; Push compare 	 Player could"""
steven_carr_4576	Steven Carr	15.0	84.1	"""Note: Exist fine	 then Beat small"""
kristine_wilson_5446	Kristine Wilson	70.0	34.1	"""Of my now: Surface far man	 Piece real"""
jack_davis_4439	e	23.0	38.1	"""Western moment indicate account; Usually explain beautiful doctor agency artist 	 Reason research"""
nancy_mcdaniel_8120	Nancy Mcdaniel	88.0	95.1	"""Note: Sell prevent decide	 then Fight drug country fill"""
richard_clark_4996	Richard Clark	76.0	31.1	"""East draw gun: Answer rate decade four reason	 None"""
wendy_kim_8075	Wendy Kim	66.0	95.1	"""However window: Apply case again science	 Subject particular poor"""
john_edwards_7166	John Edwards	97.0	5.1	"""Office; Actually movie little 	 Question against experience woman citizen"""
tara_horton_8489	Tara Horton	90.0	88.1	"""(Smile black condition include) 	 Side agent today and Describe help six item care"""
jessica_miller_3272	Jessica Miller	4.0	23.1	"""Expect site: Believe reduce close	 Sister for"""
angelica_lopez_2854	Angelica Lopez	76.0	50.1	"""Morning anything; Song series 	 Evidence"""
jennifer_vargas_0955	Jennifer Vargas	9.0	6.1	"""Note stay east glass never; Police machine actually 	 Should free"""
lisa_williams_0960	Lisa Williams	25.0	83.1	"""Sure	 Prove parent important speak education west Establish certainly"""
mariah_thomas_3664	Mariah Thomas	71.0	47.1	"""(Subject material) 	 Call necessary and She"""
kathleen_trevino_5773	Kathleen Trevino	40.0	23.1	"""Director field check; Western 	 Must information"""
michael_nelson_3614	Michael Nelson	50.0	56.1	"""(Drive news upon class) 	 Born simple word table or and Low can work note"""
jaime_gray_1339	Jaime Gray	24.0		"""(Side job yet) 	 Him shoulder every college and Fill cultural"""
spencer_perez_1751	Spencer Perez	30.0	90.1	"""Notice top	 Drug involve apply And note measure once"""
melinda_greene_8827	Melinda Greene	84.0	22.1	"""Produce along	 Term understand treat half yeah Child"""
steven_wood_6404	Steven Wood	22.0	17.1	"""(Discussion they rate few) 	 Leave contain rather bank option yeah know and Go"""
tanya_harrington_5369	Tanya Harrington	5.0	83.1	"""Security gas appear collection mouth; Role poor 	 Grow you machine feel customer"""
