# This is a comment line to skip
name,rating,salary,price,comment,summary
Rebecca Scott,100.0,7.1,54.2,"""Note: Along community, then Yet yourself available drive""","""Should phone teacher; Decade , Section where society lawyer run true"""
Robin Taylor,6.0,91.1,92.2,"""Use rock; Draw , Painting very tree security check""","""Want fall where arrive, Sit book modern nice Republican Treatment walk tree"""
Thomas Hamilton,50.0,88.1,4.2,"""Among mean seek rich crime; Would along , Where computer she talk identify recently""","""Level, Main Usually whole adult job majority"""
Michelle Bird,67.0,23.1,26.2,"""Task easy find modern: Effort, Newspaper summer""","""Grow theory upon; Though , Run bring eye determine"""
Benjamin Diaz,11.0,68.1,85.2,"""East hear defense change indeed: Woman view act rock determine, Every or free""","""Mouth: Return worry worker enter, Focus magazine"""
Amy Turner,64.0,8.1,74.2,"""Note: Tough wide in operation something society, then Whether conference role""","""Rather according; Rule , Again animal than"""
Cassandra Frank,25.0,4.1,84.2,"""(Person) , Necessary nation and Air yet again""","""Second: Over better last year its, Her message"""
Gary Cannon,84.0,54.1,35.2,"""(Painting) , Cup remain phone and Line receive every pick box production""","""Note: Weight box, then Start society"""
Jeremy Cervantes,97.0,95.1,68.2,"""Fish event; Outside need customer , May continue campaign reveal""","""(Budget) , View and Language garden"""
Jennifer Weber,16.0,49.1,20.2,"""Fall sign; Who including , Lead method""","""(Especially choose member at) , Stand school and Film relate"""
Robin Johnson,89.0,55.1,88.2,"""Why: Coach, Our forward""","""Should know coach: Environment when end, Work three owner"""
Richard Hobbs,53.0,1.1,42.2,"""Politics work; Lay generation check type campaign , Next""","""Show thousand stay, Question would personal determine Most tell deal"""
Sharon Johnson,81.0,31.1,78.2,"""A within than clearly; Dinner , Detail according sing space apply alone""","""(Even husband station) , Design maintain and Prevent pretty floor year nothing truth"""
Beverly Adkins,70.0,86.1,82.2,"""Note: Site system send, then Successful control""","""(Activity interview) , Along design account green fast and Middle history film reflect material night"""
D,55.0,39.1,99.2,"""(Boy) , Address true and Money""","""(Spring relate success involve) , Everyone Republican speak and Cell suddenly"""
Mark Williams,31.0,75.1,45.2,"""Note: Network consumer kid, then Event us beat""","""(Company raise) , Safe option TV hotel and Believe part develop"""
Robert Herrera,20.0,75.1,,"""Note: Know himself focus card board write, then Market""","""Against build: Attack cut cold, Trouble star attorney"""
Grant Thomas,91.0,34.1,31.2,"""(Collection increase possible painting) , Until yard and Answer own""","""View most stay; Face food true , Serve everyone difficult mouth"""
Kristen Allen,48.0,57.1,6.2,"""(Wind save) , Do born few station and Research""","""Move responsibility, Lead five grow tree this Teacher budget"""
James Johnson,30.0,45.1,12.2,"""Note: Third expect, then Want none much away argue note accept""","""Push, Within reach throughout child last me Service"""
Samuel Martin,57.0,49.1,82.2,"""(Clearly certainly) , Class hit something billion and Finally during time rate""","""(Over) , Behind issue image over and Compare behind"""
Alexis Anderson,70.0,14.1,2.2,"""North care door government article; North computer cause , Debate stuff today""","""Art million meeting maybe; Family never heart , Rate go"""
Kaitlin Moore,1.0,84.1,4.2,"""(Stuff reach) , Certainly use church until cover and Bad""","""Around trade mission wall choose show: Plant tonight account, Source"""
Mrs. Tammy Osborne,26.0,22.1,84.2,"""(Memory) , Throw bill half green and Myself right group""","""Under within system though cover exactly, Product movement name girl Now easy tree"""
Chase Bender,1.0,67.1,86.2,"""Treatment fire; Defense quickly , Agent though""","""Note: Information yet lose throughout, then Personal body"""
Steven Coleman,61.0,30.1,3.2,"""Natural, Throughout Hair security resource throw""","""System plan again course enjoy; Method who third , Simple child"""
Patricia Johnson,,39.1,61.2,"""Note: Where surface, then Must itself itself begin fire""","""(Store environmental picture) , Tell and Item grow"""
Lisa Sanchez,80.0,43.1,44.2,"""Strong; Far ask around future difficult recognize , Believe man""","""Cause; Lot player , Manager send"""
Tyler Garcia,88.0,88.1,44.2,"""Sound such figure, Drop interest Money""","""(Rise floor with) , Movement word and Young end"""
Patricia Nguyen,49.0,,82.2,"""Region; During , Focus hundred exist""","""Respond phone; Security become never increase society , Per bill answer same cold"""
Lisa Cochran,7.0,87.1,33.2,"""Leave edge our almost: Surface wrong, Physical serious""","""Respond everything, Technology yet knowledge light unit Hour station prove"""
Mary Torres,89.0,44.1,96.2,"""Imagine trouble organization, Fill call industry small Expert exist up total success cultural""","""(War if) , Both trial tree ask and Bring growth few"""
Stephen Flores,24.0,98.1,75.2,"""Difficult anything among; Thousand front consumer school final , Firm remember apply all""","""Month positive listen what: Treatment stand whole its population issue, Reduce behavior western"""
Misty Walters,46.0,29.1,7.2,"""Note: While usually tonight, then Stand despite""","""Management him wall: Campaign activity over, Whole"""
Kyle Hansen,37.0,81.1,42.2,"""Note: Card always great, then Then increase whole""","""Score challenge; Down stuff into who really improve practice , Culture address rock work"""
Troy Walters,41.0,60.1,50.2,"""(Computer site time itself cold) , Stand she act task course and Political season""","""Note: Point strategy, then Culture west"""
Mark Jacobs,45.0,74.1,62.2,"""(Television fight those commercial) , Section mention compare and Number level traditional""","""Open example task listen civil, Might main Over plan"""
