username,salary,description
elaine_clayton_0017,100.0,"""Dignissimos rerum in laboriosam ut, Fugit minus Odio eos harum perspiciatis"""
guy_williams_5399,5.0,"""Accusamus sapiente doloremque neque, Eum voluptatibus accusamus est Deleniti excepturi unde"""
annette_ashton_3845,93.0,"""Sunt quidem laboriosam, Rerum magni Deleniti adipisci et modi"""
glenn_morgan_5663,7.0,"""Occaecati, Repellat distinctio animi eos Reiciendis minima non"""
anna_wilson_8187,89.0,"""Note: Minima ipsum harum quaerat dignissimos, then Culpa rerum"""
mr_hussain_9355,51.0,"""Perferendis doloremque eum in esse; Quo eveniet vero , Facilis totam"""
benjamin_ward_5205,59.0,"""Quos ex; Rerum magni , Deleniti voluptates"""
caroline_byrne_4616,48.0,"""Voluptate itaque: Earum veniam, Illum maxime deleniti autem mollitia"""
dr_hughes_2080,61.0,"""Nulla similique saepe; Ipsam , Voluptatum sit dolore voluptatum velit"""
chloe_davis_3138,93.0,"""Officiis corrupti veniam aperiam magnam; Recusandae , Omnis numquam"""
mr_robinson_1831,29.0,"""Odio magni explicabo: Deleniti repellendus, Nisi nobis dignissimos harum"""
stephen_harris_4890,5.0,"""Note: Modi iure architecto, then Quidem atque sint"""
valerie_howard_9798,40.0,"""Veniam; Harum eum quae autem deleniti , Sunt laboriosam molestiae"""
katie_king_3107,5.0,"""Note: Est debitis nihil, then Quaerat praesentium distinctio nihil"""
jean_allen_6435,54.0,"""Cum sit, At saepe quod eius quam eaque Ad harum eaque porro"""
ms_atkinson_0140,78.0,"""Sequi; Architecto fugit magni , Doloribus"""
jasmine_webb_0736,25.0,"""Note: Ex animi non veritatis dignissimos velit, then Veniam"""
terence_sharpe_4650,84.0,"""Note: Ratione occaecati laudantium cumque delectus asperiores, then Occaecati reiciendis"""
gerard_davies_7656,74.0,"""Laborum atque laboriosam, Quam mollitia nulla In deserunt voluptatem"""
christine_adams_0788,33.0,"""Blanditiis maiores assumenda: Voluptatem, Harum sequi quis"""
mr_hawkins_4438,96.0,"""Aperiam voluptas quae; Asperiores aliquam dolorem itaque , Impedit accusamus amet deleniti"""
george_higgins_4119,32.0,"""Mollitia officia, Reiciendis facere tempora possimus voluptatibus Odio dignissimos"""
mrs_hawkins_0864,71.0,"""(Corporis) , Ratione ducimus maiores dignissimos and Nisi at neque ut optio"""
dr_schofield_7767,48.0,"""Tenetur natus, Veniam eligendi A ipsa ab"""
leigh_bird_5776,21.0,"""(Maxime) , Sint ipsa nemo recusandae and Consequuntur vitae"""
dr_stevenson_8944,,"""Quo ullam necessitatibus: Nemo officiis, Nisi vero"""
