# This is a comment line to skip
name,rating,salary,total_count,remark
Matthew Barber,80.0,23.1,70.2,'''Him himself improve special: Work eye inside, Accept he far'''
Melinda James,14.0,,92.2,'''School science, Cell outside star side camera PM Away front do quickly effect share'''
Shannon Howard,57.0,70.1,88.2,'''Note: Thing name nation strong, then Report build mention'''
John Smith,10.0,93.1,3.2,'''Note: Teach fish start heavy from evening, then Avoid'''
Gregory Schmitt,55.0,47.1,69.2,'''Show sign; Computer reach , Factor which'''
 ,44.0,48.1,10.2,'''Note: Run, then Both just natural tough'''
Barbara Thomas,1.0,52.1,43.2,'''Herself whose capital boy space, American and Truth Democrat almost'''
Cory Morris,16.0,43.1,72.2,'''Note: Democrat power blue knowledge product, then Nice former voice according movie several'''
Marcus Perez,25.0,79.1,14.2,'''Town drop management much day general, Democrat During move dream bed'''
Zachary Kim,40.0,53.1,44.2,'''Mention first forget American feeling: Month citizen past lead also, Lawyer treatment next'''
Jose Huang,18.0,10.1,29.2,'''Note: True wind, then Scientist memory during when animal model under'''
Anthony Watson,6.0,80.1,70.2,'''Religious; Picture people once subject , Question'''
Brandon Swanson,73.0,67.1,81.2,'''Image; Put , Do by must'''
Bill Wilson,98.0,14.1,63.2,'''City reflect; Drop wide nor place reflect tough , Necessary our history apply appear receive'''
Derek Young,4.0,17.1,33.2,'''Hundred vote, Senior finally four training Federal reveal brother month'''
David Adams,95.0,48.1,99.2,'''(Special almost) , Money field and Bag'''
Patricia Gonzalez,91.0,38.1,43.2,'''Discuss film decide go, Since significant Open view can consider hand turn'''
Anne Jordan,29.0,65.1,49.2,'''Full key customer: At wish often, Edge what activity'''
Stephen Schwartz,89.0,4.1,45.2,'''Course rich best: Help but, Beautiful strong hope test'''
Brett Ayala,,24.1,75.2,'''Want lay attack end sister: Feeling director next, Magazine stand game'''
Kyle Drake,24.0,64.1,64.2,'''Network; Study own , Woman'''
Tammy Wolfe,15.0,89.1,6.2,'''(Challenge beautiful a argue) , Reveal maybe good forget series and Table'''
Ryan Burnett,48.0,59.1,71.2,'''Prepare although; Attack information , Open cold'''
Laura Cannon,76.0,21.1,,'''Certain south get fill: Trouble fast shoulder remember, Skin everyone choose'''
Sarah Rodriguez,18.0,75.1,67.2,'''Behavior alone, Sport billion myself Moment candidate'''
Maxwell West,98.0,1.1,98.2,'''Improve career owner way physical team; Bed sing , Less'''
Kristina Clark DVM,56.0,26.1,25.2,'''Security; Least similar , Government'''
Andrea Fields,95.0,76.1,99.2,'''Very; Interest series , Defense party'''
