username;salary;rating;remark
terry_parker_0555;99.0;52.1;"""Ad esse reiciendis; Consequuntur deleniti veritatis ea pariatur Illo animi"""
leanne_brown_4950;6.0;87.1;"""Eius facilis nam neque; Aspernatur id omnis atque Nulla sunt nulla"""
jonathan_harris_0186;65.0;3.1;"""(Beatae consequuntur) ; Recusandae and Minima ex eveniet"""
mohammad_ahmed_5930;37.0;92.1;"""Error repellat: Voluptate; Totam rerum officiis vero dolorem"""
luke_french_4864;42.0;64.1;"""Voluptas: Dolorem quas; Reprehenderit ex amet repudiandae"""
neil_holland_3236;24.0;;"""Fugiat architecto excepturi; Distinctio alias illo Ab amet distinctio"""
miss_lloyd_6460;69.0;55.1;"""(Numquam laborum dicta soluta blanditiis omnis facere) ; Blanditiis vitae and Eaque autem temporibus magni atque facilis"""
georgina_richards_4148;68.0;16.1;"""Note: Voluptates mollitia; then Unde facilis quam hic"""
dr_brady_2028;23.0;48.1;"""Note: Provident reiciendis; then Beatae reiciendis saepe inventore vero"""
mrs_davies_6962;47.0;73.1;"""Aliquid libero expedita; Harum enim ; Necessitatibus id velit"""
jeffrey_rhodes_0120;35.0;89.1;"""(Ratione) ; Recusandae and Eius quos"""
david_webster_7844;27.0;98.1;"""Aliquam ea unde fuga: Quaerat officiis ut aspernatur; Labore"""
gillian_green_2110;23.0;1.1;"""Totam libero molestias rem; Impedit nesciunt ; Perferendis temporibus accusamus"""
molly_bond_6904;55.0;35.1;"""Porro quo; Ratione blanditiis nisi ut aut Labore tempora alias placeat"""
debra_miller_5941;73.0;100.1;"""Sunt asperiores vero voluptate; Sit qui Ipsa quia"""
mrs_atkinson_3196;18.0;88.1;"""Voluptates rerum; Ullam aliquid provident dolore ; Mollitia fuga exercitationem ipsa"""
paige_davies_7811;95.0;43.1;"""Laudantium sit; A sunt ; Nostrum placeat"""
nicola_martin_7662;10.0;40.1;"""Note: Hic autem harum; then Nostrum aperiam"""
oliver_sanderson_3434;26.0;9.1;"""(Dignissimos magnam molestiae natus) ; Ducimus and Occaecati ducimus veniam provident dolorem praesentium"""
geraldine_clark_0205;33.0;98.1;"""Aliquam porro error minima voluptate eos; Quibusdam ; Ex"""
carole_coles_8604;66.0;45.1;"""Note: Non; then Voluptas dolorum"""
mrs_lambert_1334;60.0;20.1;"""Note: Et vel velit id fuga; then Corrupti voluptatem consequuntur"""
mrs_osborne_7384;9.0;6.1;"""(Eaque velit voluptatum) ; Non iure similique earum and Unde quisquam"""
diane_allen_0881;31.0;25.1;"""Qui qui fugit; Maiores molestiae eveniet eligendi Aspernatur numquam praesentium"""
damien_griffiths_3666;23.0;19.1;"""Expedita aliquam sunt impedit veritatis odio; Aliquid et ; Dolorem reprehenderit quasi"""
joyce_ashton_7687;87.0;4.1;"""Nisi; Hic temporibus Assumenda illum"""
gillian_smith_8702;89.0;41.1;"""Nemo pariatur voluptate; Incidunt necessitatibus dolor ; Deleniti"""
julian_hunter_0202;91.0;41.1;"""Omnis labore architecto pariatur: Nulla numquam; Praesentium vitae debitis eius nemo"""
mr_davis_9238;31.0;32.1;"""Note: Officia magnam enim; then Eligendi similique aut"""
ms_coleman_7172;73.0;39.1;"""Dolores ex tenetur amet; Quos harum velit ; Nisi sequi"""
maurice_may_6600;29.0;100.1;"""Praesentium; Distinctio distinctio quas quidem ; Tempora"""
gillian_hart_2469;82.0;13.1;"""(Maiores ab a repellendus) ; Exercitationem aliquam mollitia aliquam placeat ut and Occaecati beatae"""
andrea_jackson_2056;29.0;21.1;"""Eligendi laborum maxime recusandae; Aliquam porro saepe ; Molestiae minus"""
susan_pickering_1413;21.0;4.1;"""Ea maxime deleniti delectus: Quia mollitia neque; Quam"""
graeme_brown_6548;54.0;27.1;"""Quidem eum; Laudantium distinctio nisi Maxime tenetur assumenda"""
francesca_gallagher_3451;51.0;32.1;"""Note: Nemo maxime quis harum pariatur distinctio; then Quos ipsum possimus reprehenderit"""
mr_webb_9980;47.0;51.1;"""Note: Quaerat quas; then Iure nesciunt"""
dylan_williams_6192;45.0;13.1;"""Provident odit debitis: Totam modi ducimus; Ut laborum"""
rebecca_richards_6221;3.0;21.1;"""(Necessitatibus alias) ; Explicabo quidem and Exercitationem autem corporis"""
mrs_bruce_7155;41.0;12.1;"""Magni quasi; Qui ; Beatae assumenda consectetur quod sapiente"""
roger_wilkins_5281;19.0;76.1;"""Repudiandae; Commodi omnis ut ; Iste voluptate alias"""
mrs_lee_0292;63.0;97.1;"""Accusamus vitae: Commodi architecto sunt quia; Totam dicta a perspiciatis"""
dr_rhodes_2657;11.0;68.1;"""Necessitatibus ipsum doloribus; Ad ; Molestiae nemo deleniti eveniet hic"""
lucy_johnson_1947;11.0;12.1;"""Aperiam officiis maxime; Recusandae magni ; Nulla possimus repudiandae quae a"""
mr_richardson_4486;;51.1;"""Debitis; Repellat voluptate perspiciatis corporis ; Cum facilis illo itaque"""
mr_smith_2699;62.0;45.1;"""(Exercitationem) ; Velit sequi and Eveniet ut minus eius nemo"""
dr_walsh_0841;39.0;19.1;"""(Enim delectus) ; Accusantium autem magnam and Praesentium"""
