name,price,total_count,rating,note
Miss Jennifer Higgins,41.0,63.1,18.2,"""(Non maiores cum provident) , Amet ex and Magnam quidem libero quasi dolore numquam"""
Mr Elliot Lee,72.0,68.1,36.2,"""Veniam unde, Non vero Explicabo"""
Ms Tracy Martin,91.0,32.1,29.2,"""Deserunt cum, Illo rem ullam Consequuntur perferendis"""
Jake Hicks,51.0,42.1,64.2,"""Maxime explicabo ullam odit; Cumque doloribus ipsa assumenda soluta , Consequuntur itaque"""
Eleanor Boyle,81.0,41.1,48.2,"""Natus delectus, Quae vero nihil veniam Veritatis distinctio culpa"""
Carl Phillips,87.0,15.1,52.2,"""Note: Atque tempora modi iusto praesentium, then Sed"""
Dr Connor Harris,52.0,14.1,2.2,"""Aliquam quibusdam pariatur; Veniam consequuntur quas libero , Esse"""
Mr Henry Harvey,19.0,52.1,75.2,"""Laudantium quidem: Quibusdam, Quas earum possimus exercitationem consequuntur"""
Ms Amanda Collier,14.0,45.1,90.2,"""Error quisquam nulla iure: Beatae quasi assumenda exercitationem repellat, Adipisci expedita odio tenetur praesentium"""
Megan Campbell,95.0,84.1,5.2,"""(Quos dolorum minus maiores nemo) , Cupiditate pariatur repellat and Nihil vero"""
Russell Walker,87.0,70.1,34.2,"""Suscipit id laboriosam magni: Necessitatibus, Praesentium nostrum harum culpa"""
Leonard Herbert-Collier,12.0,60.1,52.2,"""(Accusantium) , Ab and Minus voluptatem necessitatibus accusamus"""
Pauline Stevenson-Warren,20.0,27.1,65.2,"""Incidunt quos aliquam aspernatur, Blanditiis illo consectetur in earum Aliquam itaque aliquid sequi repudiandae"""
Geoffrey Pugh,85.0,83.1,37.2,"""(Nesciunt provident cumque nam) , Deserunt atque porro and Amet fugit"""
Abdul Patel,22.0,5.1,33.2,"""Quia aliquam officiis pariatur, Iure necessitatibus harum illo Recusandae laudantium quaerat"""
Olivia Kerr,83.0,80.1,85.2,"""Repudiandae deleniti fugit, Impedit corrupti eligendi velit dolorum Exercitationem provident"""
Gerard Clements,90.0,45.1,36.2,"""Totam quae quae similique: Voluptas incidunt, Molestias omnis consequatur doloribus"""
Chloe Rose,97.0,70.1,1.2,"""Quas cumque voluptatibus saepe: Doloremque, Animi nulla iure"""
Mrs Megan Johnson,44.0,89.1,30.2,"""Iste: Ab reprehenderit, Ipsum recusandae nam vitae"""
Katy Lee,66.0,34.1,68.2,"""Eos odio: Quidem veniam omnis explicabo, Id a distinctio"""
Gavin Cook,46.0,50.1,24.2,"""Repellendus commodi itaque: Temporibus, Quia laborum ipsam dolorum"""
Kathryn Wilson-Edwards,98.0,25.1,55.2,"""Aliquam enim neque, Assumenda Cupiditate in impedit"""
Vanessa Morris,3.0,82.1,19.2,"""Note: Doloremque, then Recusandae sit qui mollitia aspernatur quo"""
Mr Francis Briggs,4.0,21.1,30.2,"""(Facilis aut dolores modi) , Ad and Quidem assumenda numquam accusamus"""
Glenn Webb,93.0,82.1,29.2,"""Quas magni, Cum Facere esse"""
Dr Justin Ross,10.0,8.1,80.2,"""Note: Aliquid neque, then Tempore sunt velit aliquid"""
Andrew Ryan,7.0,43.1,85.2,"""Assumenda est hic; Ad , Aliquam ducimus ipsum"""
Oliver Ingram,76.0,76.1,,"""(Ratione laboriosam tempore dolorem sunt) , Aut natus iste and Facere nesciunt"""
Hannah Reed,80.0,,56.2,"""(Omnis amet eius) , Recusandae quo and Iure"""
Ricky Martin-Green,97.0,64.1,49.2,"""Expedita praesentium accusamus; Quis , Deleniti repudiandae facilis"""
Jill Blake-Cook,25.0,81.1,65.2,"""Culpa sint accusantium reprehenderit animi ad illum; Consectetur nemo debitis laboriosam , Assumenda"""
Mr Derek Campbell,56.0,57.1,58.2,"""Note: Molestiae modi ut ut dolore repellendus, then Aliquid consequuntur"""
Natasha Patel-Blackburn,86.0,52.1,29.2,"""Occaecati dolor: Nostrum doloribus ducimus alias, Ipsa tempora"""
Jemma O'Neill,49.0,75.1,64.2,"""Note: Similique voluptatum, then Quidem temporibus officia"""
Miss Marilyn Evans,21.0,66.1,86.2,"""(Illo quasi nostrum) , Natus culpa doloribus debitis magnam dolor and Quo explicabo"""
Malcolm White,36.0,82.1,32.2,"""Voluptates reprehenderit, Hic odit amet eum Adipisci qui ipsum in distinctio"""
Mr Hugh Patel,88.0,8.1,16.2,"""Note: Eligendi maiores hic, then Voluptatibus autem"""
Reece Wilkinson,85.0,59.1,1.2,"""Dignissimos; Autem eius in quis quod , Natus commodi culpa corporis dolore"""
Ronald Oliver,66.0,86.1,74.2,"""(Ipsum eos ipsam) , Totam adipisci voluptas and Consectetur optio"""
Beth Smith-Lewis,58.0,83.1,96.2,"""Note: Omnis officiis commodi, then Earum dolore suscipit"""
Mr Craig Price,,36.1,23.2,"""Eaque tenetur libero ducimus tenetur fugiat; Dignissimos autem eius quasi illo , Esse eligendi animi placeat"""
Dr Gerald Wilson,56.0,12.1,29.2,"""Reiciendis totam odio: Quia maiores magnam cupiditate, Aspernatur ducimus et laborum"""
Jenna Morris,9.0,81.1,5.2,"""Nostrum velit dolor; Repellendus ad , Facere ratione voluptate nostrum temporibus"""
Mrs Paula Oliver,70.0,37.1,2.2,"""Note: Illum autem cupiditate, then Saepe excepturi temporibus"""
D,43.0,60.1,37.2,"""A possimus quo; Quasi veniam assumenda accusamus voluptas quibusdam , Ut culpa ea accusantium"""
Ms Hazel Phillips,75.0,23.1,32.2,"""Quidem, Ex ullam magni incidunt Consectetur quod doloribus fuga"""
Mr Stuart Mitchell,77.0,43.1,44.2,"""(Provident soluta dolorem) , Omnis debitis alias maxime and Sint modi minima explicabo consectetur"""
Miss Diana Watts,29.0,89.1,71.2,"""(Sed est) , Asperiores dignissimos and Cumque perspiciatis veniam culpa non magni error"""
Teresa Walsh-Price,16.0,31.1,29.2,"""Exercitationem minima est est aliquid, Id perferendis Rerum ea nam cum repudiandae"""
